AD_FORMAT_CODE,PLATFORM_TYPE_CODE,ESTIMATED_EARNINGS,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
ANCHOR,Desktop,0,10,26,0,0,0,0.8,29,0.3448
ANCHOR,HighEndMobile,3,39,78,1,0.0256,3,0.8,42,0.9286
ANCHOR,Tablet,0,5,24,1,0.2,0,0.8,5,1
INTERSTITIAL,Desktop,51,554,92,5,0.009,10,0.9224,2569,0.5874
INTERSTITIAL,HighEndMobile,22,210,104,22,0.1048,1,0.7602,1120,0.7929
INTERSTITIAL,Tablet,2,18,133,0,0,0,1,38,1
ON_PAGE,Desktop,34,2640,13,0,0,0,0.4894,9333,0.2888
ON_PAGE,HighEndMobile,4,495,8,3,0.0061,1,0.286,2037,0.2572
ON_PAGE,Tablet,0,74,5,0,0,0,0.3836,123,0.626
SHOPPING_ANCHOR,Desktop,1,12,72,1,0.0833,1,0.75,17,0.7059
SHOPPING_ANCHOR,HighEndMobile,3,17,164,0,0,0,0.5385,19,1
SHOPPING_CHIP,Desktop,12,63,195,1,0.0159,12,0.5873,68,0.9412
SHOPPING_CHIP,HighEndMobile,3,11,285,0,0,0,0.3333,14,0.9286
SHOPPING_CHIP,Tablet,0,4,88,0,0,0,0.5,6,1
SHOPPING_LINK,Desktop,8,42,201,2,0.0476,4,0.5476,51,0.8627
SHOPPING_LINK,HighEndMobile,2,10,171,0,0,0,0.625,12,1
