COUNTRY_CODE,ESTIMATED_EARNINGS,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
AR,0,0,0,0,0,0,0,4,0
AT,0,0,0,0,0,0,0,1,0
AU,0,1,166,0,0,0,0,4,0.5
AZ,0,0,0,0,0,0,0,1,0
BD,0,0,0,0,0,0,0,2,0
BR,0,1,53,0,0,0,1,18,0.0556
CA,0,3,4,0,0,0,0,7,0.5714
CG,0,0,0,0,0,0,0,2,0
CI,0,0,0,0,0,0,0,1,0
CL,0,0,0,0,0,0,0,9,0
CN,0,3,6,0,0,0,0.3333,186,0.043
DE,0,0,0,0,0,0,0,1,0
DO,0,1,19,0,0,0,1,1,1
DZ,0,0,0,0,0,0,0,1,0
EG,0,0,0,0,0,0,0,10,0
FR,0,1,1,0,0,0,0,4,0.25
GB,0,0,0,0,0,0,0,4,0
GH,0,0,0,0,0,0,0,92,0.0543
HR,0,0,0,0,0,0,0,1,0
IL,0,0,0,0,0,0,0,1,0
IN,0,0,0,0,0,0,0,3,0
IQ,0,0,0,0,0,0,0,4,0
JO,0,0,0,0,0,0,0,1,0
JP,117,3292,35,29,0.0088,4,0.4848,8792,0.549
KE,0,0,0,0,0,0,0,1,0
KH,0,0,0,0,0,0,0,1,1
KR,0,1,1,0,0,0,1,2,1
KW,0,0,0,0,0,0,0,1,0
KZ,0,0,0,0,0,0,0,2,0
LB,0,0,0,0,0,0,0,1,0
MA,0,0,0,0,0,0,0,9,0
MN,0,0,0,0,0,0,0,1,0
MX,0,0,0,0,0,0,0,1,0
MY,0,0,0,0,0,0,0,1,1
NG,0,0,0,0,0,0,0,2,0.5
NL,0,0,0,0,0,0,0,1,0
OM,0,0,0,0,0,0,0,1,0
PH,0,0,0,0,0,0,0,1,0
PK,0,0,0,0,0,0,0,34,0
PL,0,0,0,0,0,0,0,2,0
PS,0,0,0,0,0,0,0,1,0
RU,0,0,0,0,0,0,0,11,0
SA,0,0,0,0,0,0,0,3,0
SG,0,0,0,0,0,0,0,90,0.0333
SN,0,0,0,0,0,0,0,1,1
TW,0,4,63,0,0,0,0.75,4,1
UA,0,0,0,0,0,0,0,8,0
US,1,11,61,0,0,0,0.6364,1769,0.0871
UZ,0,0,0,0,0,0,0,1,0
VN,0,0,0,0,0,0,0,38,0.0263
ZA,0,0,0,0,0,0,0,14,0
