date,activeUsers,sessions,engagedSessions,screenPageViews,engagementRate
2026-07-19,221,255,163,558,0.63921568627450975
2026-07-20,268,307,216,884,0.70358306188925079
2026-07-21,346,402,264,1468,0.65671641791044777
2026-07-22,341,407,268,1124,0.65847665847665848
2026-07-23,422,504,326,1168,0.64682539682539686
2026-07-24,348,406,263,893,0.64778325123152714
2026-07-25,233,266,190,630,0.7142857142857143
2026-07-26,250,298,198,945,0.66442953020134232
2026-07-27,366,443,290,1040,0.654627539503386
2026-07-28,331,403,270,677,0.66997518610421836
2026-07-29,355,407,277,947,0.68058968058968061
2026-07-30,326,375,255,1176,0.68
2026-07-31,303,355,248,674,0.69859154929577461
2026-08-01,201,231,161,774,0.696969696969697
