category,url,clicks,impressions,action_hint
B_google_only,https://stats47.jp/socialsecurity/medical-facilities/ranking/general-hospital-bed-occupancy-rate,46,447,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/blog/real-purchasing-power-ranking,4,94,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/blog/consumer-price-regional-gap-ranking,2,128,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/blog/manufacturing-productivity-ranking,2,87,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/01000/cities/01517,1,8,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/18000/agriculture,1,5,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/33000/cities/33666,1,5,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/46000/cities/46524,1,1,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/commercial/commerce-service-industry/dashboard/19000,1,1,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/commercial/commerce-service-industry/ranking/restaurant-count-per-1000-alt,1,10,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/educationsports/junior-high-school/ranking/junior-high-school-students-per-teacher,1,7,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/infrastructure/roads/dashboard/25000,1,2,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/landweather,1,4,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/landweather/weather-climate/ranking/annual-precipitation-days,1,67,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/ranking/retail-store-count-per-1000-alt,1,19,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/tag/digital-transformation,1,1,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/administrativefinancial,0,3,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/administrativefinancial/fiscal-indicators/ranking/standard-fiscal-revenue,0,2,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/administrativefinancial/revenue/dashboard/26000,0,8,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/administrativefinancial/revenue/ranking/local-tax-ratio-pref-finance,0,5,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/administrativefinancial/staff-assembly-election/dashboard/32000,0,1,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/administrativefinancial/staff-assembly-election/ranking/municipal-general-administration-staff,0,1,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/administrativefinancial/tax-revenue/dashboard,0,1,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/administrativefinancial/tax-revenue/dashboard/17000,0,2,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/agriculture/agricultural-production/dashboard,0,1,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/agriculture/agricultural-production/dashboard/02000,0,1,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/agriculture/agricultural-production/dashboard/05000,0,1,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/agriculture/agricultural-production/dashboard/27000,0,1,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/agriculture/agricultural-production/dashboard/29000,0,4,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/agriculture/fishery/dashboard/02000,0,1,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/01000/cities/01215,0,9,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/01000/cities/01217,0,18,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/01000/cities/01220,0,13,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/01000/cities/01231,0,6,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/01000/cities/01345,0,5,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/01000/cities/01371,0,1,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/01000/cities/01607,0,7,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/01000/cities/01636,0,10,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/02000/02202,0,1,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/02000/02411,0,1,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/02000/agriculture,0,1,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/02000/cities/02201,0,6,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/02000/cities/02202,0,17,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/02000/cities/02203,0,5,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/02000/cities/02204,0,5,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/02000/cities/02205,0,16,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/02000/cities/02206,0,5,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/02000/cities/02207,0,2,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/02000/cities/02208,0,7,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/02000/cities/02209,0,5,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/02000/cities/02210,0,9,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
B_google_only,https://stats47.jp/areas/02000/cities/02301,0,1,T0 対策候補（sitemap 外だが Google 認識中 = 過去残骸）
