URL,前回のクロール
https://stats47.jp/correlation?x=ssdse-c-lb031005&y=ssdse-c-lb061012,2026-04-09
https://stats47.jp/correlation?x=croquette-consumption-expenditure,2026-04-03
https://stats47.jp/correlation?x=ssdse-d-mb011&y=ssdse-d-mb021,2026-04-03
https://stats47.jp/correlation?x=cpi-change-rate-utilities&y=consumer-price-difference-index-utilities,2026-03-26
http://stats47.jp/areas/27000,2026-03-20
http://stats47.jp/areas/23000,2026-03-20
https://stats47.jp/correlation?x=hobby-participation-rate-writing,2026-03-19
https://stats47.jp/correlation?x=mental-health-expenses-prefecture&y=public-assistance-expenses-prefecture,2026-03-18
https://stats47.jp/correlation?x=hobby-participation-rate-flower-arrangement,2026-03-18
https://stats47.jp/correlation?x=municipal-road-paving-rate&y=traffic-accident-count-per-population,2026-03-18
https://stats47.jp/correlation?x=ssdse-c-lb014001&y=ssdse-c-lb042001,2026-03-18
https://stats47.jp/correlation?x=ssdse-c-lb054004&y=ssdse-c-lb021104,2026-03-18
https://stats47.jp/correlation?x=ssdse-c-lb092003&y=ssdse-c-lb053002,2026-03-18
https://stats47.jp/correlation?x=single-person-household-old-population-ratio&y=divorced-ratio-female-50-59,2026-03-18
https://stats47.jp/correlation?x=ssdse-d-mc16&y=ssdse-d-mg06,2026-03-18
https://stats47.jp/correlation?x=ssdse-c-lb021109&y=ssdse-c-lb031001,2026-03-18
https://stats47.jp/correlation?x=high-school-graduates-job-ratio&y=high-school-advancement-rate,2026-03-18
https://stats47.jp/correlation?x=unmarried-ratio-male-40-44&y=unmarried-ratio-male-35-39,2026-03-18
https://stats47.jp/correlation?x=average-propensity-to-consume-of-farm-households&y=total-farm-household-income,2026-03-18
https://stats47.jp/correlation?x=ssdse-c-lb061014&y=ssdse-c-lb051305,2026-03-18
https://stats47.jp/correlation?x=employee-ratio-100-299-employee-establishments-private&y=establishment-ratio-100-299-employees-private,2026-03-18
https://stats47.jp/correlation?x=ssdse-d-mb022&y=ssdse-d-mb011,2026-03-18
https://stats47.jp/correlation?x=ssdse-c-lb092001&y=ssdse-c-lb012001,2026-03-18
https://stats47.jp/correlation?x=ssdse-d-mf021&y=ssdse-d-mf02,2026-03-18
https://stats47.jp/correlation?x=firefighting-expenses-prefecture&y=health-physical-education-expenses-prefecture,2026-03-18
https://stats47.jp/correlation?x=number-of-establishments-construction&y=number-of-establishments-education-learning-support,2026-03-18
https://stats47.jp/correlation?x=welfare-office-public-assistance-applications-per-1000-households&y=general-clinic-count-per-100k,2026-03-18
