page,clicks,impressions,ctr,position
https://stats47.jp/blog/health-life-expectancy-structure,114,1574,0.0724,7.87
https://stats47.jp/socialsecurity/medical-facilities/ranking/general-hospital-bed-occupancy-rate,46,444,0.1036,5.07
https://stats47.jp/,16,43,0.3721,5.28
https://stats47.jp/blog/price-index-high-low-prefecture,14,643,0.0218,8.54
https://stats47.jp/blog/local-government-debt-burden,13,169,0.0769,8.73
https://stats47.jp/blog/university-advancement-capacity,12,419,0.0286,11.21
https://stats47.jp/blog/household-spending-prefecture-gap,10,210,0.0476,7.60
https://stats47.jp/ranking/konbu-consumption-quantity,10,173,0.0578,7.38
https://stats47.jp/ranking/sports-spectating-consumption-expenditure,10,40,0.2500,6.42
https://stats47.jp/blog/engel-coefficient-prefecture-ranking,9,111,0.0811,6.10
https://stats47.jp/blog/temperature-extremes-map,9,663,0.0136,9.27
https://stats47.jp/blog/fiscal-self-reliance-gap,7,220,0.0318,8.87
https://stats47.jp/blog/park-green-space-gap,7,343,0.0204,7.94
https://stats47.jp/blog/sports-urban-paradox,7,123,0.0569,8.31
https://stats47.jp/blog/automotive-industry-transformation-map,6,272,0.0221,6.98
https://stats47.jp/ranking/hamburger-consumption-expenditure,6,66,0.0909,7.36
https://stats47.jp/ranking/pasta-consumption-quantity,6,148,0.0405,6.61
https://stats47.jp/ranking/sushi-dining-consumption-expenditure,6,62,0.0968,7.18
https://stats47.jp/blog/child-height-regional-gap,5,586,0.0085,12.51
https://stats47.jp/blog/population-density-urbanization,5,172,0.0291,14.63
https://stats47.jp/ranking/telework-rate,5,54,0.0926,8.02
https://stats47.jp/blog/convenience-store-density-map,4,137,0.0292,6.46
https://stats47.jp/blog/prefectural-income-gdp-ranking,4,62,0.0645,8.19
https://stats47.jp/ranking/coffee-consumption-expenditure,4,42,0.0952,8.31
https://stats47.jp/ranking/consumption-expenditure-multi-person-households-per-month,4,67,0.0597,8.87
https://stats47.jp/ranking/mochi-consumption-expenditure,4,28,0.1429,7.75
https://stats47.jp/ranking/potato-consumption-quantity,4,102,0.0392,6.86
https://stats47.jp/ranking/tuna-consumption-quantity,4,151,0.0265,8.46
https://stats47.jp/ranking/wheat-flour-consumption-quantity,4,40,0.1000,6.55
https://stats47.jp/blog/alcohol-prefecture-map,3,126,0.0238,7.64
https://stats47.jp/blog/birth-rate-fertility-ranking,3,128,0.0234,7.85
https://stats47.jp/blog/inflation-rate-prefecture-gap,3,92,0.0326,7.42
https://stats47.jp/blog/library-museum-cultural-capital,3,34,0.0882,8.21
https://stats47.jp/blog/local-tax-revenue-gap,3,103,0.0291,8.88
https://stats47.jp/blog/nursing-care-shortage-2040,3,68,0.0441,9.82
https://stats47.jp/blog/pollution-complaints-regional-map,3,82,0.0366,8.26
https://stats47.jp/blog/purchasing-power-adjusted,3,79,0.0380,13.86
https://stats47.jp/ranking/banana-consumption-quantity,3,67,0.0448,8.76
https://stats47.jp/ranking/broccoli-consumption-quantity,3,35,0.0857,5.69
https://stats47.jp/ranking/chicken-consumption-quantity,3,31,0.0968,7.35
https://stats47.jp/ranking/croquette-consumption-expenditure,3,44,0.0682,6.18
https://stats47.jp/ranking/cup-noodles-consumption-quantity,3,64,0.0469,8.70
https://stats47.jp/ranking/fresh-udon-soba-consumption-expenditure,3,37,0.0811,8.08
https://stats47.jp/ranking/other-mushroom-consumption-quantity,3,38,0.0789,7.97
https://stats47.jp/ranking/road-total-length,3,88,0.0341,7.49
https://stats47.jp/ranking/tomato-consumption-quantity,3,33,0.0909,8.94
https://stats47.jp/survey/kakei-chousa,3,45,0.0667,9.11
https://stats47.jp/about,2,19,0.1053,2.21
https://stats47.jp/blog/commercial-sales-productivity-gap,2,67,0.0299,7.18
https://stats47.jp/blog/farmland-crisis-abandoned-land,2,20,0.1000,6.25
https://stats47.jp/blog/fertility-rate-prefecture-gap,2,168,0.0119,11.43
https://stats47.jp/blog/habitable-area-land-use,2,331,0.0060,8.28
https://stats47.jp/blog/household-solo-vs-dualincome,2,164,0.0122,7.46
https://stats47.jp/blog/household-structure-transformation,2,77,0.0260,7.52
https://stats47.jp/blog/ict-media-consumption-gender-gap,2,14,0.1429,6.93
https://stats47.jp/blog/manufacturing-productivity,2,122,0.0164,8.25
https://stats47.jp/blog/manufacturing-productivity-ranking,2,69,0.0290,7.94
https://stats47.jp/blog/mobile-contracts-over-population,2,19,0.1053,7.95
https://stats47.jp/blog/overseas-travel-gap,2,11,0.1818,5.27
https://stats47.jp/blog/pharma-medical-device-production-map,2,28,0.0714,7.57
https://stats47.jp/blog/precipitation-snow-regional-gap,2,198,0.0101,15.14
https://stats47.jp/blog/road-infrastructure-density,2,21,0.0952,6.48
https://stats47.jp/ranking/bank-personal-deposit,2,6,0.3333,4.50
https://stats47.jp/ranking/burdock-consumption-quantity,2,10,0.2000,7.20
https://stats47.jp/ranking/candy-consumption-expenditure,2,8,0.2500,8.00
https://stats47.jp/ranking/cheese-consumption-quantity,2,30,0.0667,6.33
https://stats47.jp/ranking/chikuwa-consumption-expenditure,2,43,0.0465,8.14
https://stats47.jp/ranking/convenience-store-count-commercial,2,7,0.2857,6.86
https://stats47.jp/ranking/deaths-hypertensive-diseases,2,10,0.2000,6.80
https://stats47.jp/ranking/deaths-lifestyle-diseases,2,12,0.1667,8.50
https://stats47.jp/ranking/entertainment-rental-consumption-expenditure,2,5,0.4000,2.60
https://stats47.jp/ranking/gasoline-consumption-quantity,2,29,0.0690,6.66
https://stats47.jp/ranking/gini-coefficient-disposable-income,2,20,0.1000,7.65
https://stats47.jp/ranking/hamburg-steak-consumption-expenditure,2,19,0.1053,6.42
https://stats47.jp/ranking/inpatient-rate-per-100k,2,101,0.0198,5.96
https://stats47.jp/ranking/konbu-consumption-expenditure,2,49,0.0408,6.65
https://stats47.jp/ranking/mochi-consumption-quantity,2,46,0.0435,7.22
https://stats47.jp/ranking/ramen-dining-consumption-expenditure,2,7,0.2857,4.86
https://stats47.jp/ranking/retail-store-count-alt,2,34,0.0588,6.29
https://stats47.jp/ranking/squid-consumption-expenditure,2,8,0.2500,8.50
https://stats47.jp/ranking/train-commuter-pass-consumption-expenditure,2,4,0.5000,6.75
https://stats47.jp/ranking/umbrella-consumption-expenditure,2,9,0.2222,6.56
https://stats47.jp/ranking/whitebait-consumption-quantity,2,13,0.1538,6.69
https://stats47.jp/ranking/yogurt-consumption-expenditure,2,43,0.0465,7.63
https://stats47.jp/areas/18000/agriculture,1,12,0.0833,10.75
https://stats47.jp/areas/28000/agriculture,1,14,0.0714,10.07
https://stats47.jp/blog/aging-solo-living-crisis,1,63,0.0159,13.35
https://stats47.jp/blog/communication-cost-burden,1,11,0.0909,9.45
https://stats47.jp/blog/consumer-price-regional-gap,1,337,0.0030,6.57
https://stats47.jp/blog/crime-rate-regional-gap,1,105,0.0095,14.37
https://stats47.jp/blog/education-cost-per-child,1,44,0.0227,4.70
https://stats47.jp/blog/education-expenses-gap,1,10,0.1000,5.90
https://stats47.jp/blog/expenditure-structure-comparison,1,41,0.0244,7.71
https://stats47.jp/blog/firefighting-capacity-gap,1,114,0.0088,7.09
https://stats47.jp/blog/food-consumption-prefecture-battle,1,21,0.0476,7.29
https://stats47.jp/blog/food-trio-prefecture-map,1,32,0.0313,8.50
https://stats47.jp/blog/forest-coverage-woodland-economy,1,17,0.0588,8.12
https://stats47.jp/blog/gasoline-car-society-map,1,20,0.0500,7.35
https://stats47.jp/blog/highschool-starting-salary-gap,1,127,0.0079,7.68
https://stats47.jp/blog/industrial-water-manufacturing-nexus,1,15,0.0667,7.33
https://stats47.jp/blog/local-tax-regional-gap,1,51,0.0196,8.35
https://stats47.jp/blog/marriage-unmarried-crisis,1,85,0.0118,7.92
https://stats47.jp/blog/overnight-guests-inbound-recovery,1,189,0.0053,8.06
https://stats47.jp/blog/semiconductor-electronics-regional-map,1,49,0.0204,7.53
https://stats47.jp/blog/sewerage-water-supply-gap,1,33,0.0303,9.97
https://stats47.jp/blog/small-business-dominance-map,1,7,0.1429,7.57
https://stats47.jp/blog/suicide-rate-aging-nexus,1,44,0.0227,10.80
https://stats47.jp/blog/sunshine-pacific-vs-nihonkai,1,124,0.0081,10.06
https://stats47.jp/blog/unemployment-structure,1,97,0.0103,9.30
https://stats47.jp/blog/waiting-children-progress,1,131,0.0076,4.93
https://stats47.jp/blog/waste-recycling-rate-ranking,1,32,0.0313,6.63
https://stats47.jp/blog/water-infrastructure-crisis,1,14,0.0714,6.71
https://stats47.jp/blog/workplace-accident-regional-map,1,8,0.1250,5.25
https://stats47.jp/commercial/commerce-service-industry/dashboard/19000,1,1,1.0000,10.00
https://stats47.jp/educationsports/junior-high-school/ranking/junior-high-school-students-per-teacher,1,4,0.2500,5.25
https://stats47.jp/educationsports/special-education/dashboard/05000,1,3,0.3333,8.67
https://stats47.jp/infrastructure/roads/dashboard/25000,1,2,0.5000,6.50
https://stats47.jp/population/commuting-school/dashboard/25000,1,8,0.1250,4.50
https://stats47.jp/ranking/banana-consumption-expenditure,1,10,0.1000,8.90
https://stats47.jp/ranking/bean-sprouts-consumption-quantity,1,13,0.0769,5.62
https://stats47.jp/ranking/beer-consumption-expenditure,1,7,0.1429,7.14
https://stats47.jp/ranking/bonito-consumption-expenditure,1,2,0.5000,8.00
https://stats47.jp/ranking/boys-school-uniform-consumption-expenditure,1,2,0.5000,4.50
https://stats47.jp/ranking/bus-fare-consumption-expenditure,1,11,0.0909,5.36
https://stats47.jp/ranking/cake-consumption-expenditure,1,65,0.0154,7.94
https://stats47.jp/ranking/camera-consumption-expenditure,1,2,0.5000,5.00
