country,clicks,impressions,ctr,position
jpn,1098,32819,0.0335,8.83
kor,3,125,0.0240,7.18
usa,3,6420,0.0005,7.00
can,2,228,0.0088,6.38
bra,1,324,0.0031,6.05
chn,1,108,0.0093,6.90
cri,1,7,0.1429,5.00
fra,1,84,0.0119,6.79
ago,0,2,0.0000,5.00
alb,0,8,0.0000,7.13
are,0,23,0.0000,7.30
arg,0,55,0.0000,6.27
arm,0,2,0.0000,5.50
aus,0,56,0.0000,8.63
aut,0,6,0.0000,7.17
aze,0,1,0.0000,4.00
bel,0,16,0.0000,7.75
bgd,0,27,0.0000,6.44
bgr,0,11,0.0000,5.91
bhr,0,1,0.0000,7.00
bhs,0,3,0.0000,9.67
bih,0,1,0.0000,8.00
blr,0,13,0.0000,7.15
blz,0,2,0.0000,13.00
bmu,0,1,0.0000,11.00
bol,0,5,0.0000,5.00
brb,0,1,0.0000,7.00
bwa,0,2,0.0000,6.50
che,0,15,0.0000,7.33
chl,0,19,0.0000,6.32
col,0,47,0.0000,8.11
cub,0,4,0.0000,5.75
cyp,0,4,0.0000,7.50
cze,0,7,0.0000,8.43
deu,0,54,0.0000,6.76
dnk,0,6,0.0000,4.67
dom,0,9,0.0000,6.44
dza,0,14,0.0000,8.64
ecu,0,23,0.0000,7.04
egy,0,10,0.0000,8.30
eri,0,2,0.0000,3.50
esp,0,81,0.0000,6.32
est,0,1,0.0000,4.00
eth,0,3,0.0000,4.33
fin,0,4,0.0000,3.50
gbr,0,53,0.0000,6.51
geo,0,6,0.0000,8.67
gha,0,5,0.0000,6.60
gib,0,1,0.0000,11.00
grc,0,15,0.0000,6.80
gtm,0,2,0.0000,6.50
guf,0,1,0.0000,8.00
hkg,0,29,0.0000,7.55
hnd,0,4,0.0000,4.75
hrv,0,4,0.0000,6.50
hti,0,1,0.0000,5.00
hun,0,7,0.0000,4.14
idn,0,94,0.0000,7.02
ind,0,137,0.0000,6.88
irl,0,10,0.0000,7.00
irn,0,17,0.0000,7.47
irq,0,14,0.0000,6.86
isl,0,1,0.0000,5.00
isr,0,8,0.0000,7.63
ita,0,55,0.0000,6.11
jam,0,8,0.0000,6.63
jor,0,3,0.0000,8.33
kaz,0,7,0.0000,4.57
ken,0,4,0.0000,8.00
khm,0,6,0.0000,9.17
kwt,0,1,0.0000,7.00
lao,0,2,0.0000,6.00
lbn,0,1,0.0000,7.00
lby,0,1,0.0000,7.00
lca,0,1,0.0000,8.00
lka,0,2,0.0000,7.00
ltu,0,3,0.0000,6.33
lux,0,2,0.0000,7.00
lva,0,1,0.0000,3.00
mac,0,1,0.0000,8.00
mar,0,14,0.0000,7.14
mda,0,3,0.0000,5.33
mdg,0,1,0.0000,9.00
mdv,0,2,0.0000,6.00
mex,0,114,0.0000,6.25
mlt,0,3,0.0000,7.67
mmr,0,1,0.0000,5.00
mne,0,1,0.0000,8.00
mng,0,6,0.0000,9.17
moz,0,1,0.0000,9.00
mrt,0,1,0.0000,5.00
mus,0,2,0.0000,10.00
mys,0,39,0.0000,5.85
ncl,0,1,0.0000,3.00
nga,0,9,0.0000,5.33
nic,0,1,0.0000,10.00
nld,0,37,0.0000,6.97
nor,0,7,0.0000,12.14
npl,0,9,0.0000,5.11
nzl,0,11,0.0000,8.27
omn,0,2,0.0000,12.50
pak,0,23,0.0000,6.09
pan,0,1,0.0000,6.00
per,0,19,0.0000,7.21
phl,0,37,0.0000,8.97
png,0,1,0.0000,12.00
pol,0,36,0.0000,6.50
pri,0,4,0.0000,6.50
prk,0,1,0.0000,8.00
prt,0,12,0.0000,5.83
pry,0,11,0.0000,5.64
pse,0,7,0.0000,5.29
pyf,0,1,0.0000,1.00
qat,0,5,0.0000,11.40
rou,0,15,0.0000,9.20
rus,0,38,0.0000,7.05
rwa,0,1,0.0000,6.00
sau,0,14,0.0000,5.50
sdn,0,1,0.0000,4.00
sen,0,2,0.0000,13.50
sgp,0,40,0.0000,7.15
slv,0,2,0.0000,7.00
som,0,1,0.0000,10.00
srb,0,4,0.0000,6.50
svk,0,5,0.0000,11.80
svn,0,2,0.0000,7.50
swe,0,18,0.0000,6.50
sxm,0,1,0.0000,4.00
syr,0,2,0.0000,6.50
tcd,0,1,0.0000,2.00
tha,0,56,0.0000,7.82
tkm,0,1,0.0000,10.00
tto,0,2,0.0000,4.00
tun,0,4,0.0000,4.50
tur,0,36,0.0000,6.64
twn,0,44,0.0000,6.57
tza,0,2,0.0000,10.00
uga,0,1,0.0000,5.00
ukr,0,35,0.0000,6.09
ury,0,3,0.0000,7.00
uzb,0,2,0.0000,5.00
ven,0,11,0.0000,7.27
vnm,0,88,0.0000,8.50
xkk,0,5,0.0000,10.20
zaf,0,8,0.0000,5.13
