date,clicks,impressions,ctr,position
2026-06-13,45,1695,0.0265,12.42
2026-06-14,78,2234,0.0349,9.37
2026-06-15,73,2411,0.0303,9.95
2026-06-16,92,2637,0.0349,9.02
2026-06-17,80,2578,0.0310,8.82
2026-06-18,115,3011,0.0382,9.30
2026-06-19,77,10666,0.0072,9.08
2026-06-20,43,1942,0.0221,9.45
2026-06-21,91,3006,0.0303,8.49
2026-06-22,97,4768,0.0203,8.02
2026-06-23,88,2909,0.0303,8.49
2026-06-24,99,2952,0.0335,8.31
2026-06-25,85,2786,0.0305,8.41
2026-06-26,47,1973,0.0238,8.61
2026-06-27,68,2121,0.0321,10.21
2026-06-28,89,2928,0.0304,8.15
2026-06-29,103,3181,0.0324,8.26
2026-06-30,113,3272,0.0345,8.48
2026-07-01,128,3523,0.0363,7.84
2026-07-02,97,3173,0.0306,8.08
2026-07-03,63,2167,0.0291,8.19
2026-07-04,92,2511,0.0366,8.11
2026-07-05,139,4127,0.0337,7.94
2026-07-06,123,4029,0.0305,7.97
2026-07-07,129,4071,0.0317,7.85
2026-07-08,100,4010,0.0249,8.06
2026-07-09,151,4659,0.0324,7.31
2026-07-10,61,2959,0.0206,7.91
