sns_post_id,platform,domain,content_key,fetched_at,impressions,reach,views,likes,comments,shares,saves,quotes
,instagram,ranking,18558080491071222,2026-07-05T11:58:18.548Z,,29,81,1,0,,,
,instagram,ranking,18083333237413277,2026-07-05T11:58:18.548Z,,23,66,0,0,,,
,instagram,ranking,18211227661339767,2026-07-05T11:58:18.548Z,,23,54,0,0,,,
,instagram,ranking,18449119327187568,2026-07-05T11:58:18.548Z,,20,68,0,0,,,
,instagram,ranking,18011314490884033,2026-07-05T11:58:18.548Z,,16,35,0,0,,,
,instagram,ranking,18115196533847636,2026-07-05T11:58:18.548Z,,33,68,0,0,,,
,instagram,ranking,17891791497524154,2026-07-05T11:58:18.548Z,,35,86,0,0,,,
,instagram,ranking,17914915836392365,2026-07-05T11:58:18.548Z,,33,51,0,0,,,
,instagram,ranking,18101223410036488,2026-07-05T11:58:18.548Z,,44,72,0,0,,1,
,instagram,ranking,18007202405736680,2026-07-05T11:58:18.548Z,,35,66,0,0,,,
,instagram,ranking,18103752823807546,2026-07-05T11:58:18.548Z,,247,267,0,0,,,
,instagram,ranking,18113197627864742,2026-07-05T11:58:18.548Z,,42,70,0,0,,,
,instagram,ranking,17925872865341001,2026-07-05T11:58:18.548Z,,116,129,1,0,,,
,instagram,ranking,18060505421707238,2026-07-05T11:58:18.548Z,,35,66,0,0,,,
,instagram,ranking,18124625110723434,2026-07-05T11:58:18.548Z,,38,86,2,0,,,
,instagram,ranking,17979576551851808,2026-07-05T11:58:18.548Z,,33,79,1,0,,,
,instagram,ranking,18106296358766918,2026-07-05T11:58:18.548Z,,169,191,1,0,,,
,instagram,ranking,17898939621444235,2026-07-05T11:58:18.548Z,,47,89,0,0,,,
,instagram,ranking,18021002309835733,2026-07-05T11:58:18.548Z,,73,118,4,0,,,
,instagram,ranking,18127929700542935,2026-07-05T11:58:18.548Z,,170,170,6,0,,,
,instagram,ranking,18073140179670273,2026-07-05T11:58:18.548Z,,56,85,2,0,,,
,instagram,ranking,18101895341092805,2026-07-05T11:58:18.548Z,,158,183,4,0,,,
,instagram,ranking,18122139061731099,2026-07-05T11:58:18.548Z,,44,86,2,0,,,
,instagram,ranking,17992353881989057,2026-07-05T11:58:18.548Z,,181,217,2,0,,,
,instagram,ranking,17951352171138918,2026-07-05T11:58:18.548Z,,144,174,1,0,,,
