unit_id,display_name,state,type,size,slot_id
ca-pub-7995274743017484:1047042956,ranking右サイドバー,ACTIVE,DISPLAY,1x3,1047042956
ca-pub-7995274743017484:1514473550,250✖️250,ARCHIVED,DISPLAY,250x250,1514473550
ca-pub-7995274743017484:2335818401,728✖️90,ACTIVE,DISPLAY,728x90,2335818401
ca-pub-7995274743017484:2582304999,　stats47-dashboard,ACTIVE,DISPLAY,1x3,2582304999
ca-pub-7995274743017484:2607536637,rankingKey最下部,ACTIVE,MATCHED_CONTENT,1x3,
ca-pub-7995274743017484:3118720337,右サイド縦長,ARCHIVED,DISPLAY,1x3,3118720337
ca-pub-7995274743017484:3260113140,レスポンシブ,ARCHIVED,DISPLAY,1x3,3260113140
ca-pub-7995274743017484:3604399166,stats47-ranking,ACTIVE,DISPLAY,1x3,3604399166
ca-pub-7995274743017484:4146136630,300✖️300,ARCHIVED,DISPLAY,300x300,4146136630
ca-pub-7995274743017484:4317152551,themes-content,ACTIVE,DISPLAY,1x3,4317152551
ca-pub-7995274743017484:5555350674,ranking-incontent-mobile,ACTIVE,ARTICLE,1x3,
ca-pub-7995274743017484:5610987738,blog-article-inline,ACTIVE,ARTICLE,1x3,
ca-pub-7995274743017484:6137206504,広告,ACTIVE,MATCHED_CONTENT,1x3,
ca-pub-7995274743017484:6180558947,サイドバー右上,ACTIVE,DISPLAY,1x3,6180558947
ca-pub-7995274743017484:6635359989,content-footer,ACTIVE,DISPLAY,1x3,6635359989
ca-pub-7995274743017484:7716393084,左サイドバー,ACTIVE,DISPLAY,1x3,7716393084
ca-pub-7995274743017484:7729016785,reaponsive,ARCHIVED,DISPLAY,1x3,7729016785
ca-pub-7995274743017484:8088191586,Multiprex横長,ARCHIVED,MATCHED_CONTENT,1x3,
ca-pub-7995274743017484:8185387982,stats47-hub-incontent,ACTIVE,ARTICLE,1x3,
ca-pub-7995274743017484:9312875747,AdsDashboard,ARCHIVED,MATCHED_CONTENT,200x100,
