COUNTRY_CODE,ESTIMATED_EARNINGS,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
BR,0,0,0,0,0,0,0,1,0
BY,0,0,0,0,0,0,0,1,0
CA,0,0,0,0,0,0,0,1,0
CN,0,1,3,0,0,0,1,373,0.0134
FR,0,0,0,0,0,0,0,1,0
GB,0,2,2,0,0,0,0,2,1
GH,0,1,1,0,0,0,0,343,0.0379
ID,0,0,0,0,0,0,0,2,0.5
JP,129,4134,31,34,0.0082,4,0.5185,12063,0.4729
KR,0,1,16,0,0,0,0,13,0.2308
LB,0,0,0,0,0,0,0,3,0
MA,0,0,0,0,0,0,0,1,0
SG,0,0,0,0,0,0,0,615,0.0602
TH,0,5,17,0,0,0,0.2,7,0.7143
TW,0,2,47,0,0,0,0.5,8,0.25
US,1,6,179,0,0,0,0.3333,3070,0.0629
VE,0,0,0,0,0,0,0,1,0
VN,0,0,0,0,0,0,0,1,0
ZZ,0,0,0,0,0,0,0,2,0
