AD_FORMAT_CODE,PLATFORM_TYPE_CODE,ESTIMATED_EARNINGS,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
ANCHOR,Desktop,2,30,58,0,0,0,0.8333,52,0.6538
ANCHOR,HighEndMobile,1,7,128,0,0,0,0.8571,9,1
INTERSTITIAL,Desktop,61,549,112,4,0.0073,15,0.9326,3088,0.5003
INTERSTITIAL,HighEndMobile,14,166,87,28,0.1687,1,0.7949,1075,0.7944
INTERSTITIAL,Tablet,2,10,174,0,0,0,0.625,48,1
ON_PAGE,Desktop,33,2650,13,0,0,0,0.4675,10162,0.2657
ON_PAGE,HighEndMobile,5,632,8,1,0.0016,5,0.2984,1909,0.3457
ON_PAGE,Tablet,0,41,8,0,0,0,0.2195,86,0.5116
SHOPPING_ANCHOR,Desktop,0,0,0,0,0,0,0,2,0
SHOPPING_ANCHOR,HighEndMobile,0,5,86,0,0,0,0,6,1
SHOPPING_CHIP,Desktop,8,42,201,1,0.0238,8,0.4762,42,1
SHOPPING_CHIP,HighEndMobile,1,6,85,0,0,0,0.3333,6,1
SHOPPING_CHIP,Tablet,0,1,9,0,0,0,1,3,0.3333
SHOPPING_LINK,Desktop,1,10,81,0,0,0,0.7,17,0.7647
UNFILLED_FALLBACK_TERM,Desktop,1,3,416,0,0,0,0.6667,3,1
