date,activeUsers,screenPageViews,sessions
20260412,1,4,1
20260413,1,10,2
20260414,1,25,4
20260415,1,0,1
20260416,5,5,6
20260418,9,33,10
20260419,2,2,2
20260420,10,18,11
20260421,16,52,17
20260422,2,5,2
20260423,6,60,7
20260424,2,96,2
20260425,31,108,31
20260426,128,184,131
20260427,124,3194,154
20260428,134,393,149
20260429,140,215,149
20260430,124,366,134
20260501,119,312,137
20260502,58,110,62
20260503,59,119,64
20260504,147,226,152
20260505,90,164,95
20260506,84,187,87
20260507,1,2,3
20260508,60,115,60
20260509,83,249,90
