date,activeUsers,sessions,engagedSessions,screenPageViews,engagementRate
2026-08-02,244,279,202,587,0.72401433691756267
2026-08-03,360,420,312,1449,0.74285714285714288
2026-08-04,319,374,271,1215,0.72459893048128343
2026-08-05,335,381,265,803,0.6955380577427821
2026-08-06,291,347,247,747,0.71181556195965423
2026-08-07,299,344,240,778,0.69767441860465118
2026-08-08,214,242,174,511,0.71900826446281
2026-08-09,201,220,160,394,0.72727272727272729
2026-08-10,305,338,250,618,0.73964497041420119
2026-08-11,249,284,204,816,0.71830985915492962
2026-08-12,308,353,255,919,0.72237960339943341
2026-08-13,291,332,230,686,0.69277108433734935
2026-08-14,328,366,262,749,0.71584699453551914
2026-08-15,301,352,252,1028,0.71590909090909094
