date,activeUsers,sessions,screenPageViews,newUsers
20260809,244,263,435,228
20260810,329,360,642,310
20260811,277,312,839,255
20260812,363,409,968,350
20260813,352,394,737,333
20260814,434,472,852,410
20260815,371,423,1097,350
20260816,509,540,907,498
20260817,551,598,955,524
20260818,853,898,2183,824
20260819,614,699,1489,577
20260820,846,920,1758,813
20260821,506,553,1143,476
20260822,285,316,563,275
20260823,346,386,710,328
20260824,546,632,1265,528
20260825,550,621,1261,521
20260826,717,778,1345,691
20260827,554,621,1515,528
20260828,729,816,1693,699
20260829,535,581,946,519
20260830,596,646,1073,580
20260831,666,738,1181,627
20260901,670,735,1890,645
20260902,589,661,1251,563
20260903,707,782,1835,672
20260904,764,843,1800,739
20260905,723,767,1650,705
