eventName,eventCount,totalUsers
page_view,40807,14294
affiliate_impression,24048,7224
session_start,16966,14363
first_visit,14109,14109
user_engagement,12455,9748
ranking_view,12410,7465
scroll,4980,3968
home_featured_impression,1987,396
nav_click,1770,533
year_change,937,175
search,643,80
rail_click,310,126
click,234,185
form_start,209,132
file_download,194,137
form_submit,128,52
view_search_results,87,38
geo_map_interaction,56,4
home_featured_click,41,33
geo_analysis_view,35,21
share,30,21
affiliate_click,21,17
page_not_found,6,4
cta_click,3,3
geo_region_select,3,3
