from_section,to_section,pageViews
ranking,ranking,2884
municipalities,municipalities,965
ranking,category,760
blog,ranking,730
category,ranking,716
ranking,blog,381
areas,areas,361
areas,ranking,332
ranking,areas,325
search,ranking,280
ranking,search,260
themes,themes,240
category,category,227
blog,blog,206
ranking,home,197
home,ranking,165
survey,ranking,148
search,search,96
category,areas,93
ranking,survey,92
home,areas,91
home,category,87
municipalities,areas,82
areas,themes,74
themes,ranking,66
areas,municipalities,60
blog,home,57
municipalities,themes,57
search,blog,55
themes,areas,54
category,blog,53
blog,search,52
blog,category,50
areas,category,49
home,blog,48
areas,home,45
geo,geo,42
ranking,themes,40
home,search,37
blog,areas,36
areas,survey,30
category,survey,28
ranking,municipalities,28
themes,municipalities,28
home,themes,27
themes,home,27
category,search,26
municipalities,ranking,26
japan,japan,22
category,home,20
areas,blog,18
municipalities,geo,18
blog,geo,17
blog,tag,17
survey,category,16
survey,areas,15
tag,blog,15
areas,geo,13
geo,blog,13
municipalities,home,13
geo,areas,12
home,about,12
home,survey,12
ranking,geo,12
survey,themes,11
geo,ranking,10
home,municipalities,10
municipalities,japan,10
search,home,10
survey,survey,10
themes,survey,10
about,ranking,9
japan,municipalities,9
blog,survey,8
category,tag,8
survey,blog,8
themes,japan,8
blog,about,7
category,municipalities,7
geo,home,7
ranking,about,7
blog,themes,6
search,category,6
survey,home,6
about,home,5
areas,search,5
themes,search,5
blog,municipalities,4
geo,municipalities,4
search,themes,4
geo,themes,3
japan,category,3
japan,themes,3
municipalities,blog,3
search,survey,3
themes,category,3
about,blog,2
about,category,2
about,terms,2
category,about,2
geo,category,2
home,geo,2
municipalities,category,2
municipalities,search,2
search,japan,2
search,municipalities,2
tag,category,2
terms,ranking,2
themes,geo,2
about,about,1
about,areas,1
about,privacy,1
about,search,1
areas,about,1
category,themes,1
home,home,1
home,terms,1
japan,areas,1
japan,home,1
japan,ranking,1
japan,search,1
products,home,1
ranking,japan,1
ranking,tag,1
ranking,terms,1
search,areas,1
search,geo,1
survey,search,1
tag,home,1
tag,ranking,1
terms,privacy,1
themes,blog,1
