landingPage,sessions,engagedSessions,avgEngagementSec,pagesPerSession,desktopShare,workdayHoursShare
(not set),1111,47,10.5,0,0.844,0.556
/blog/local-government-debt-burden,604,468,77.2,2.02,0.329,0.398
/blog/noodle-consumption-prefecture-character,495,325,39.1,1.47,0.248,0.353
/,321,192,88.5,7.38,0.792,0.481
/blog/childcare-friendly-prefecture-ranking,309,250,51.6,1.2,0.284,0.455
/blog/health-life-expectancy-structure,280,222,66.5,1.69,0.664,0.467
/ranking/avg-height-high-school-2nd-male,266,180,38,1.83,0.207,0.276
/blog/foreign-residents-diversity-map,264,140,50,1.62,0.148,0.228
/blog/household-spending-prefecture-gap,250,209,55.5,4.22,0.344,0.386
/blog/automotive-industry-transformation-map,236,164,67,1.33,0.658,0.514
/blog/livable-prefecture-composite-ranking,236,172,60.3,1.35,0.623,0.544
/ranking/owner-occupied-housing-ratio,224,178,68.5,1.63,0.732,0.134
/ranking/natto-consumption-expenditure,215,156,32.2,1.36,0.302,0.355
/ranking/annual-sunshine-duration,205,142,55.2,2.37,0.483,0.44
/blog/convenience-store-density-map,175,111,23.4,1.6,0.417,0.444
/blog/rice-harvest-volume-prefecture-gap,153,112,117.2,2.26,0.817,0.895
/ranking/convenience-store-count-commercial,149,110,57.2,2.56,0.477,0.454
/blog/konbu-consumption-prefecture-gap,140,74,38.7,1.66,0.357,0.417
/ranking/rice-consumption-quantity,136,100,65.4,2.88,0.603,0.514
/ranking/icecream-consumption-expenditure,135,88,37.5,1.73,0.385,0.277
/blog/chicken-consumption-quantity,130,99,53.7,1.66,0.427,0.399
/municipalities/ranking/manufacturing-shipment-amount,127,89,110.5,9.24,0.394,0.427
/blog/alcohol-prefecture-map,122,84,62.8,1.45,0.5,0.454
/blog/bonito-catch-prefecture,120,67,50.9,2.58,0.308,0.313
/ranking/cup-noodles-consumption-expenditure,107,75,37,1.74,0.243,0.378
/blog/farmland-crisis-abandoned-land,106,80,51.7,2.12,0.651,0.583
/blog/local-tax-revenue-gap,99,79,73.4,2.09,0.485,0.419
/blog/assembly-answer-chatgpt-5steps,97,72,70.8,1.42,0.567,0.396
/blog/precipitation-snow-regional-gap,97,60,57.2,2.16,0.278,0.343
/blog/suicide-rate-aging-nexus,90,73,68.7,1.11,0.678,0.532
/ranking/real-disposable-income,90,71,49.9,2.59,0.533,0.532
/ranking/dual-income-household-ratio,87,60,38.1,1.82,0.54,0.5
/ranking/stillbirth-rate,86,73,27,1.21,0.977,0.37
/blog/engel-coefficient-prefecture-ranking,80,63,77.9,2.51,0.438,0.529
/ranking/tuna-consumption-quantity,80,59,57.4,4.2,0.425,0.5
/ranking,79,54,153.4,14.89,0.924,0.629
/blog/aging-solo-living-crisis,76,61,73.4,1.72,0.763,0.616
/ranking/national-treasury-disbursement-prefecture,76,62,57.9,2.32,0.368,0.543
/blog/rice-consumption-quantity-ranking,74,62,83.1,4.92,0.514,0.524
/blog/sports-urban-paradox,70,55,85.8,1.61,0.771,0.662
/ranking/voter-turnout-governor,70,58,31.2,1.41,0.314,0.306
/blog/manufacturing-aichi-dominance,68,51,95.2,4.71,0.676,0.486
/ranking/local-allocation-tax-prefecture,67,46,41.2,1.6,0.418,0.507
/ranking/pachinko-shop-density-per-10k,66,43,33.7,1.3,0.258,0.343
/ranking/stillbirths-after-22-weeks,65,47,29.2,1.42,0.692,0.471
/ranking/green-tea-consumption-quantity,62,42,80.8,2.82,0.484,0.522
/ranking/instant-noodles-consumption-quantity,57,43,51.4,2.25,0.368,0.259
/blog/prefectural-income-gdp-ranking,56,48,66.8,1.3,0.339,0.276
/blog/semiconductor-electronics-regional-map,56,47,75.1,1.66,0.509,0.474
/ranking/grilled-eel-consumption-expenditure,55,34,22.1,1.35,0.273,0.373
