rank,ranking_key,title,impressions,clicks,ctr_avg,position_avg,has_ai_content
1,pasta-consumption-quantity,パスタ消費量,155,6,0.0387,6.74,1
2,konbu-consumption-quantity,こんぶ消費量,127,10,0.0787,7.55,1
3,starting-salary-highschool,高卒初任給,123,0,0.0000,12.61,1
4,tofu-consumption-quantity,豆腐消費量,122,3,0.0246,7.11,1
5,shochu-consumption-quantity,焼酎消費量,118,3,0.0254,8.77,1
6,roadside-station-count,道の駅数,103,1,0.0097,10.48,1
7,road-total-length,道路実延長,86,3,0.0349,7.47,1
8,miso-consumption-quantity,みそ消費量,82,1,0.0122,7.90,1
9,local-debt-current,地方債現在高,78,5,0.0641,8.21,1
10,ketchup-consumption-quantity,ケチャップ消費量,75,1,0.0133,7.69,1
11,wheat-flour-consumption-quantity,小麦粉消費量,65,4,0.0615,6.92,1
12,inpatient-rate-per-100k,入院受療率,63,0,0.0000,6.03,1
13,telework-rate,テレワーク実施率,59,5,0.0847,10.34,1
14,cake-consumption-expenditure,ケーキ消費支出額,59,1,0.0169,7.93,1
15,green-tea-consumption-quantity,緑茶消費量,59,1,0.0169,7.41,1
16,pickled-daikon-consumption-quantity,だいこん漬消費量,58,2,0.0345,8.47,1
17,sports-spectating-consumption-expenditure,スポーツ観覧料消費支出額,57,11,0.1930,5.61,1
18,fresh-udon-soba-consumption-quantity,生うどん・そば消費量,56,1,0.0179,9.64,1
19,starting-salary-university,大卒初任給,55,2,0.0364,6.40,1
20,potato-consumption-quantity,じゃがいも消費量,54,1,0.0185,6.74,1
21,tissue-paper-consumption-expenditure,ティッシュペーパー消費支出額,52,1,0.0192,7.38,1
22,other-mushroom-consumption-quantity,他のきのこ消費量,51,3,0.0588,7.98,1
23,hamburger-consumption-expenditure,ハンバーガー消費支出額,49,4,0.0816,7.20,1
24,outpatient-rate-per-100k,外来受療率,49,0,0.0000,9.10,1
25,bus-commuter-pass-consumption-expenditure,バス通勤定期代消費支出額,46,0,0.0000,7.17,1
26,tomato-consumption-quantity,トマト消費量,39,4,0.1026,8.05,1
27,dairy-cattle-count,乳用牛飼養頭数,39,0,0.0000,10.95,1
28,tennis-court-public,テニスコート数（公共）,38,0,0.0000,6.66,1
29,yogurt-consumption-expenditure,ヨーグルト消費支出額,38,0,0.0000,8.16,1
30,pots-kettles-consumption-expenditure,鍋・やかん消費支出額,37,0,0.0000,6.76,1
31,cabbage-consumption-quantity,キャベツ消費量,35,2,0.0571,7.17,1
32,swimming-pool-public,水泳プール数（公共）,35,2,0.0571,8.00,1
33,daikon-consumption-expenditure,だいこん消費支出額,35,0,0.0000,6.89,1
34,total-fertility-rate,合計特殊出生率,35,0,0.0000,25.86,1
35,strawberry-consumption-quantity,いちご消費量,33,1,0.0303,7.64,1
36,bonito-consumption-quantity,かつお消費量,32,0,0.0000,7.84,1
37,wind-power-turbine-count,風力発電導入量（設置基数）,32,0,0.0000,8.19,1
38,squid-consumption-quantity,いか消費量,31,0,0.0000,7.26,1
39,wakame-consumption-quantity,わかめ消費量,28,2,0.0714,6.57,1
40,psychiatric-hospital-count-per-100k,精神科病院数,28,1,0.0357,11.21,1
41,eggplant-consumption-quantity,なす消費量,28,0,0.0000,7.29,1
42,kerosene-consumption-quantity,灯油消費量,26,0,0.0000,6.88,1
43,department-supermarket-count-per-100k,百貨店、総合スーパー数,25,0,0.0000,9.16,1
44,dried-udon-soba-consumption-quantity,乾うどん・そば消費量,25,0,0.0000,12.56,1
45,sugar-consumption-expenditure,砂糖消費支出額,24,1,0.0417,8.58,1
46,sushi-dining-consumption-expenditure,すし(外食)消費支出額,24,1,0.0417,8.79,1
47,chikuwa-consumption-expenditure,ちくわ消費支出額,24,0,0.0000,8.08,1
48,large-retail-store-count-per-100k,大型小売店数,23,1,0.0435,8.04,1
49,pickled-plum-consumption-quantity,梅干し消費量,23,1,0.0435,5.96,1
50,road-general-prefectural-length,道路実延長（一般都道府県道）,23,1,0.0435,12.30,1
51,bacon-consumption-quantity,ベーコン消費量,23,0,0.0000,5.83,1
52,potato-consumption-expenditure,じゃがいも消費支出額,23,0,0.0000,8.57,1
