理由,ソース,確認,ページ
見つかりませんでした（404）,ウェブサイト,失敗しました,5727
ページにリダイレクトがあります,ウェブサイト,失敗しました,2305
サーバーエラー（5xx）,ウェブサイト,失敗しました,2044
重複しています。ユーザーにより、正規ページとして選択されていません,ウェブサイト,失敗しました,534
ソフト 404,ウェブサイト,失敗しました,500
クロール済み - インデックス未登録,Google システム,失敗しました,2415
noindex タグによって除外されました,ウェブサイト,開始前,663
robots.txt によりブロックされました,ウェブサイト,開始前,110
重複しています。Google により、ユーザーがマークしたページとは異なるページが正規ページとして選択されました,Google システム,開始前,51
代替ページ（適切な canonical タグあり）,ウェブサイト,開始,885
検出 - インデックス未登録,Google システム,開始,1394
他の 4xx の問題が原因でブロックされました,ウェブサイト,該当なし,0
