URL,前回のクロール,ステータス
https://stats47.jp/blog/tags/介護老人福祉施設,2026-04-14,保留
https://storage.stats47.jp/ranking/prefecture/main-road-paving-rate/2023/thumbnails/thumbnail,2026-04-14,保留
https://stats47.jp/survey/cpi-regional,2026-04-14,保留
https://stats47.jp/areas/15000/15385,2026-04-14,保留
https://stats47.jp/economy/agricultural-household-economy/dashboard/47000,2026-04-14,保留
https://stats47.jp/population/commuting-school/dashboard/23100,2026-04-14,保留
https://stats47.jp/areas/31000/31402,2026-04-14,保留
https://stats47.jp/ranking/commuter-ratio-to-other-municipalities,2026-04-14,保留
https://stats47.jp/areas/07000/07202,2026-04-14,保留
https://stats47.jp/ranking/consumer-price-difference-index-utilities,2026-04-14,保留
https://stats47.jp/areas/27000/27361,2026-04-14,保留
https://stats47.jp/administrativefinancial/staff-assembly-election/dashboard/20000,2026-04-14,保留
https://stats47.jp/blog/tags/ピアノ,2026-04-14,保留
https://stats47.jp/blog/tags/社会問題,2026-04-14,保留
https://stats47.jp/blog/tags/郵便物引受数,2026-04-14,保留
https://stats47.jp/blog/tags/可住地面積,2026-04-14,保留
https://stats47.jp/administrativefinancial/investment/dashboard/05464,2026-04-14,保留
https://stats47.jp/administrativefinancial/fiscal-indicators/dashboard/02424,2026-04-14,保留
https://stats47.jp/areas/06000/06323,2026-04-14,保留
https://stats47.jp/areas/21000/21404,2026-04-14,保留
https://stats47.jp/population/commuting-school/dashboard/02000,2026-04-14,保留
https://stats47.jp/population/population-composition/dashboard/33000,2026-04-14,保留
https://stats47.jp/socialsecurity/health-care/dashboard/45000,2026-04-14,保留
https://stats47.jp/administrativefinancial/revenue/dashboard/32000,2026-04-14,保留
https://stats47.jp/landweather/natural-environment/dashboard/21000,2026-04-14,保留
https://stats47.jp/educationsports/kindergarten/dashboard/19000,2026-04-14,保留
https://stats47.jp/blog/tags/世帯保険金額,2026-04-14,保留
https://stats47.jp/educationsports/sports-facilities/dashboard/19000,2026-04-14,保留
https://stats47.jp/blog/tags/高齢者福祉,2026-04-14,保留
https://stats47.jp/areas/35000/35202,2026-04-14,保留
https://stats47.jp/areas/21000/21216,2026-04-14,保留
https://stats47.jp/blog/tags/セーフティネット,2026-04-14,保留
https://stats47.jp/areas/43000/43206,2026-04-14,保留
https://stats47.jp/dashboard/agricultural-household/20201,2026-04-14,保留
https://stats47.jp/areas/42000/42321,2026-04-14,保留
https://stats47.jp/educationsports/junior-high-school/dashboard/03000,2026-04-14,保留
https://stats47.jp/areas/02000/02387,2026-04-14,保留
https://stats47.jp/dashboard/00000/dashboard/33000,2026-04-14,保留
https://stats47.jp/areas/31000/31370,2026-04-14,保留
https://stats47.jp/survey/local-tax,2026-04-14,保留
https://stats47.jp/blog/tags/コンビニ,2026-04-14,保留
https://stats47.jp/dashboard/infrastructure-energy/16000,2026-04-14,保留
https://stats47.jp/areas/46000/46303,2026-04-14,保留
https://stats47.jp/construction/living-environment/dashboard/00000,2026-04-14,保留
https://stats47.jp/areas/06000/06324,2026-04-14,保留
https://stats47.jp/areas/31000/31302,2026-04-14,保留
https://stats47.jp/areas/35000/35343,2026-04-14,保留
https://stats47.jp/construction/housing-structure/dashboard/47000,2026-04-14,保留
https://stats47.jp/areas/22000/22219,2026-04-14,保留
https://stats47.jp/areas/14000/14217,2026-04-14,保留
https://stats47.jp/areas/02000/02411,2026-04-14,保留
https://stats47.jp/areas/06000/06365,2026-04-14,保留
https://stats47.jp/areas/02000/02321,2026-04-14,保留
https://stats47.jp/areas/12000/12463,2026-04-14,保留
https://stats47.jp/laborwage/labor-force-structure/dashboard/27100,2026-04-14,保留
https://stats47.jp/blog/tags/平均体重,2026-04-14,保留
https://stats47.jp/population/population-movement/dashboard/14100,2026-04-14,保留
https://stats47.jp/areas/09000/09206,2026-04-14,保留
https://stats47.jp/areas/39000/39403,2026-04-14,保留
https://stats47.jp/dashboard/manufacturing/13000,2026-04-14,保留
https://stats47.jp/blog/tags/国民健康保険,2026-04-14,保留
https://stats47.jp/areas/12000/12441,2026-04-14,保留
https://stats47.jp/dashboard/staff-assembly-election/17000,2026-04-14,保留
https://stats47.jp/dashboard/00000/dashboard/02201,2026-04-14,保留
https://stats47.jp/ranking/cpi-change-rate-transport-communication,2026-04-14,保留
https://stats47.jp/landweather/land-use/dashboard/33000,2026-04-14,保留
https://stats47.jp/areas/09000/09213,2026-04-14,保留
https://stats47.jp/dashboard/00000/dashboard/40000,2026-04-14,保留
https://stats47.jp/population/birth-death/dashboard/04100,2026-04-14,保留
https://stats47.jp/areas/07000/07210,2026-04-14,保留
https://stats47.jp/tourism/transportation/dashboard/46000,2026-04-14,保留
https://stats47.jp/administrativefinancial/tax-revenue/dashboard/00000,2026-04-14,保留
https://stats47.jp/ranking/consumer-price-difference-index-transport-communication,2026-04-14,保留
https://stats47.jp/educationsports/special-education/dashboard/11000,2026-04-14,保留
https://stats47.jp/areas/42000/42201,2026-04-13,保留
https://stats47.jp/socialsecurity/public-assistance-welfare/dashboard/00000,2026-04-13,保留
https://stats47.jp/agriculture/agricultural-household/dashboard/40000,2026-04-13,保留
https://stats47.jp/ranking/gross-prefectural-product-forestry-h27,2026-04-13,保留
https://stats47.jp/ranking/consumer-price-difference-index-healthcare,2026-04-13,保留
https://stats47.jp/areas/24000/24344,2026-04-13,保留
https://stats47.jp/ranking/general-project-investment-road,2026-04-13,保留
https://stats47.jp/blog/socialsecurity,2026-04-13,保留
https://stats47.jp/educationsports/cultural-facilities/dashboard/11000,2026-04-13,保留
https://stats47.jp/laborwage/labor-force-structure/dashboard/01100,2026-04-13,保留
https://stats47.jp/ranking/consumer-price-difference-index-culture-recreation,2026-04-13,保留
https://stats47.jp/ranking/cpi-change-rate-food,2026-04-13,保留
https://stats47.jp/economy/business-scale/dashboard/41000,2026-04-13,保留
https://stats47.jp/blog/tags/農業所得,2026-04-13,保留
https://stats47.jp/landweather/weather-climate/dashboard/07000,2026-04-13,保留
https://stats47.jp/areas/08000/08233,2026-04-13,保留
https://stats47.jp/construction/living-environment/dashboard/47000,2026-04-13,保留
https://stats47.jp/areas/11000/11232,2026-04-13,保留
https://stats47.jp/ranking/cpi-change-rate-miscellaneous,2026-04-13,保留
https://stats47.jp/administrativefinancial/expenditure/dashboard/14000,2026-04-13,保留
https://stats47.jp/dashboard/households/07000,2026-04-13,保留
https://stats47.jp/landweather/natural-environment/dashboard/14000,2026-04-13,保留
https://stats47.jp/dashboard/00000/dashboard/27100,2026-04-13,保留
https://stats47.jp/socialsecurity/health-care/dashboard/18000,2026-04-13,保留
https://stats47.jp/blog/tags/おでかけ格差,2026-04-13,保留
https://stats47.jp/population/marriage/dashboard/29000,2026-04-13,保留
https://stats47.jp/blog/tags/女性,2026-04-13,保留
https://stats47.jp/administrativefinancial/tax-revenue/dashboard/02208,2026-04-13,保留
https://stats47.jp/blog/tags/農業産出額,2026-04-13,保留
https://stats47.jp/socialsecurity/life-expectancy/dashboard/20000,2026-04-13,保留
https://stats47.jp/dashboard/information-communication/05000,2026-04-13,保留
https://stats47.jp/dashboard/fire-insurance/21000,2026-04-13,保留
https://stats47.jp/areas/04000/04207,2026-04-13,保留
https://stats47.jp/dashboard/high-school/38000,2026-04-13,保留
https://stats47.jp/dashboard/roads/45000,2026-04-13,保留
https://stats47.jp/dashboard/weather-climate/14000,2026-04-13,保留
https://stats47.jp/dashboard/industrial-structure/34000,2026-04-13,保留
https://stats47.jp/dashboard/parks-greenery/11000,2026-04-13,保留
https://stats47.jp/dashboard/business-scale/22000,2026-04-13,保留
https://stats47.jp/blog/tags/男女差,2026-04-13,保留
https://stats47.jp/administrativefinancial/fiscal-indicators/dashboard/13100,2026-04-13,保留
https://stats47.jp/areas/08000/08228,2026-04-12,保留
https://stats47.jp/areas/29000/29442,2026-04-12,保留
https://storage.stats47.jp/ranking/prefecture/construction-industry-count/2023/thumbnails/thumbnail,2026-04-12,保留
https://storage.stats47.jp/ranking/prefecture/vehicle-kilometers-traveled/2005/thumbnails/thumbnail,2026-04-12,保留
https://stats47.jp/blog/tags/物価変動,2026-04-12,保留
https://stats47.jp/areas/22000/22209,2026-04-12,保留
https://stats47.jp/dashboard/14100/dashboard/00000,2026-04-12,保留
