URL,前回のクロール,ステータス
https://stats47.jp/tag/energy-saving,2026-04-12,保留
https://stats47.jp/ranking/commute-by-train,2026-04-12,保留
https://stats47.jp/ranking/other-shellfish-consumption-quantity,2026-04-12,保留
https://stats47.jp/correlation?x=ketchup-consumption-expenditure,2026-04-10,保留
https://stats47.jp/correlation?x=average-height-middle-school-second-grade-female&y=average-height-high-school-second-grade-female,2026-04-05,保留
https://stats47.jp/correlation?x=overseas-package-tour-consumption-expenditure,2026-04-04,保留
https://stats47.jp/ranking/ssdse-f-max-temp-avg,2026-04-04,保留
https://stats47.jp/correlation?x=cut-flowers-consumption-expenditure,2026-04-01,保留
https://stats47.jp/ranking/midwife-annual-income,2026-03-30,保留
https://stats47.jp/ranking/fishing-port-count-ksj,2026-03-30,保留
https://stats47.jp/ranking/public-bath-count,2026-03-30,保留
https://stats47.jp/ranking/foreign-population-per-100k,2026-03-30,保留
https://stats47.jp/ranking/truck-driver-annual-income,2026-03-30,保留
https://stats47.jp/ranking/spouse-income,2026-03-30,保留
https://stats47.jp/ranking/violent-crime-per-100k,2026-03-30,保留
https://stats47.jp/ranking/construction-contract-disaster-recovery,2026-03-30,保留
https://stats47.jp/ranking/crime-rate-per-1k,2026-03-30,保留
https://stats47.jp/ranking/physical-disability-rehabilitation-center-cases,2026-03-30,保留
https://stats47.jp/ranking/thermal-power-plant-count,2026-03-30,保留
https://stats47.jp/ranking/senility-death-count,2026-03-30,保留
https://stats47.jp/ranking/bus-driver-annual-income,2026-03-30,保留
https://stats47.jp/ranking/associate-professor-annual-income,2026-03-30,保留
https://stats47.jp/ranking/flood-damage-general-assets,2026-03-30,保留
https://stats47.jp/ranking/department-supermarket-count,2026-03-30,保留
https://stats47.jp/correlation?x=ssdse-c-lb103004&y=ssdse-c-lb102002,2026-03-27,保留
https://stats47.jp/correlation?x=junior-college-new-graduates-unemployment-rate&y=welfare-office-public-assistance-applications-per-1000-households,2026-03-26,保留
https://stats47.jp/compare/laborwage,2026-03-26,保留
https://stats47.jp/correlation?x=study-participation-rate-business-skills,2026-03-23,保留
http://stats47.jp/areas/13000,2026-03-23,保留
https://stats47.jp/ranking/rice-cultivated-area,2026-03-13,保留
https://stats47.jp/ranking/ssdse-c-lb092002,2026-03-04,保留
https://stats47.jp/ranking/ssdse-d-md22,2026-03-04,保留
https://stats47.jp/ranking/ssdse-c-lb053002,2026-03-04,保留
https://stats47.jp/ranking/consumer-price-difference-index-miscellaneous,2026-03-03,保留
https://stats47.jp/ranking/average-height-primary-school-fifth-grade-female,2026-03-03,保留
https://stats47.jp/ranking/air-passenger-transport,2026-03-03,保留
https://stats47.jp/ranking/late-elderly-medical-expense-per-insured,2026-03-03,保留
https://stats47.jp/ranking/secondary-employed-people-ratio-tertiary,2026-03-03,保留
https://stats47.jp/ranking/life-expectancy-0-female,2026-03-03,保留
https://stats47.jp/ranking/projected-population-2040,2026-03-02,保留
https://stats47.jp/ranking/ssdse-c-lb023003,2026-03-02,保留
https://stats47.jp/ranking/consumer-price-difference-index-clothing-footwear,2026-02-28,保留
https://stats47.jp/ranking/traffic-accident-casualties-per-100-accidents,2026-02-28,保留
https://stats47.jp/correlation?x=commission-fees-prefecture&y=standard-fiscal-revenue-municipality,2026-02-28,保留
https://stats47.jp/ranking/unmarried-ratio-male-40-44,2026-02-28,保留
https://stats47.jp/correlation?x=senior-welfare-center-staff-per-100k-65plus&y=senior-welfare-center-count-per-100k-65plus,2026-02-28,保留
