URL,前回のクロール
https://stats47.jp/tag/tax-revenue,2026-04-09
https://stats47.jp/correlation?x=comprehensive-park-count,2026-03-30
https://stats47.jp/agriculture/agricultural-household/dashboard/10000,2026-03-09
https://stats47.jp/miningindustry/industrial-production/dashboard/35000,2026-03-09
https://stats47.jp/construction/living-environment/dashboard/06000,2026-03-09
https://stats47.jp/miningindustry/industrial-production/dashboard/08000,2026-03-09
https://stats47.jp/miningindustry/industrial-production/dashboard/34000,2026-03-09
https://stats47.jp/agriculture/forestry/dashboard/44000,2026-03-09
https://stats47.jp/population/population-composition/dashboard/36000,2026-03-09
https://stats47.jp/energy/water-supply-sewerage/dashboard/23000,2026-03-09
https://stats47.jp/agriculture/forestry/dashboard/18000,2026-03-09
https://stats47.jp/economy/agricultural-household-economy/dashboard/16000,2026-03-09
https://stats47.jp/population/basic-population/dashboard/26000,2026-03-09
https://stats47.jp/socialsecurity/social-security-indicators/dashboard/12000,2026-03-08
https://stats47.jp/socialsecurity/pharmacies/dashboard/28000,2026-03-08
https://stats47.jp/laborwage/industrial-structure/dashboard/07000,2026-03-08
https://stats47.jp/administrativefinancial/tax-revenue/dashboard/35000,2026-03-08
https://stats47.jp/correlation/dependent-population-index-and-aging-index,2026-02-03
https://stats47.jp/correlation/aquaculture-harvest-and-number-of-labor-disputes,2026-02-02
https://stats47.jp/correlation/voluntary-auto-insurance-premium-and-amount-of-public-construction-contracts,2026-02-02
https://stats47.jp/correlation/day-time-population-and-actual-overnight-guests,2026-02-02
https://stats47.jp/correlation/main-road-length-per-km2-and-accidental-deaths-per-100k,2026-02-01
https://stats47.jp/correlation/night-soil-treatment-population-ratio-2012on-and-auto-insurance-penetration-personal-injury-actual,2026-02-01
https://stats47.jp/correlation/building-fire-count-and-actual-road-length,2026-02-01
https://stats47.jp/correlation/disaster-damage-amount-and-actual-road-length,2026-02-01
https://stats47.jp/correlation/number-of-primary-industry-establishments-establishment-corporate-statistics-and-aquaculture-harvest,2026-01-31
https://stats47.jp/correlation/fire-department-water-count-and-amount-of-public-construction-contracts,2026-01-31
https://stats47.jp/correlation/city-gas-sales-volume-and-agricultural-land-conversion-area,2026-01-31
https://stats47.jp/correlation/deaths-male-and-agricultural-output,2026-01-29
https://stats47.jp/correlation/criminal-arrest-count-and-actual-road-length,2026-01-29
https://stats47.jp/correlation/number-of-establishments-economic-census-basic-survey-and-actual-road-length,2026-01-28
https://stats47.jp/correlation/dental-clinic-count-per-100km2-and-average-age-of-first-marriage-husband,2026-01-27
https://stats47.jp/correlation/library-count-per-million-and-accidental-deaths-per-100k,2026-01-27
https://stats47.jp/blog/tags/民事事件,2026-01-13
https://stats47.jp/correlation/death-heart-disease-and-actual-road-length,2026-01-13
https://stats47.jp/correlation/final-education-university-graduate-school-ratio-and-accidental-deaths-per-100k,2026-01-13
https://stats47.jp/correlation/sewerage-drainage-area-population-and-actual-road-length,2026-01-13
https://stats47.jp/correlation/fulltime-physicians-general-hospital-per-100beds-and-accidental-deaths-per-100k,2026-01-12
https://stats47.jp/correlation/heinous-offense-arrested-person-count-and-amount-of-public-construction-contracts,2026-01-11
https://stats47.jp/correlation/hospital-count-and-aquaculture-harvest,2026-01-11
https://stats47.jp/correlation/fire-damage-amount-and-aquaculture-harvest,2026-01-11
https://stats47.jp/correlation/capacity-utilization-rate-and-apartment-ratio,2026-01-11
https://stats47.jp/correlation/junior-high-school-graduates-and-agricultural-output,2026-01-09
https://stats47.jp/correlation/city-gas-meter-installations-and-air-passenger-transport,2026-01-09
https://stats47.jp/correlation/number-of-constructed-buildings-and-amount-of-public-construction-contracts,2026-01-08
https://stats47.jp/correlation/community-sports-facility-count-per-million-and-aging-index,2026-01-06
https://stats47.jp/correlation/employed-people-count-and-agricultural-land-conversion-area,2026-01-06
https://stats47.jp/correlation/neighborhood-park-count-per-100km2-and-accidental-deaths-per-100k,2026-01-05
https://stats47.jp/correlation/community-sports-facility-count-per-million-and-accidental-deaths-per-100k,2026-01-03
https://stats47.jp/correlation/vehicle-kilometers-traveled-and-actual-road-length,2026-01-03
https://stats47.jp/correlation/fire-insurance-new-contract-count-1year-and-annual-water-supply-volume-municipal,2025-12-25
https://stats47.jp/correlation/persons-on-public-assistance-and-amount-of-public-construction-contracts,2025-12-25
https://stats47.jp/correlation/library-count-and-agricultural-land-conversion-area,2025-12-24
https://stats47.jp/correlation/library-count-per-million-and-active-job-opening-ratio,2025-12-19
https://stats47.jp/correlation/library-count-and-amount-of-public-construction-contracts,2025-12-18
https://stats47.jp/correlation/library-count-and-actual-road-length,2025-12-18
https://stats47.jp/correlation/library-count-and-annual-water-supply-volume-municipal,2025-12-17
https://www.stats47.jp/stats/tag/judiciary,2025-12-16
https://www.stats47.jp/stats/tag/男子中学生,2025-12-16
https://www.stats47.jp/stats/tag/自動車,2025-12-16
https://stats47.jp/correlation/residential-area-ratio-and-annual-emergency-dispatches-per-1000,2025-12-16
https://www.stats47.jp/stats/tag/tourism,2025-12-16
https://www.stats47.jp/stats/tag/penal-code-arrests,2025-12-16
https://www.stats47.jp/stats/prefecture-rank/work-avg-time-employed-female/2021,2025-12-16
https://stats47.jp/correlation/forest-area-ratio-and-accidental-deaths-per-100k,2025-12-16
https://stats47.jp/correlation/forest-area-ratio-and-aging-index,2025-12-16
https://stats47.jp/correlation/households-on-public-assistance-per-1000-and-annual-emergency-dispatches-per-1000,2025-12-16
https://stats47.jp/correlation/residential-area-ratio-and-active-job-opening-ratio,2025-12-16
https://stats47.jp/correlation/psychiatric-inpatients-per-fulltime-physician-per-day-report-and-aging-index,2025-12-16
https://stats47.jp/correlation/elementary-school-class-count-and-amount-of-public-construction-contracts,2025-12-16
https://stats47.jp/correlation/municipal-general-administration-staff-and-amount-of-public-construction-contracts,2025-12-16
https://stats47.jp/correlation/elementary-school-class-count-and-actual-overnight-guests,2025-12-16
https://stats47.jp/correlation/long-absence-primary-school-illness-per-1000-and-annual-emergency-dispatches-per-1000,2025-12-16
https://stats47.jp/correlation/households-on-public-assistance-per-1000-and-active-job-opening-ratio,2025-12-16
https://stats47.jp/correlation/forest-area-ratio-and-age-adjusted-mortality-rate-old,2025-12-16
https://stats47.jp/correlation/food-retail-store-count-per-1000-and-annual-new-inpatients-general-hospital-per-100k,2025-12-16
https://stats47.jp/correlation/food-retail-store-count-per-1000-and-aging-index,2025-12-16
https://stats47.jp/correlation/part-time-employment-rate-regular-and-accidental-deaths-per-100k,2025-12-16
https://stats47.jp/correlation/part-time-employment-rate-regular-and-aging-index,2025-12-16
