URL,前回のクロール
https://stats47.jp/tag/birth-rate,2026-04-12
https://stats47.jp/ranking/chinese-cabbage-consumption-quantity,2026-04-12
https://stats47.jp/areas/02208,2026-04-09
https://stats47.jp/ranking/strawberry-consumption-quantity,2026-04-09
https://stats47.jp/ranking/night-soil-treatment-population-ratio,2026-04-09
https://stats47.jp/ranking/white-bread-consumption-expenditure,2026-04-09
https://stats47.jp/ranking/health-insurance-premium-consumption-expenditure,2026-04-07
https://stats47.jp/ranking/sweet-potato-consumption-quantity,2026-04-06
https://stats47.jp/commercial/commerce-service-industry/dashboard,2026-04-06
https://stats47.jp/ranking/chinese-cabbage-consumption-expenditure,2026-04-06
https://stats47.jp/ranking/general-affairs-expenses-prefecture,2026-04-04
https://stats47.jp/areas/13000/educationsports,2026-04-03
https://stats47.jp/ranking/shared-burden-fees-prefecture,2026-04-02
https://stats47.jp/compare?areas=20000,2026-04-01
https://stats47.jp/ranking/soy-sauce-consumption-quantity,2026-04-01
https://stats47.jp/ranking/other-mushroom-consumption-expenditure,2026-04-01
https://stats47.jp/ranking/cabbage-consumption-expenditure,2026-04-01
https://stats47.jp/category/socialsecurity,2026-03-31
https://stats47.jp/ranking/taxi-driver-annual-income,2026-03-30
https://stats47.jp/ranking/psychiatric-bed-count,2026-03-30
https://stats47.jp/ranking/dental-hygienist-annual-income,2026-03-30
https://stats47.jp/ranking/accountant-annual-income,2026-03-30
https://stats47.jp/ranking/water-supply-population,2026-03-30
https://stats47.jp/ranking/railway-station-count,2026-03-30
https://stats47.jp/ranking/manufacturing-shipment,2026-03-30
https://stats47.jp/ranking/port-cargo-import,2026-03-30
https://stats47.jp/ranking/sewerage-coverage-rate,2026-03-30
https://stats47.jp/ranking/port-cargo-export,2026-03-30
https://stats47.jp/correlation?x=serious-crime-per-100k,2026-03-30
https://stats47.jp/ranking/traffic-accident-casualties-elderly-65plus,2026-03-30
https://stats47.jp/ranking/fire-deaths-per-100k,2026-03-30
https://stats47.jp/ranking/garbage-collection-population,2026-03-30
https://stats47.jp/ranking/flood-casualties-total,2026-03-30
https://stats47.jp/ranking/intellectual-disability-support-facility-residents,2026-03-30
https://stats47.jp/ranking/port-inbound-ships,2026-03-30
https://stats47.jp/ranking/construction-contract-total,2026-03-30
https://stats47.jp/ranking/sports-facility-count,2026-03-30
https://stats47.jp/ranking/road-expressway-length,2026-03-30
https://stats47.jp/survey/commercial-dynamics-survey,2026-03-30
https://stats47.jp/ranking/port-passengers-total,2026-03-30
https://stats47.jp/ranking/paved-road-main-length,2026-03-30
https://stats47.jp/survey/employment-trend-survey,2026-03-30
https://stats47.jp/survey/social-education-survey,2026-03-30
https://stats47.jp/ranking/water-supply-annual-volume,2026-03-30
https://stats47.jp/ranking/real-disposable-income,2026-03-30
https://stats47.jp/correlation?x=port-vehicle-ferry,2026-03-30
https://stats47.jp/ranking/large-scale-park-count,2026-03-30
https://stats47.jp/ranking/block-park-count,2026-03-30
https://stats47.jp/ranking/dentists-in-medical-facilities,2026-03-30
https://stats47.jp/ranking/serious-crime-per-100k,2026-03-30
https://stats47.jp/ranking/software-engineer-annual-income,2026-03-30
https://stats47.jp/ranking/elderly-population-ratio,2026-03-30
https://stats47.jp/ranking/port-vehicle-ferry,2026-03-30
https://stats47.jp/ranking/comprehensive-park-count,2026-03-30
https://stats47.jp/ranking/dam-count,2026-03-30
https://stats47.jp/areas/46000/cities/46217,2026-03-30
https://stats47.jp/areas/06000/opengraph-image,2026-03-30
https://stats47.jp/areas/07000/cities/07205,2026-03-29
https://stats47.jp/areas/23000/cities/23220,2026-03-28
https://stats47.jp/ranking/dwelling-per-floor-area,2026-03-27
https://stats47.jp/areas/04000/cities/04202,2026-03-25
https://stats47.jp/areas/04000/opengraph-image,2026-03-24
https://stats47.jp/areas/03485/opengraph-image?589bdcc1d3301ec2,2026-03-24
https://stats47.jp/areas/07000/cities/07201,2026-03-23
https://stats47.jp/areas/13000/cities/13305,2026-03-23
https://stats47.jp/tag/training-employment-system,2026-03-22
https://stats47.jp/ranking/elderly-population-ratio-city,2026-03-22
https://stats47.jp/ranking/treatment-rate-schizophrenia-inpatient,2026-03-22
https://stats47.jp/ranking/treatment-rate-schizophrenia-outpatient,2026-03-22
https://stats47.jp/tag/revenue-composition,2026-03-22
https://stats47.jp/survey/national-household-survey,2026-03-22
https://stats47.jp/ranking/treatment-rate-mood-disorder-outpatient,2026-03-22
https://stats47.jp/ranking/manufacturing-shipment-city,2026-03-22
https://stats47.jp/ranking/treatment-rate-cerebrovascular-outpatient,2026-03-22
https://stats47.jp/ranking/junior-high-tutoring-consumption-expenditure,2026-03-22
https://stats47.jp/ranking/treatment-rate-cerebrovascular-inpatient,2026-03-22
https://stats47.jp/tag/china,2026-03-22
https://stats47.jp/ranking/treatment-rate-mood-disorder-inpatient,2026-03-22
https://stats47.jp/ranking/treatment-rate-hypertension-inpatient,2026-03-22
https://stats47.jp/tag/chemical-industry,2026-03-22
https://stats47.jp/tag/elementary-schools,2026-03-22
https://stats47.jp/economy/business-scale/dashboard/00000,2026-03-22
https://stats47.jp/laborwage/job-seeking-placement/dashboard/00000,2026-03-22
https://stats47.jp/tag/地方公務員,2026-03-22
https://stats47.jp/tag/公務員,2026-03-22
https://stats47.jp/tag/財政健全性,2026-03-22
https://stats47.jp/areas/03000/opengraph-image?0660989b9b0c23c5,2026-03-22
https://stats47.jp/tag/老年人口割合,2026-03-22
https://stats47.jp/tag/住宅設備,2026-03-22
https://stats47.jp/tag/着工新設持ち家,2026-03-22
https://stats47.jp/tag/自然増減率,2026-03-22
https://stats47.jp/tag/環境行政,2026-03-22
https://stats47.jp/tag/自然環境保全,2026-03-22
https://stats47.jp/tag/火災保険,2026-03-22
https://stats47.jp/areas/30000/opengraph-image?0660989b9b0c23c5,2026-03-22
https://stats47.jp/tag/青少年問題,2026-03-21
https://stats47.jp/tag/消費者物価地域差指数,2026-03-21
https://stats47.jp/tag/通信インフラ,2026-03-21
https://stats47.jp/tag/気象データ,2026-03-21
https://stats47.jp/tag/保険契約,2026-03-21
https://stats47.jp/areas/06000/cities/06302,2026-03-21
https://stats47.jp/areas/43000/cities/43368,2026-03-21
https://stats47.jp/areas/43000/cities/43442,2026-03-21
https://stats47.jp/construction/housing-structure/dashboard/00000,2026-03-21
https://stats47.jp/dashboard/00000/dashboard/03000,2026-03-21
https://stats47.jp/educationsports/information-communication/dashboard/00000,2026-03-21
https://stats47.jp/tag/社会増減数,2026-03-21
https://stats47.jp/areas/08000/cities/08204,2026-03-21
https://stats47.jp/tag/行政事件,2026-03-20
https://stats47.jp/areas/04000/opengraph-image?0660989b9b0c23c5,2026-03-20
https://stats47.jp/ranking/bod-pollution-load,2026-03-20
https://stats47.jp/areas/12000/cities/12410,2026-03-20
https://stats47.jp/tag/勤労者世帯,2026-03-20
https://stats47.jp/areas/11100/opengraph-image?e73733377222d86f,2026-03-20
https://stats47.jp/areas/11203/opengraph-image?e73733377222d86f,2026-03-20
https://stats47.jp/areas/00000/opengraph-image?589bdcc1d3301ec2,2026-03-19
https://stats47.jp/areas/13000/cities/13421,2026-03-19
https://stats47.jp/blog/tags/少年保護,2026-03-19
https://stats47.jp/population/households/dashboard,2026-03-19
https://stats47.jp/areas/07000/opengraph-image?0660989b9b0c23c5,2026-03-19
https://stats47.jp/economy/consumer-price-difference-index/dashboard/11227,2026-03-19
https://stats47.jp/areas/17000/opengraph-image,2026-03-19
https://stats47.jp/economy/consumer-price-difference-index/dashboard/00000,2026-03-19
https://stats47.jp/areas/42000/cities/42307,2026-03-18
https://stats47.jp/areas/02000/cities/02210,2026-03-18
https://stats47.jp/educationsports/sports-facilities/dashboard/00000,2026-03-18
https://stats47.jp/tag/妊産婦死亡率,2026-03-18
https://stats47.jp/tourism,2026-03-18
https://stats47.jp/population/population-composition/dashboard/00000,2026-03-17
https://stats47.jp/population/commuting-school/dashboard/00000,2026-03-17
https://stats47.jp/educationsports/high-school/dashboard/01202,2026-03-17
https://stats47.jp/areas/15000/cities/15213,2026-03-17
https://stats47.jp/educationsports/educational-attainment/dashboard/11100,2026-03-16
https://stats47.jp/areas/45000/cities/45401,2026-03-16
https://stats47.jp/areas/24000/cities/24207,2026-03-16
https://stats47.jp/socialsecurity/long-term-care-insurance/dashboard,2026-03-16
https://stats47.jp/areas/20000/opengraph-image,2026-03-16
https://stats47.jp/areas/43000/opengraph-image,2026-03-15
https://stats47.jp/areas/46000/opengraph-image,2026-03-15
https://stats47.jp/areas/13000/13307,2026-03-15
https://stats47.jp/areas/13000/13303,2026-03-15
https://stats47.jp/areas/13000/13228,2026-03-15
https://stats47.jp/areas/06000/06202,2026-03-14
https://stats47.jp/areas/27000/27232,2026-03-14
https://stats47.jp/areas/17000/opengraph-image?0660989b9b0c23c5,2026-03-13
https://stats47.jp/compare?areas=41000,2026-03-12
https://stats47.jp/tourism/transportation/dashboard/24000,2026-03-12
https://stats47.jp/energy/industrial-water/dashboard/34000,2026-03-12
