URL,前回のクロール
https://stats47.jp/areas/18000/laborwage,2026-04-18
https://stats47.jp/areas/13000/administrativefinancial,2026-04-18
https://stats47.jp/correlation?x=onion-consumption-quantity,2026-04-17
https://stats47.jp/tag/labor-productivity,2026-04-17
https://stats47.jp/tag/relocation,2026-04-17
https://stats47.jp/tag/age-at-first-marriage,2026-04-17
https://stats47.jp/tag/universities,2026-04-16
https://stats47.jp/correlation?x=landline-bill-consumption-expenditure,2026-04-16
https://stats47.jp/tag/tourism-industry,2026-04-16
https://stats47.jp/correlation?x=vocational-school-consumption-expenditure,2026-04-16
https://stats47.jp/correlation?x=cup-noodles-consumption-quantity,2026-04-16
https://stats47.jp/correlation?x=blanket-consumption-expenditure,2026-04-16
https://stats47.jp/correlation?x=wheat-flour-consumption-quantity,2026-04-16
https://stats47.jp/correlation?x=coffee-drink-consumption-expenditure,2026-04-16
https://stats47.jp/tag/arrest-rate,2026-04-16
https://stats47.jp/correlation?x=treatment-rate-musculoskeletal-outpatient,2026-04-16
https://stats47.jp/correlation?x=bus-student-pass-consumption-expenditure,2026-04-16
https://stats47.jp/areas/31000/infrastructure,2026-04-16
https://stats47.jp/correlation?x=instant-noodles-consumption-expenditure,2026-04-16
https://stats47.jp/correlation?x=other-beauty-service-consumption-expenditure,2026-04-16
https://stats47.jp/correlation?x=travel-participation-rate-overseas,2026-04-16
https://stats47.jp/correlation?x=nature-park-area,2026-04-16
https://stats47.jp/correlation?x=green-pepper-consumption-quantity,2026-04-16
https://stats47.jp/correlation?x=cooking-oil-consumption-expenditure,2026-04-16
https://stats47.jp/tag/media-consumption,2026-04-16
https://stats47.jp/correlation?x=other-education-fee-consumption-expenditure,2026-04-15
https://stats47.jp/correlation?x=ground-meat-consumption-expenditure,2026-04-15
https://stats47.jp/correlation?x=lettuce-consumption-quantity,2026-04-15
https://stats47.jp/areas/25000/educationsports,2026-04-15
https://stats47.jp/correlation?x=yellowtail-consumption-expenditure,2026-04-15
https://stats47.jp/correlation?x=pear-consumption-quantity,2026-04-15
https://stats47.jp/areas/40000/administrativefinancial,2026-04-15
https://stats47.jp/correlation?x=haircut-consumption-expenditure,2026-04-15
https://stats47.jp/correlation?x=establishment-ratio-100-299-employees-private,2026-04-15
https://stats47.jp/correlation?x=fabric-softener-consumption-expenditure,2026-04-15
https://stats47.jp/areas/45000/landweather,2026-04-14
https://stats47.jp/areas/46000/tourism,2026-04-14
https://stats47.jp/tag/minimum-wage,2026-04-14
https://stats47.jp/tag/transport-equipment,2026-04-14
https://stats47.jp/correlation?x=university-graduates-job-ratio,2026-04-14
https://stats47.jp/tag/accommodation,2026-04-14
https://stats47.jp/tag/vacant-houses,2026-04-14
https://stats47.jp/compare/infrastructure,2026-04-14
https://stats47.jp/areas/01000/energy,2026-04-14
https://stats47.jp/correlation?x=quasi-national-park-area,2026-04-14
https://stats47.jp/tag/local-production-consumption,2026-04-14
https://stats47.jp/correlation?x=outpatient-rate-per-100k,2026-04-14
https://stats47.jp/tag/water-pollution,2026-04-14
https://stats47.jp/correlation?x=other-entertainment-durables-consumption-expenditure,2026-04-14
https://stats47.jp/correlation?x=peach-consumption-quantity,2026-04-14
https://stats47.jp/tag/urban-parks,2026-04-14
https://stats47.jp/tag/youth-outmigration,2026-04-14
https://stats47.jp/tag/school-education,2026-04-14
https://stats47.jp/correlation?x=cheese-consumption-quantity,2026-04-14
https://stats47.jp/tag/sixth-sector-industrialization,2026-04-14
https://stats47.jp/tag/telecom-subscriptions,2026-04-14
https://stats47.jp/tag/wind-power,2026-04-14
https://stats47.jp/tag/population-migration,2026-04-14
https://stats47.jp/tag/monthly-income,2026-04-14
https://stats47.jp/tag/government-expenditure,2026-04-14
https://stats47.jp/tag/unemployment-rate,2026-04-14
https://stats47.jp/tag/infrastructure-disparity,2026-04-14
https://stats47.jp/tag/farmland,2026-04-14
https://stats47.jp/tag/overseas-travel,2026-04-14
https://stats47.jp/tag/school-health-statistics,2026-04-14
https://stats47.jp/correlation?x=bed-utilization-rate,2026-04-14
https://stats47.jp/tag/community-development,2026-04-14
https://stats47.jp/tag/fisheries-industry,2026-04-14
https://stats47.jp/tag/fish-catch,2026-04-14
https://stats47.jp/tag/debt,2026-04-14
https://stats47.jp/tag/clear-days,2026-04-14
https://stats47.jp/tag/value-added,2026-04-14
https://stats47.jp/correlation?x=mandarin-consumption-expenditure,2026-04-14
https://stats47.jp/tag/agricultural-output,2026-04-14
https://stats47.jp/tag/media-exposure,2026-04-14
https://stats47.jp/tag/advancement-rate,2026-04-14
https://stats47.jp/tag/transportation-costs,2026-04-14
