page,clicks,impressions,ctr,position
https://stats47.jp/blog/health-life-expectancy-structure,51,1391,0.0367,9.01
https://stats47.jp/ranking/mayonnaise-consumption-expenditure,40,893,0.0448,6.74
https://stats47.jp/ranking/public-phone-count,39,1326,0.0294,4.69
https://stats47.jp/blog/temperature-extremes-map,32,2599,0.0123,9.22
https://stats47.jp/ranking/fresh-udon-soba-consumption-quantity,29,944,0.0307,8.17
https://stats47.jp/blog/household-spending-prefecture-gap,27,635,0.0425,7.71
https://stats47.jp/,24,97,0.2474,5.88
https://stats47.jp/blog/price-index-high-low-prefecture,23,1003,0.0229,9.21
https://stats47.jp/blog/fiscal-self-reliance-gap,22,761,0.0289,8.58
https://stats47.jp/blog/noodle-consumption-prefecture-character,20,867,0.0231,6.72
https://stats47.jp/blog/farmland-crisis-abandoned-land,19,159,0.1195,6.31
https://stats47.jp/blog/local-government-debt-burden,19,536,0.0354,7.07
https://stats47.jp/blog/convenience-store-density-map,18,394,0.0457,7.63
https://stats47.jp/ranking/natto-consumption-expenditure,18,735,0.0245,8.67
https://stats47.jp/ranking/chicken-consumption-quantity,16,449,0.0356,8.41
https://stats47.jp/blog/hospital-bed-utilization-map,15,505,0.0297,7.96
https://stats47.jp/blog/child-height-regional-gap,13,1834,0.0071,10.09
https://stats47.jp/ranking/general-hospital-bed-occupancy-rate,13,274,0.0474,4.40
https://stats47.jp/blog/aging-solo-living-crisis,12,265,0.0453,9.08
https://stats47.jp/blog/sports-urban-paradox,12,382,0.0314,7.50
https://stats47.jp/ranking/elementary-school-children-count,12,284,0.0423,8.63
https://stats47.jp/ranking/green-tea-consumption-quantity,11,189,0.0582,7.02
https://stats47.jp/blog/automotive-industry-transformation-map,10,254,0.0394,6.40
https://stats47.jp/blog/childcare-friendly-prefecture-ranking,10,171,0.0585,5.94
https://stats47.jp/ranking/pasta-consumption-quantity,10,227,0.0441,6.46
https://stats47.jp/blog/university-advancement-capacity,9,250,0.0360,8.63
https://stats47.jp/ranking/beef-consumption-quantity,9,455,0.0198,6.93
https://stats47.jp/blog/food-spending-pattern,8,128,0.0625,7.84
https://stats47.jp/blog/foreign-population-growth-rate,8,56,0.1429,6.63
https://stats47.jp/blog/highschool-starting-salary-gap,8,331,0.0242,11.29
https://stats47.jp/blog/waiting-children-progress,8,210,0.0381,7.69
https://stats47.jp/ranking/cup-noodles-consumption-quantity,8,86,0.0930,5.28
https://stats47.jp/ranking/konbu-consumption-quantity,8,238,0.0336,7.58
https://stats47.jp/ranking/retail-store-count,8,81,0.0988,5.74
https://stats47.jp/ranking/sports-spectating-consumption-expenditure,8,72,0.1111,6.14
https://stats47.jp/ranking/yogurt-consumption-expenditure,8,91,0.0879,6.42
https://stats47.jp/blog/foreign-residents-diversity-map,7,241,0.0290,7.24
https://stats47.jp/blog/manufacturing-aichi-dominance,7,1112,0.0063,9.20
https://stats47.jp/blog/population-density-urbanization,7,403,0.0174,8.40
https://stats47.jp/ranking/junior-high-school-students-count,7,67,0.1045,6.28
https://stats47.jp/ranking/sushi-dining-consumption-expenditure,7,206,0.0340,7.90
https://stats47.jp/ranking/tuna-consumption-quantity,7,72,0.0972,9.28
https://stats47.jp/ranking/vinegar-consumption-quantity,7,71,0.0986,6.80
https://stats47.jp/ranking/abortion-rate,6,134,0.0448,8.13
https://stats47.jp/ranking/convenience-store-sales-monthly,6,98,0.0612,6.51
https://stats47.jp/ranking/cup-noodles-consumption-expenditure,6,57,0.1053,5.88
https://stats47.jp/blog/assembly-answer-chatgpt-5steps,5,27,0.1852,9.67
https://stats47.jp/blog/engel-coefficient-prefecture-ranking,5,36,0.1389,4.75
https://stats47.jp/blog/marriage-unmarried-crisis,5,302,0.0166,9.17
https://stats47.jp/blog/wheat-flour-consumption-prefecture,5,69,0.0725,6.72
https://stats47.jp/ranking/croquette-consumption-expenditure,5,23,0.2174,5.96
https://stats47.jp/ranking/fishery-species-catch-yellowtail,5,110,0.0455,8.20
https://stats47.jp/ranking/non-regular-employment-rate,5,48,0.1042,5.85
https://stats47.jp/ranking/pickled-plum-consumption-quantity,5,75,0.0667,6.15
https://stats47.jp/ranking/rice-cracker-consumption-expenditure,5,63,0.0794,6.68
https://stats47.jp/ranking/sauce-consumption-expenditure,5,127,0.0394,8.06
https://stats47.jp/ranking/tissue-paper-consumption-expenditure,5,84,0.0595,5.79
https://stats47.jp/blog/bonito-catch-prefecture,4,235,0.0170,8.46
https://stats47.jp/blog/education-cost-per-child,4,41,0.0976,7.22
https://stats47.jp/blog/food-trio-prefecture-map,4,410,0.0098,7.80
https://stats47.jp/blog/fresh-udon-soba-consumption-prefecture-gap,4,95,0.0421,8.01
https://stats47.jp/blog/habitable-area-land-use,4,451,0.0089,8.75
https://stats47.jp/blog/library-museum-cultural-capital,4,49,0.0816,7.31
https://stats47.jp/blog/livable-prefecture-composite-ranking,4,59,0.0678,18.37
https://stats47.jp/blog/local-tax-revenue-gap,4,84,0.0476,8.89
https://stats47.jp/blog/nursing-care-shortage-2040,4,156,0.0256,10.96
https://stats47.jp/blog/sake-consumption-prefecture-gap,4,24,0.1667,6.92
https://stats47.jp/blog/semiconductor-electronics-regional-map,4,57,0.0702,6.35
https://stats47.jp/ranking/banana-consumption-quantity,4,88,0.0455,7.99
https://stats47.jp/ranking/cake-consumption-expenditure,4,81,0.0494,8.36
https://stats47.jp/ranking/chocolate-snack-consumption-expenditure,4,98,0.0408,7.61
