date,clicks,impressions,ctr,position
2026-05-16,48,1759,0.0273,7.86
2026-05-17,65,2195,0.0296,8.31
2026-05-18,46,1943,0.0237,8.68
2026-05-19,63,1816,0.0347,8.42
2026-05-20,111,3161,0.0351,7.11
2026-05-21,72,2195,0.0328,8.75
2026-05-22,36,1312,0.0274,9.02
2026-05-23,32,1214,0.0264,8.90
2026-05-24,54,1920,0.0281,8.47
2026-05-25,106,3341,0.0317,8.08
2026-05-26,46,1375,0.0335,10.16
2026-05-27,57,1525,0.0374,8.75
2026-05-28,41,1409,0.0291,9.12
2026-05-29,30,1158,0.0259,9.35
2026-05-30,31,1306,0.0237,8.23
2026-05-31,44,2701,0.0163,8.72
2026-06-01,60,2230,0.0269,8.21
2026-06-02,52,1544,0.0337,9.00
2026-06-03,70,1980,0.0354,8.53
2026-06-04,58,1957,0.0296,9.78
2026-06-05,49,1440,0.0340,11.46
2026-06-06,67,1849,0.0362,9.74
2026-06-07,58,2298,0.0252,9.25
2026-06-08,90,2688,0.0335,9.28
2026-06-09,60,2158,0.0278,9.67
2026-06-10,102,2259,0.0452,8.90
2026-06-11,65,2149,0.0302,9.84
2026-06-12,31,1534,0.0202,12.16
