country,clicks,impressions,ctr,position
jpn,1923,65863,0.0292,9.23
usa,7,5563,0.0013,8.25
kor,5,126,0.0397,8.17
hkg,2,34,0.0588,7.21
aus,1,69,0.0145,8.49
aut,1,12,0.0833,10.08
can,1,161,0.0062,7.35
chn,1,122,0.0082,8.30
dnk,1,8,0.1250,5.88
phl,1,29,0.0345,6.97
rus,1,35,0.0286,8.57
sgp,1,43,0.0233,7.60
twn,1,56,0.0179,7.32
vnm,1,82,0.0122,8.87
alb,0,5,0.0000,10.40
are,0,12,0.0000,8.58
arg,0,40,0.0000,8.13
arm,0,1,0.0000,10.00
aze,0,2,0.0000,5.00
bdi,0,1,0.0000,9.00
bel,0,11,0.0000,9.64
bgd,0,20,0.0000,7.65
bgr,0,6,0.0000,17.17
bhs,0,1,0.0000,8.00
bih,0,3,0.0000,14.67
blr,0,6,0.0000,11.33
bol,0,5,0.0000,18.80
bra,0,143,0.0000,9.57
brb,0,1,0.0000,11.00
che,0,10,0.0000,8.10
chl,0,13,0.0000,8.08
cmr,0,1,0.0000,6.00
cod,0,2,0.0000,7.50
cog,0,1,0.0000,10.00
col,0,22,0.0000,9.64
cri,0,4,0.0000,9.25
cub,0,3,0.0000,8.33
cyp,0,1,0.0000,12.00
cze,0,9,0.0000,6.89
deu,0,86,0.0000,8.17
dom,0,5,0.0000,7.00
dza,0,7,0.0000,7.00
ecu,0,15,0.0000,8.27
egy,0,3,0.0000,5.67
esp,0,42,0.0000,10.43
est,0,1,0.0000,6.00
eth,0,3,0.0000,4.33
fin,0,4,0.0000,6.50
fji,0,1,0.0000,11.00
fra,0,87,0.0000,8.55
gbr,0,59,0.0000,9.25
geo,0,5,0.0000,8.20
grc,0,11,0.0000,6.27
gum,0,1,0.0000,9.00
guy,0,1,0.0000,6.00
hnd,0,1,0.0000,10.00
hrv,0,2,0.0000,15.50
hti,0,1,0.0000,10.00
hun,0,6,0.0000,10.17
idn,0,61,0.0000,7.80
ind,0,113,0.0000,8.49
irl,0,10,0.0000,8.50
irn,0,20,0.0000,8.25
irq,0,11,0.0000,9.09
isl,0,2,0.0000,10.00
isr,0,7,0.0000,11.00
ita,0,42,0.0000,8.74
jam,0,1,0.0000,9.00
jor,0,5,0.0000,7.60
kaz,0,3,0.0000,10.33
ken,0,5,0.0000,5.20
khm,0,7,0.0000,8.71
kwt,0,1,0.0000,4.00
lao,0,2,0.0000,13.50
lbn,0,3,0.0000,10.00
lka,0,1,0.0000,7.00
ltu,0,4,0.0000,7.50
lux,0,1,0.0000,14.00
lva,0,1,0.0000,9.00
mar,0,14,0.0000,7.07
mda,0,1,0.0000,3.00
mdv,0,1,0.0000,12.00
mex,0,67,0.0000,9.33
mkd,0,1,0.0000,7.00
mlt,0,1,0.0000,11.00
mmr,0,4,0.0000,7.25
mne,0,1,0.0000,3.00
mng,0,1,0.0000,11.00
mys,0,38,0.0000,8.61
nga,0,4,0.0000,10.75
nic,0,1,0.0000,5.00
nld,0,65,0.0000,8.92
nor,0,5,0.0000,6.20
npl,0,3,0.0000,6.67
nzl,0,10,0.0000,8.60
omn,0,1,0.0000,11.00
pak,0,14,0.0000,8.79
pan,0,1,0.0000,10.00
per,0,15,0.0000,10.00
pol,0,25,0.0000,9.80
pri,0,4,0.0000,12.25
prt,0,8,0.0000,9.50
pry,0,5,0.0000,9.60
pse,0,4,0.0000,10.75
qat,0,1,0.0000,10.00
rou,0,6,0.0000,8.17
rwa,0,1,0.0000,18.00
sau,0,14,0.0000,9.86
slv,0,1,0.0000,19.00
srb,0,1,0.0000,10.00
svk,0,2,0.0000,14.00
svn,0,1,0.0000,4.00
swe,0,7,0.0000,11.00
syr,0,2,0.0000,8.00
tha,0,59,0.0000,8.44
tto,0,2,0.0000,7.50
tun,0,9,0.0000,9.11
tur,0,28,0.0000,9.29
tza,0,1,0.0000,10.00
uga,0,1,0.0000,10.00
ukr,0,33,0.0000,8.45
ury,0,4,0.0000,8.50
uzb,0,3,0.0000,6.00
ven,0,8,0.0000,10.50
vir,0,1,0.0000,5.00
zaf,0,13,0.0000,11.00
zmb,0,1,0.0000,10.00
zzz,0,1,0.0000,1.00
