date,days,affiliate_vertical,link_position,impressions,clicks,ctr
2026-06-07,28,(not set),(not set),7479,8,0.001070
2026-06-07,28,_all,_all,7479,8,0.001070
2026-06-14,28,(not set),(not set),8324,11,0.001321
2026-06-14,28,_all,_all,8324,11,0.001321
2026-06-21,28,(not set),(not set),8961,14,0.001562
2026-06-21,28,_all,_all,8961,14,0.001562
2026-06-28,28,(not set),(not set),8637,11,0.001274
2026-06-28,28,_all,_all,8637,11,0.001274
2026-07-05,28,(not set),(not set),8973,10,0.001114
2026-07-05,28,_all,_all,8973,10,0.001114
2026-07-12,28,(not set),(not set),9871,8,0.000810
2026-07-12,28,(unset),(unset),251,0,0.000000
2026-07-12,28,other,sidebar,0,1,0
2026-07-12,28,other,sidebar-left,0,1,0
2026-07-12,28,_all,_all,10122,10,0.000988
2026-07-19,28,(not set),(not set),11118,4,0.000360
2026-07-19,28,(unset),(unset),230,0,0.000000
2026-07-19,28,economy,ranking-sidebar,0,1,0
2026-07-19,28,other,sidebar,0,1,0
2026-07-19,28,other,sidebar-left,0,2,0
2026-07-19,28,other,sidebar-right,0,1,0
2026-07-19,28,_all,_all,11348,9,0.000793
2026-07-26,28,(not set),(not set),12858,4,0.000311
2026-07-26,28,(unset),(unset),257,0,0.000000
2026-07-26,28,economy,ranking-sidebar,0,1,0
2026-07-26,28,other,sidebar,0,1,0
2026-07-26,28,other,sidebar-left,0,2,0
2026-07-26,28,other,sidebar-right,0,1,0
2026-07-26,28,_all,_all,13115,9,0.000686
2026-08-02,28,economy,article-inline,259,0,0.000000
2026-08-02,28,economy,ranking-sidebar,168,1,0.005952
2026-08-02,28,economy,sidebar,206,0,0.000000
2026-08-02,28,education,article-inline,19,0,0.000000
2026-08-02,28,education,ranking-sidebar,23,0,0.000000
2026-08-02,28,education,sidebar,14,0,0.000000
2026-08-02,28,energy,article-inline,15,0,0.000000
2026-08-02,28,energy,ranking-sidebar,8,0,0.000000
2026-08-02,28,energy,sidebar,18,0,0.000000
2026-08-02,28,furusato,article-inline,27,0,0.000000
2026-08-02,28,furusato,ranking-sidebar,14,0,0.000000
2026-08-02,28,furusato,sidebar,39,0,0.000000
2026-08-02,28,health,article-inline,48,0,0.000000
2026-08-02,28,health,ranking-sidebar,13,0,0.000000
2026-08-02,28,health,sidebar,38,0,0.000000
2026-08-02,28,housing,article-inline,13,0,0.000000
2026-08-02,28,housing,ranking-sidebar,27,0,0.000000
2026-08-02,28,housing,sidebar,10,0,0.000000
2026-08-02,28,labor,article-inline,22,0,0.000000
2026-08-02,28,labor,ranking-sidebar,8,0,0.000000
2026-08-02,28,labor,sidebar,14,0,0.000000
2026-08-02,28,mobility,article-inline,25,0,0.000000
2026-08-02,28,mobility,ranking-sidebar,10,0,0.000000
2026-08-02,28,mobility,sidebar,25,0,0.000000
2026-08-02,28,other,area-sidebar,43,0,0.000000
2026-08-02,28,other,article-inline,373,0,0.000000
2026-08-02,28,other,sidebar,979,1,0.001021
2026-08-02,28,other,sidebar-left,362,2,0.005525
2026-08-02,28,other,sidebar-right,320,1,0.003125
2026-08-02,28,other,theme-banner,12,0,0.000000
2026-08-02,28,population,article-inline,123,0,0.000000
2026-08-02,28,population,ranking-sidebar,22,0,0.000000
2026-08-02,28,population,sidebar,85,0,0.000000
2026-08-02,28,travel,article-inline,1,0,0.000000
2026-08-02,28,travel,ranking-sidebar,11,0,0.000000
2026-08-02,28,travel,sidebar,6,0,0.000000
2026-08-02,28,_all,_all,3400,5,0.001471
2026-08-09,28,economy,article-end,24,0,0.000000
2026-08-09,28,economy,article-inline,528,0,0.000000
2026-08-09,28,economy,blog-sidebar,205,0,0.000000
2026-08-09,28,economy,category-native,8,0,0.000000
2026-08-09,28,economy,home-left-rail,16,0,0.000000
2026-08-09,28,economy,home-native,172,0,0.000000
2026-08-09,28,economy,ranking-end,21,0,0.000000
2026-08-09,28,economy,ranking-native,104,0,0.000000
2026-08-09,28,economy,ranking-sidebar,674,1,0.001484
2026-08-09,28,economy,sidebar,207,0,0.000000
2026-08-09,28,economy,survey-native,12,0,0.000000
2026-08-09,28,economy,theme-end,9,0,0.000000
2026-08-09,28,economy,theme-native,36,0,0.000000
2026-08-09,28,education,article-end,1,0,0.000000
2026-08-09,28,education,article-inline,29,0,0.000000
2026-08-09,28,education,blog-sidebar,17,0,0.000000
2026-08-09,28,education,ranking-end,7,0,0.000000
2026-08-09,28,education,ranking-native,40,0,0.000000
2026-08-09,28,education,ranking-sidebar,97,0,0.000000
2026-08-09,28,education,sidebar,14,0,0.000000
2026-08-09,28,education,theme-native,4,0,0.000000
2026-08-09,28,energy,article-end,2,0,0.000000
2026-08-09,28,energy,article-inline,27,0,0.000000
2026-08-09,28,energy,blog-sidebar,10,0,0.000000
2026-08-09,28,energy,category-native,5,0,0.000000
2026-08-09,28,energy,ranking-sidebar,22,0,0.000000
2026-08-09,28,energy,sidebar,18,0,0.000000
2026-08-09,28,furusato,article-end,6,0,0.000000
2026-08-09,28,furusato,article-inline,76,0,0.000000
2026-08-09,28,furusato,blog-sidebar,8,0,0.000000
2026-08-09,28,furusato,ranking-native,20,0,0.000000
2026-08-09,28,furusato,ranking-sidebar,68,0,0.000000
2026-08-09,28,furusato,sidebar,44,0,0.000000
2026-08-09,28,furusato,theme-native,16,0,0.000000
2026-08-09,28,health,article-end,11,0,0.000000
2026-08-09,28,health,article-inline,112,0,0.000000
2026-08-09,28,health,blog-sidebar,69,0,0.000000
2026-08-09,28,health,ranking-end,7,0,0.000000
2026-08-09,28,health,ranking-native,22,0,0.000000
2026-08-09,28,health,ranking-sidebar,46,0,0.000000
2026-08-09,28,health,sidebar,38,0,0.000000
2026-08-09,28,health,survey-native,4,0,0.000000
2026-08-09,28,health,theme-end,2,0,0.000000
2026-08-09,28,health,theme-native,6,0,0.000000
2026-08-09,28,housing,article-inline,16,0,0.000000
2026-08-09,28,housing,blog-sidebar,4,0,0.000000
2026-08-09,28,housing,category-native,3,0,0.000000
2026-08-09,28,housing,ranking-end,1,0,0.000000
2026-08-09,28,housing,ranking-native,12,0,0.000000
2026-08-09,28,housing,ranking-sidebar,83,0,0.000000
2026-08-09,28,housing,sidebar,10,0,0.000000
2026-08-09,28,housing,theme-native,4,0,0.000000
2026-08-09,28,labor,article-end,7,0,0.000000
2026-08-09,28,labor,article-inline,36,0,0.000000
2026-08-09,28,labor,blog-sidebar,17,0,0.000000
2026-08-09,28,labor,category-native,12,0,0.000000
2026-08-09,28,labor,ranking-end,1,0,0.000000
2026-08-09,28,labor,ranking-native,4,0,0.000000
2026-08-09,28,labor,ranking-sidebar,27,0,0.000000
2026-08-09,28,labor,sidebar,14,0,0.000000
2026-08-09,28,labor,theme-end,3,0,0.000000
2026-08-09,28,labor,theme-native,12,0,0.000000
2026-08-09,28,mobility,article-inline,50,0,0.000000
2026-08-09,28,mobility,blog-sidebar,13,0,0.000000
2026-08-09,28,mobility,ranking-end,3,0,0.000000
2026-08-09,28,mobility,ranking-native,16,1,0.062500
2026-08-09,28,mobility,ranking-sidebar,68,0,0.000000
2026-08-09,28,mobility,sidebar,25,0,0.000000
2026-08-09,28,mobility,survey-native,4,0,0.000000
2026-08-09,28,mobility,theme-end,1,0,0.000000
2026-08-09,28,mobility,theme-native,4,0,0.000000
2026-08-09,28,other,area-sidebar,69,0,0.000000
2026-08-09,28,other,article-inline,644,0,0.000000
2026-08-09,28,other,sidebar,2393,2,0.000836
2026-08-09,28,other,sidebar-left,356,1,0.002809
2026-08-09,28,other,sidebar-right,322,1,0.003106
2026-08-09,28,other,theme-banner,29,0,0.000000
2026-08-09,28,population,article-end,11,0,0.000000
2026-08-09,28,population,article-inline,254,0,0.000000
2026-08-09,28,population,blog-sidebar,66,0,0.000000
2026-08-09,28,population,category-native,16,0,0.000000
2026-08-09,28,population,ranking-end,3,0,0.000000
2026-08-09,28,population,ranking-native,12,0,0.000000
2026-08-09,28,population,ranking-sidebar,61,0,0.000000
2026-08-09,28,population,sidebar,83,0,0.000000
2026-08-09,28,population,theme-end,5,0,0.000000
2026-08-09,28,population,theme-native,20,0,0.000000
2026-08-09,28,travel,article-inline,8,0,0.000000
2026-08-09,28,travel,category-native,4,0,0.000000
2026-08-09,28,travel,ranking-end,2,0,0.000000
2026-08-09,28,travel,ranking-native,4,0,0.000000
2026-08-09,28,travel,ranking-sidebar,17,0,0.000000
2026-08-09,28,travel,sidebar,6,0,0.000000
2026-08-09,28,_all,_all,7699,6,0.000779
2026-08-16,28,economy,article-end,75,0,0.000000
2026-08-16,28,economy,article-inline,800,0,0.000000
2026-08-16,28,economy,blog-sidebar,414,0,0.000000
2026-08-16,28,economy,category-native,32,0,0.000000
2026-08-16,28,economy,home-left-rail,42,0,0.000000
2026-08-16,28,economy,home-native,382,0,0.000000
2026-08-16,28,economy,ranking-end,63,0,0.000000
2026-08-16,28,economy,ranking-incontent,13,0,0.000000
2026-08-16,28,economy,ranking-native,314,0,0.000000
2026-08-16,28,economy,ranking-sidebar,1147,0,0.000000
2026-08-16,28,economy,sidebar,207,0,0.000000
2026-08-16,28,economy,survey-native,20,0,0.000000
2026-08-16,28,economy,theme-end,20,0,0.000000
2026-08-16,28,economy,theme-native,102,0,0.000000
2026-08-16,28,education,article-end,8,0,0.000000
2026-08-16,28,education,article-inline,53,0,0.000000
2026-08-16,28,education,blog-sidebar,51,0,0.000000
2026-08-16,28,education,ranking-end,30,0,0.000000
2026-08-16,28,education,ranking-incontent,5,0,0.000000
2026-08-16,28,education,ranking-native,150,0,0.000000
2026-08-16,28,education,ranking-sidebar,187,0,0.000000
2026-08-16,28,education,sidebar,14,0,0.000000
2026-08-16,28,education,theme-end,1,0,0.000000
2026-08-16,28,education,theme-native,8,0,0.000000
2026-08-16,28,energy,article-end,4,0,0.000000
2026-08-16,28,energy,article-inline,35,0,0.000000
2026-08-16,28,energy,blog-sidebar,19,0,0.000000
2026-08-16,28,energy,category-native,9,0,0.000000
2026-08-16,28,energy,ranking-end,2,0,0.000000
2026-08-16,28,energy,ranking-native,6,0,0.000000
2026-08-16,28,energy,ranking-sidebar,31,0,0.000000
2026-08-16,28,energy,sidebar,18,0,0.000000
2026-08-16,28,furusato,article-end,12,0,0.000000
2026-08-16,28,furusato,article-inline,111,0,0.000000
2026-08-16,28,furusato,blog-sidebar,17,0,0.000000
2026-08-16,28,furusato,ranking-native,68,0,0.000000
2026-08-16,28,furusato,ranking-sidebar,112,0,0.000000
2026-08-16,28,furusato,sidebar,48,0,0.000000
2026-08-16,28,furusato,theme-native,16,0,0.000000
2026-08-16,28,health,article-end,19,0,0.000000
2026-08-16,28,health,article-inline,175,0,0.000000
2026-08-16,28,health,blog-sidebar,126,0,0.000000
2026-08-16,28,health,ranking-end,16,0,0.000000
2026-08-16,28,health,ranking-native,54,0,0.000000
2026-08-16,28,health,ranking-sidebar,103,0,0.000000
2026-08-16,28,health,sidebar,38,0,0.000000
2026-08-16,28,health,survey-native,4,0,0.000000
2026-08-16,28,health,theme-end,4,0,0.000000
2026-08-16,28,health,theme-native,14,0,0.000000
2026-08-16,28,housing,article-end,1,0,0.000000
2026-08-16,28,housing,article-inline,20,0,0.000000
2026-08-16,28,housing,blog-sidebar,4,0,0.000000
2026-08-16,28,housing,category-native,3,0,0.000000
2026-08-16,28,housing,ranking-end,15,0,0.000000
2026-08-16,28,housing,ranking-incontent,1,0,0.000000
2026-08-16,28,housing,ranking-native,68,0,0.000000
2026-08-16,28,housing,ranking-sidebar,127,0,0.000000
2026-08-16,28,housing,sidebar,10,0,0.000000
2026-08-16,28,housing,survey-native,8,0,0.000000
2026-08-16,28,housing,theme-end,1,0,0.000000
2026-08-16,28,housing,theme-native,8,0,0.000000
2026-08-16,28,labor,article-end,14,0,0.000000
2026-08-16,28,labor,article-inline,68,0,0.000000
2026-08-16,28,labor,blog-sidebar,25,0,0.000000
2026-08-16,28,labor,category-native,22,0,0.000000
2026-08-16,28,labor,ranking-end,3,0,0.000000
2026-08-16,28,labor,ranking-incontent,1,0,0.000000
2026-08-16,28,labor,ranking-native,16,0,0.000000
2026-08-16,28,labor,ranking-sidebar,65,0,0.000000
2026-08-16,28,labor,sidebar,14,0,0.000000
2026-08-16,28,labor,theme-end,5,0,0.000000
2026-08-16,28,labor,theme-native,24,0,0.000000
2026-08-16,28,mobility,article-end,6,0,0.000000
2026-08-16,28,mobility,article-inline,90,0,0.000000
2026-08-16,28,mobility,blog-sidebar,40,0,0.000000
2026-08-16,28,mobility,ranking-end,7,0,0.000000
2026-08-16,28,mobility,ranking-incontent,1,0,0.000000
2026-08-16,28,mobility,ranking-native,40,1,0.025000
2026-08-16,28,mobility,ranking-sidebar,88,0,0.000000
2026-08-16,28,mobility,sidebar,25,0,0.000000
2026-08-16,28,mobility,survey-native,8,0,0.000000
2026-08-16,28,mobility,theme-end,1,0,0.000000
2026-08-16,28,mobility,theme-native,4,0,0.000000
2026-08-16,28,other,area-sidebar,111,0,0.000000
2026-08-16,28,other,article-inline,834,0,0.000000
2026-08-16,28,other,sidebar,3417,2,0.000585
2026-08-16,28,other,sidebar-left,356,0,0.000000
2026-08-16,28,other,sidebar-right,322,0,0.000000
2026-08-16,28,other,theme-banner,29,0,0.000000
2026-08-16,28,population,article-end,19,0,0.000000
2026-08-16,28,population,article-inline,390,0,0.000000
2026-08-16,28,population,blog-sidebar,122,0,0.000000
2026-08-16,28,population,category-native,20,0,0.000000
2026-08-16,28,population,ranking-end,12,0,0.000000
2026-08-16,28,population,ranking-incontent,2,0,0.000000
2026-08-16,28,population,ranking-native,48,0,0.000000
2026-08-16,28,population,ranking-sidebar,133,0,0.000000
2026-08-16,28,population,sidebar,83,0,0.000000
2026-08-16,28,population,theme-end,7,0,0.000000
2026-08-16,28,population,theme-native,28,0,0.000000
2026-08-16,28,travel,article-end,1,0,0.000000
2026-08-16,28,travel,article-inline,11,0,0.000000
2026-08-16,28,travel,blog-sidebar,2,0,0.000000
2026-08-16,28,travel,category-native,8,0,0.000000
2026-08-16,28,travel,ranking-end,2,0,0.000000
2026-08-16,28,travel,ranking-native,4,0,0.000000
2026-08-16,28,travel,ranking-sidebar,21,0,0.000000
2026-08-16,28,travel,sidebar,6,0,0.000000
2026-08-16,28,_all,_all,12020,3,0.000250
2026-08-23,28,economy,article-end,124,1,0.008065
2026-08-23,28,economy,article-inline,1143,1,0.000875
2026-08-23,28,economy,blog-sidebar,741,0,0.000000
2026-08-23,28,economy,category-native,58,0,0.000000
2026-08-23,28,economy,home-left-rail,94,0,0.000000
2026-08-23,28,economy,home-native,734,0,0.000000
2026-08-23,28,economy,ranking-end,146,0,0.000000
2026-08-23,28,economy,ranking-incontent,436,1,0.002294
2026-08-23,28,economy,ranking-native,878,0,0.000000
2026-08-23,28,economy,ranking-sidebar,2125,0,0.000000
2026-08-23,28,economy,sidebar,207,0,0.000000
2026-08-23,28,economy,survey-native,30,0,0.000000
2026-08-23,28,economy,theme-end,27,0,0.000000
2026-08-23,28,economy,theme-native,171,0,0.000000
2026-08-23,28,education,article-end,22,0,0.000000
2026-08-23,28,education,article-inline,90,0,0.000000
2026-08-23,28,education,blog-sidebar,90,0,0.000000
2026-08-23,28,education,ranking-end,45,0,0.000000
2026-08-23,28,education,ranking-incontent,76,0,0.000000
2026-08-23,28,education,ranking-native,229,0,0.000000
2026-08-23,28,education,ranking-sidebar,346,0,0.000000
2026-08-23,28,education,sidebar,14,0,0.000000
2026-08-23,28,education,survey-native,4,0,0.000000
2026-08-23,28,education,theme-end,1,0,0.000000
2026-08-23,28,education,theme-native,8,0,0.000000
2026-08-23,28,energy,article-end,5,0,0.000000
2026-08-23,28,energy,article-inline,47,0,0.000000
2026-08-23,28,energy,blog-sidebar,49,0,0.000000
2026-08-23,28,energy,category-native,24,0,0.000000
2026-08-23,28,energy,ranking-end,3,0,0.000000
2026-08-23,28,energy,ranking-incontent,7,0,0.000000
2026-08-23,28,energy,ranking-native,17,0,0.000000
2026-08-23,28,energy,ranking-sidebar,44,0,0.000000
2026-08-23,28,energy,sidebar,18,0,0.000000
2026-08-23,28,furusato,area-content,26,0,0.000000
2026-08-23,28,furusato,article-end,24,0,0.000000
2026-08-23,28,furusato,article-inline,188,0,0.000000
2026-08-23,28,furusato,blog-sidebar,46,0,0.000000
2026-08-23,28,furusato,category-native,16,0,0.000000
2026-08-23,28,furusato,ranking-incontent,112,0,0.000000
2026-08-23,28,furusato,ranking-native,234,0,0.000000
2026-08-23,28,furusato,ranking-sidebar,393,0,0.000000
2026-08-23,28,furusato,sidebar,51,0,0.000000
2026-08-23,28,furusato,survey-native,2,0,0.000000
2026-08-23,28,furusato,theme-native,35,0,0.000000
2026-08-23,28,health,article-end,28,0,0.000000
2026-08-23,28,health,article-inline,229,0,0.000000
2026-08-23,28,health,blog-sidebar,198,0,0.000000
2026-08-23,28,health,category-native,12,0,0.000000
2026-08-23,28,health,ranking-end,25,0,0.000000
2026-08-23,28,health,ranking-incontent,53,0,0.000000
2026-08-23,28,health,ranking-native,122,0,0.000000
2026-08-23,28,health,ranking-sidebar,214,0,0.000000
2026-08-23,28,health,sidebar,38,0,0.000000
2026-08-23,28,health,survey-native,12,0,0.000000
2026-08-23,28,health,theme-end,7,0,0.000000
2026-08-23,28,health,theme-native,29,0,0.000000
2026-08-23,28,housing,article-end,3,0,0.000000
2026-08-23,28,housing,article-inline,33,0,0.000000
2026-08-23,28,housing,blog-sidebar,9,0,0.000000
2026-08-23,28,housing,category-native,12,0,0.000000
2026-08-23,28,housing,ranking-end,22,0,0.000000
2026-08-23,28,housing,ranking-incontent,50,0,0.000000
2026-08-23,28,housing,ranking-native,130,0,0.000000
2026-08-23,28,housing,ranking-sidebar,310,1,0.003226
2026-08-23,28,housing,sidebar,10,0,0.000000
2026-08-23,28,housing,survey-native,20,0,0.000000
2026-08-23,28,housing,theme-end,1,0,0.000000
2026-08-23,28,housing,theme-native,8,0,0.000000
2026-08-23,28,labor,article-end,22,0,0.000000
2026-08-23,28,labor,article-inline,98,0,0.000000
2026-08-23,28,labor,blog-sidebar,45,0,0.000000
2026-08-23,28,labor,category-native,24,0,0.000000
2026-08-23,28,labor,ranking-end,10,0,0.000000
2026-08-23,28,labor,ranking-incontent,17,0,0.000000
2026-08-23,28,labor,ranking-native,45,0,0.000000
2026-08-23,28,labor,ranking-sidebar,104,0,0.000000
2026-08-23,28,labor,sidebar,14,0,0.000000
2026-08-23,28,labor,theme-end,6,0,0.000000
2026-08-23,28,labor,theme-native,38,0,0.000000
2026-08-23,28,mobility,article-end,10,0,0.000000
2026-08-23,28,mobility,article-inline,144,0,0.000000
2026-08-23,28,mobility,blog-sidebar,85,0,0.000000
2026-08-23,28,mobility,ranking-end,42,0,0.000000
2026-08-23,28,mobility,ranking-incontent,106,0,0.000000
2026-08-23,28,mobility,ranking-native,203,1,0.004926
2026-08-23,28,mobility,ranking-sidebar,261,1,0.003831
2026-08-23,28,mobility,sidebar,25,0,0.000000
2026-08-23,28,mobility,survey-native,16,0,0.000000
2026-08-23,28,mobility,tag-native,8,0,0.000000
2026-08-23,28,mobility,theme-end,2,0,0.000000
2026-08-23,28,mobility,theme-native,8,0,0.000000
2026-08-23,28,other,area-sidebar,162,0,0.000000
2026-08-23,28,other,article-inline,1420,0,0.000000
2026-08-23,28,other,sidebar,5074,5,0.000985
2026-08-23,28,other,sidebar-left,356,0,0.000000
2026-08-23,28,other,sidebar-right,322,0,0.000000
2026-08-23,28,other,theme-banner,29,0,0.000000
2026-08-23,28,population,article-end,34,0,0.000000
2026-08-23,28,population,article-inline,572,0,0.000000
2026-08-23,28,population,blog-sidebar,247,0,0.000000
2026-08-23,28,population,category-native,64,0,0.000000
2026-08-23,28,population,ranking-end,23,0,0.000000
2026-08-23,28,population,ranking-incontent,28,0,0.000000
2026-08-23,28,population,ranking-native,92,0,0.000000
2026-08-23,28,population,ranking-sidebar,239,0,0.000000
2026-08-23,28,population,sidebar,83,0,0.000000
2026-08-23,28,population,theme-end,9,0,0.000000
2026-08-23,28,population,theme-native,36,0,0.000000
2026-08-23,28,travel,article-end,3,0,0.000000
2026-08-23,28,travel,article-inline,15,0,0.000000
2026-08-23,28,travel,blog-sidebar,6,0,0.000000
2026-08-23,28,travel,category-native,24,0,0.000000
2026-08-23,28,travel,ranking-end,7,0,0.000000
2026-08-23,28,travel,ranking-incontent,10,0,0.000000
2026-08-23,28,travel,ranking-native,32,0,0.000000
2026-08-23,28,travel,ranking-sidebar,55,0,0.000000
2026-08-23,28,travel,sidebar,6,0,0.000000
2026-08-23,28,_all,_all,21036,11,0.000523
2026-08-28,28,economy,article-end,169,1,0.005917
2026-08-28,28,economy,article-inline,1261,1,0.000793
2026-08-28,28,economy,blog-sidebar,1062,0,0.000000
2026-08-28,28,economy,category-native,94,0,0.000000
2026-08-28,28,economy,home-left-rail,120,0,0.000000
2026-08-28,28,economy,home-native,826,0,0.000000
2026-08-28,28,economy,ranking-end,146,0,0.000000
2026-08-28,28,economy,ranking-incontent,728,1,0.001374
2026-08-28,28,economy,ranking-native,1138,0,0.000000
2026-08-28,28,economy,ranking-sidebar,2404,0,0.000000
2026-08-28,28,economy,sidebar,70,0,0.000000
2026-08-28,28,economy,survey-native,48,0,0.000000
2026-08-28,28,economy,theme-end,27,0,0.000000
2026-08-28,28,economy,theme-native,236,0,0.000000
2026-08-28,28,education,article-end,27,0,0.000000
2026-08-28,28,education,article-inline,94,0,0.000000
2026-08-28,28,education,blog-sidebar,114,0,0.000000
2026-08-28,28,education,ranking-end,45,0,0.000000
2026-08-28,28,education,ranking-incontent,140,0,0.000000
2026-08-28,28,education,ranking-native,279,0,0.000000
2026-08-28,28,education,ranking-sidebar,397,0,0.000000
2026-08-28,28,education,sidebar,7,0,0.000000
2026-08-28,28,education,survey-native,20,0,0.000000
2026-08-28,28,education,theme-end,1,0,0.000000
2026-08-28,28,education,theme-native,11,0,0.000000
2026-08-28,28,energy,article-end,6,0,0.000000
2026-08-28,28,energy,article-inline,51,0,0.000000
2026-08-28,28,energy,blog-sidebar,78,0,0.000000
2026-08-28,28,energy,category-native,27,0,0.000000
2026-08-28,28,energy,ranking-end,3,0,0.000000
2026-08-28,28,energy,ranking-incontent,16,0,0.000000
2026-08-28,28,energy,ranking-native,26,0,0.000000
2026-08-28,28,energy,ranking-sidebar,48,0,0.000000
2026-08-28,28,energy,sidebar,5,0,0.000000
2026-08-28,28,furusato,area-content,47,0,0.000000
2026-08-28,28,furusato,article-end,30,0,0.000000
2026-08-28,28,furusato,article-inline,208,0,0.000000
2026-08-28,28,furusato,blog-sidebar,57,0,0.000000
2026-08-28,28,furusato,category-native,20,0,0.000000
2026-08-28,28,furusato,compare-native,4,0,0.000000
2026-08-28,28,furusato,ranking-incontent,154,0,0.000000
2026-08-28,28,furusato,ranking-native,278,0,0.000000
2026-08-28,28,furusato,ranking-sidebar,426,0,0.000000
2026-08-28,28,furusato,sidebar,38,0,0.000000
2026-08-28,28,furusato,survey-native,10,0,0.000000
2026-08-28,28,furusato,theme-native,35,0,0.000000
2026-08-28,28,health,article-end,44,0,0.000000
2026-08-28,28,health,article-inline,275,0,0.000000
2026-08-28,28,health,blog-sidebar,313,0,0.000000
2026-08-28,28,health,category-native,20,0,0.000000
2026-08-28,28,health,ranking-end,25,0,0.000000
2026-08-28,28,health,ranking-incontent,104,0,0.000000
2026-08-28,28,health,ranking-native,178,0,0.000000
2026-08-28,28,health,ranking-sidebar,249,0,0.000000
2026-08-28,28,health,sidebar,14,0,0.000000
2026-08-28,28,health,survey-native,12,0,0.000000
2026-08-28,28,health,theme-end,7,0,0.000000
2026-08-28,28,health,theme-native,30,0,0.000000
2026-08-28,28,housing,article-end,3,0,0.000000
2026-08-28,28,housing,article-inline,31,0,0.000000
2026-08-28,28,housing,blog-sidebar,9,0,0.000000
2026-08-28,28,housing,category-native,21,0,0.000000
2026-08-28,28,housing,ranking-end,22,0,0.000000
2026-08-28,28,housing,ranking-incontent,89,0,0.000000
2026-08-28,28,housing,ranking-native,172,0,0.000000
2026-08-28,28,housing,ranking-sidebar,334,1,0.002994
2026-08-28,28,housing,sidebar,4,0,0.000000
2026-08-28,28,housing,survey-native,24,0,0.000000
2026-08-28,28,housing,theme-end,1,0,0.000000
2026-08-28,28,housing,theme-native,8,0,0.000000
2026-08-28,28,labor,article-end,28,0,0.000000
2026-08-28,28,labor,article-inline,110,0,0.000000
2026-08-28,28,labor,blog-sidebar,60,0,0.000000
2026-08-28,28,labor,category-native,44,0,0.000000
2026-08-28,28,labor,ranking-end,10,0,0.000000
2026-08-28,28,labor,ranking-incontent,36,0,0.000000
2026-08-28,28,labor,ranking-native,81,0,0.000000
2026-08-28,28,labor,ranking-sidebar,128,0,0.000000
2026-08-28,28,labor,sidebar,8,0,0.000000
2026-08-28,28,labor,theme-end,6,0,0.000000
2026-08-28,28,labor,theme-native,39,0,0.000000
2026-08-28,28,mobility,article-end,14,0,0.000000
2026-08-28,28,mobility,article-inline,161,0,0.000000
2026-08-28,28,mobility,blog-sidebar,109,0,0.000000
2026-08-28,28,mobility,ranking-end,42,0,0.000000
2026-08-28,28,mobility,ranking-incontent,136,0,0.000000
2026-08-28,28,mobility,ranking-native,228,1,0.004386
2026-08-28,28,mobility,ranking-sidebar,294,1,0.003401
2026-08-28,28,mobility,sidebar,12,0,0.000000
2026-08-28,28,mobility,survey-native,24,0,0.000000
2026-08-28,28,mobility,tag-native,8,0,0.000000
2026-08-28,28,mobility,theme-end,2,0,0.000000
2026-08-28,28,mobility,theme-native,8,0,0.000000
2026-08-28,28,other,area-sidebar,168,0,0.000000
2026-08-28,28,other,article-inline,1395,0,0.000000
2026-08-28,28,other,sidebar,5460,5,0.000916
2026-08-28,28,other,sidebar-left,139,0,0.000000
2026-08-28,28,other,sidebar-right,131,0,0.000000
2026-08-28,28,other,theme-banner,23,0,0.000000
2026-08-28,28,population,article-end,39,0,0.000000
2026-08-28,28,population,article-inline,637,0,0.000000
2026-08-28,28,population,blog-sidebar,349,0,0.000000
2026-08-28,28,population,category-native,80,0,0.000000
2026-08-28,28,population,compare-native,4,0,0.000000
2026-08-28,28,population,ranking-end,23,0,0.000000
2026-08-28,28,population,ranking-incontent,60,0,0.000000
2026-08-28,28,population,ranking-native,129,0,0.000000
2026-08-28,28,population,ranking-sidebar,260,0,0.000000
2026-08-28,28,population,sidebar,36,0,0.000000
2026-08-28,28,population,theme-end,9,0,0.000000
2026-08-28,28,population,theme-native,46,0,0.000000
