date,scope,total,done,needsRegen,missing,incomplete,blocker,notEligible
2026-07-30,all,2176,196,1980,223,1691,66
2026-07-31,all,2176,208,1968,221,1682,65
2026-08-01,all,2176,208,1968,221,1682,65
2026-08-03,all,2176,208,1968,221,1682,65
2026-08-04,all,2176,215,1959,221,1673,65,2
2026-08-09,all,2173,214,1959,221,1673,65,0
2026-08-10,all,2173,234,1939,217,1658,64,0
2026-08-11,all,2173,244,1929,216,1649,64,0
2026-08-12,all,2173,249,1924,215,1645,64,0
2026-08-15,all,2173,254,1919,215,1640,64,0
2026-08-16,all,2173,259,1914,215,1635,64,0
2026-08-17,all,2164,259,1905,223,1621,61,0
2026-08-18,all,2164,264,1900,219,1620,61,0
2026-08-20,all,2164,269,1895,217,1617,61,0
2026-08-22,all,2164,270,1894,217,1616,61,0
2026-08-26,all,2167,362,1805,198,1548,59,0
2026-08-26,gsc,1295,334,952,129,796,27,9
2026-08-30,all,2167,371,1796,197,1540,59,0
2026-08-31,all,2167,371,1796,197,1540,59,0
2026-09-01,all,2163,371,1792,197,1536,59,0
2026-09-01,gsc,1294,345,939,128,785,26,10
2026-09-02,all,2163,618,1545,161,1329,55,0
2026-09-02,gsc,1294,495,789,102,663,24,10
