week,code,platform,earnings,impressions,impressions_rpm,clicks,ctr,viewability,cost_per_click,ad_requests,ad_requests_coverage
2026-W31,cpm,Desktop,106.00,3321,32.00,9,0.0027,0.5661,12.00,4334,1.0000
2026-W31,cpm,HighEndMobile,37.00,782,47.00,26,0.0332,0.4421,1.00,1495,1.0000
2026-W31,cpm,Tablet,3.00,101,32.00,1,0.0099,0.5200,3.00,126,1.0000
2026-W31,unmatched,Desktop,0.00,0,0.00,0,0.0000,0.0000,0.00,7733,0.0000
2026-W31,unmatched,HighEndMobile,0.00,0,0.00,0,0.0000,0.0000,0.00,1749,0.0000
2026-W31,unmatched,Tablet,0.00,0,0.00,0,0.0000,0.0000,0.00,46,0.0000
2026-W32,cpm,Desktop,107.00,3284,33.00,5,0.0015,0.5496,21.00,4337,1.0000
2026-W32,cpm,HighEndMobile,21.00,816,26.00,29,0.0355,0.3990,1.00,1535,1.0000
2026-W32,cpm,Tablet,2.00,52,40.00,0,0.0000,0.3000,0.00,93,1.0000
2026-W32,unmatched,Desktop,0.00,0,0.00,0,0.0000,0.0000,0.00,9029,0.0000
2026-W32,unmatched,HighEndMobile,0.00,0,0.00,0,0.0000,0.0000,0.00,1470,0.0000
2026-W32,unmatched,Tablet,0.00,0,0.00,0,0.0000,0.0000,0.00,44,0.0000
