week,platform,earnings,page_views,rpm,impressions,impressions_rpm,clicks,ctr,viewability,cost_per_click,earnings_per_click_legacy,imp_per_pv
2026-W17,Desktop,18.00,592,30.00,418,,1,0.0024,0.5933,,18.00,0.706
2026-W17,High-end mobile devices,17.00,724,24.00,137,,6,0.0438,0.7031,,2.83,0.189
2026-W17,Tablets,0.00,35,4.00,6,,0,0.0000,0.6000,,0.00,0.171
2026-W21,Desktop,30.00,1298,23.00,1485,,3,0.0020,0.5105,,10.00,1.144
2026-W21,High-end mobile devices,15.00,914,17.00,418,,4,0.0096,0.4426,,3.75,0.457
2026-W21,Tablets,1.00,21,35.00,20,,0,0.0000,0.6500,,0.00,0.952
2026-W22,Desktop,73.00,1517,48.00,1581,,4,0.0025,0.6477,,18.25,1.042
2026-W22,High-end mobile devices,26.00,851,31.00,436,,17,0.0390,0.5035,,1.53,0.512
2026-W22,Tablets,1.00,17,46.00,25,,0,0.0000,0.6400,,0.00,1.471
2026-W23,Desktop,90.00,1615,56.00,1738,,7,0.0040,0.6295,,12.86,1.076
2026-W23,High-end mobile devices,28.00,757,37.00,346,,26,0.0751,0.5345,,1.08,0.457
2026-W23,Tablets,1.00,19,47.00,16,,0,0.0000,0.3333,,0.00,0.842
2026-W24,Desktop,128.00,1903,67.00,2148,,8,0.0037,0.7090,,16.00,1.129
2026-W24,High-end mobile devices,31.00,1001,31.00,359,,16,0.0446,0.5935,,1.94,0.359
2026-W24,Tablets,4.00,34,116.00,32,,0,0.0000,0.7500,,0.00,0.941
2026-W25,Desktop,124.00,1942,64.00,2302,,8,0.0035,0.7858,,15.50,1.185
2026-W25,High-end mobile devices,21.00,971,22.00,376,,20,0.0532,0.5457,,1.05,0.387
2026-W25,Tablets,2.00,35,47.00,37,,0,0.0000,0.7568,,0.00,1.057
2026-W26,Desktop,110.00,1683,66.00,1502,,5,0.0033,0.6977,,22.00,0.892
2026-W26,High-end mobile devices,27.00,910,30.00,337,,19,0.0564,0.5732,,1.42,0.370
2026-W26,Tablets,2.00,23,72.00,17,,0,0.0000,0.8824,,0.00,0.739
2026-W27,Desktop,95.00,1902,50.00,1844,,6,0.0033,0.7039,,15.83,0.970
2026-W27,High-end mobile devices,29.00,895,33.00,724,,21,0.0290,0.3912,,1.38,0.809
2026-W27,Tablets,3.00,65,53.00,107,,1,0.0093,0.4019,,3.00,1.646
2026-W28,Desktop,136.00,2573,53.00,3799,,6,0.0016,0.5596,,22.67,1.476
2026-W28,High-end mobile devices,29.00,1079,27.00,820,,23,0.0280,0.3705,,1.26,0.760
2026-W28,Tablets,4.00,29,121.00,34,,0,0.0000,0.5882,,0.00,1.172
2026-W29,Desktop,128.00,2681,48.00,4137,,5,0.0012,0.5826,,25.60,1.543
2026-W29,High-end mobile devices,33.00,1149,28.00,574,,28,0.0488,0.5123,,1.18,0.500
2026-W29,Tablets,2.00,49,42.00,74,,0,0.0000,0.6486,,0.00,1.510
2026-W30,Desktop,88.00,2486,35.00,3349,,4,0.0012,0.5784,,22.00,1.347
2026-W30,High-end mobile devices,38.00,1294,29.00,670,,25,0.0373,0.5124,,1.52,0.518
2026-W30,Tablets,3.00,39,72.00,51,,0,0.0000,0.6275,,0.00,1.308
2026-W31,Desktop,106.00,2778,38.00,3321,32.00,9,0.0027,0.5661,12.00,11.78,1.195
2026-W31,High-end mobile devices,37.00,1231,30.00,782,47.00,26,0.0332,0.4421,1.00,1.42,0.635
2026-W31,Tablets,3.00,45,73.00,101,32.00,1,0.0099,0.5200,3.00,3.00,2.244
2026-W32,Desktop,107.00,3251,33.00,3284,33.00,5,0.0015,0.5496,21.00,21.40,1.010
2026-W32,High-end mobile devices,21.00,1166,18.00,816,26.00,29,0.0355,0.3990,1.00,0.72,0.700
2026-W32,Tablets,2.00,52,40.00,52,40.00,0,0.0000,0.3000,0.00,0.00,1.000
