week,earnings,page_views,rpm,impressions,impressions_rpm,clicks,ctr,viewability,cost_per_click,ad_requests,ad_requests_coverage
2026-W17,36.00,1351,26.000,561,,7,0.0125,0.6189,,,
2026-W21,47.00,2233,21.000,1923,,7,0.0036,0.4971,,,
2026-W22,100.00,2385,42.000,2042,,21,0.0103,0.6173,,,
2026-W23,119.00,2391,50.000,2100,,33,0.0157,0.6122,,,
2026-W24,163.00,2938,55.000,2539,,24,0.0095,0.6941,,,
2026-W25,147.00,2948,50.000,2715,,28,0.0103,0.7533,,,
2026-W26,139.00,2616,53.000,1856,,24,0.0129,0.6773,,,
2026-W27,128.00,2862,45.000,2675,,28,0.0105,0.6089,,,
2026-W28,169.00,3681,46.000,4653,,29,0.0062,0.5269,,,
2026-W29,162.00,3879,42.000,4785,,33,0.0069,0.5752,,,
2026-W30,129.00,3819,34.000,4070,,29,0.0071,0.5685,,,
2026-W31,146.00,4054,36.000,4204,35.00,36,0.0086,0.5427,4.00,15483,0.3846
2026-W32,130.00,4469,29.000,4152,31.00,34,0.0082,0.5174,4.00,16508,0.3613
2026-W33,118.00,3152,37.000,3318,36.00,29,0.0087,0.4852,4.00,11151,0.4499
