date,run_id,model,targets,passed,rejected,failed,skipped,author_requests,critic_requests,input_tokens,output_tokens,thinking_tokens,total_tokens,quota_failures,preflight_requests,preflight_status,cost_usd
2026-08-30,33291544476-1,gemini-2.5-flash-lite,1,0,0,0,1,0,0,0,0,0,0,0,1,bad-request,
2026-08-30,33291694546-1,gemini-flash-lite-latest,1,0,0,0,1,0,0,0,0,0,0,0,1,bad-request,
2026-08-30,33291927140-1,gemini-flash-lite-latest,1,0,0,0,1,0,0,0,0,0,0,1,1,billing,
2026-08-30,33292220601-1,gemini-3.7-flash,1,0,0,0,1,0,0,0,0,0,0,1,1,billing,
2026-08-31,33345050561-1,gemini-3.7-flash,3,0,0,0,3,0,0,0,0,0,0,1,1,billing,
2026-09-01,33458113705-1,gemini-3.7-flash,3,0,0,0,3,0,0,0,0,0,0,1,1,billing,
2026-09-02,33574322071-1,gemini-3.7-flash,3,0,0,0,3,0,0,0,0,0,0,1,1,billing,
2026-09-03,33698606950-1,gemini-3.7-flash,3,0,0,0,3,0,0,0,0,0,0,1,1,billing,
2026-09-04,33820273626-1,gemini-3.7-flash,3,0,0,0,3,0,0,0,0,0,0,1,1,billing,
2026-09-05,33931685064-1,gemini-3.7-flash,3,0,0,0,3,0,0,0,0,0,0,1,1,billing,
2026-09-05,local-20260905-103156,claude-haiku-4-5-20251001,1,0,1,0,0,2,2,146854,55998,0,202852,0,0,not-recorded,2.4988
2026-09-05,local-20260905-110500,claude-sonnet-5,1,0,0,1,0,2,1,15132,13286,0,28418,0,0,not-recorded,0.4581
2026-09-05,local-20260905-111304,claude-sonnet-5,1,0,1,0,0,3,3,70545,24235,0,94780,0,0,not-recorded,1.0215
2026-09-05,local-20260905-111959,claude-sonnet-5,1,1,0,0,0,1,1,18916,8413,0,27329,0,0,not-recorded,0.3487
