date,workflow,run_id,limit,items,turns,duration_ms,cost_usd,input,output,cache_write,cache_read,token_source,is_error
2026-08-03,ai-content,30846501974,5,0,46,935445,10.943402400000005,92,30853,360984,14734441,result,0
2026-08-03,blog,30851456033,1,1,36,981634,12.074014200000006,72,12274,318942,11023051,result,0
2026-08-04,ai-content,30864672205,1,1,34,1440575,15.872783849999998,68,26350,364125,10648822,result,0
2026-08-04,ai-content,30944104583,5,5,48,3477322,30.79825904999999,96,26925,375226,15772052,result,0
2026-08-04,blog,30949626455,1,1,84,2065869,25.007886000000006,168,87569,435907,30884058,result,0
2026-08-05,blog,31045396311,1,1,34,396063,8.77068285,68,12525,321332,10527638,result,0
2026-08-09,blog,31318821301,1,1,31,957277,14.770616700000009,62,14662,348838,9944365,result,0
2026-08-09,ai-content,31329591725,10,10,144,10147630,120.88676399999994,288,125469,557798,62834008,result,0
2026-08-09,ai-content,31342281865,10,0,42,829874,23.75851965000001,70,25309,367495,11530052,result,0
2026-08-10,ai-content,31377843205,10,10,127,12805551,112.5961332,254,109372,549295,54766201,result,0
2026-08-10,blog,31401125944,1,1,42,865369,16.47808815,84,18636,348054,13989595,result,0
2026-08-11,ai-content,31443155375,10,10,113,14123066,117.45066974999997,226,83970,448836,44070327,result,0
2026-08-11,blog,31504447188,1,1,21,1096265,17.451355500000002,42,8521,332554,6478727,result,0
2026-08-11,ai-content,31525741549,5,5,87,5765135,67.05500384999998,174,44793,424582,32192444,result,0
2026-08-12,blog,31609672026,1,0,12,372159,7.504781100000001,24,9991,339355,3600678,result,0
