week,basis,active_users,new_users,sessions,pageviews,avg_session_duration_sec,bounce_rate
2026-W16,raw-rolling28d,689,681,759,2163,136.7,0.4242
2026-W17,raw-rolling28d,120,113,157,955,186.8,0.3185
2026-W18,raw-rolling28d,922,913,1044,5355,182.3,0.4732
2026-W19,raw-rolling28d,1408,1398,1564,6254,152.3,0.4879
2026-W20,jp-calendar-week,2489,2477,2778,9028,155.6,0.4618
2026-W21,jp-calendar-week,4136,4125,4776,13392,153.0,0.4791
2026-W22,raw-rolling28d,5046,5028,5764,13922,158.9,0.4525
2026-W23,jp-calendar-week,1521,0,1821,4419,189.1,0.4267
2026-W24,jp-calendar-week,1824,0,2146,4511,187.9,0.4068
2026-W25,jp-calendar-week,1734,0,2043,4547,179.2,0.4293
2026-W26,jp-calendar-week,1530,0,1816,3522,160.2,0.4543
2026-W27,jp-calendar-week,1700,0,2022,4375,251.7,0.4313
2026-W28,jp-calendar-week,1954,0,2371,6033,283.5,0.4218
2026-W29,jp-calendar-week,2236,0,2685,6482,284.0,0.4503
2026-W30,jp-calendar-week,2134,0,2586,7112,290.9,0.3326
2026-W31,jp-calendar-week,1998,0,2425,5661,322.6,0.3798
2026-W32,jp-calendar-week,1917,0,2271,5752,196.6,0.4082
2026-W33,jp-calendar-week,1928,0,2254,5262,257.4,0.3509
2026-W34,jp-calendar-week,3290,0,3800,7958,168.9,0.3682
2026-W35,jp-calendar-week,2837,0,3357,7586,168.3,0.3917
