URL,前回のクロール
https://stats47.jp/blog/household-structure-ranking,2026-04-14
https://stats47.jp/blog/sports-participation-ranking,2026-04-14
https://stats47.jp/blog/traffic-deaths-elderly,2026-04-14
https://stats47.jp/construction,2026-04-10
https://stats47.jp/socialsecurity/public-assistance-welfare/dashboard/26000,2026-04-09
https://stats47.jp/educationsports/compulsory-education/dashboard/02000,2026-04-09
https://stats47.jp/educationsports/high-school/dashboard/20000,2026-04-09
https://stats47.jp/educationsports/educational-attainment/dashboard/15000,2026-04-09
https://stats47.jp/educationsports/special-education/dashboard/37000,2026-04-09
https://stats47.jp/socialsecurity/life-expectancy/dashboard/22000,2026-04-09
https://stats47.jp/safetyenvironment/disaster/dashboard/44000,2026-04-09
https://stats47.jp/energy/waste-management/dashboard/23000,2026-04-09
https://stats47.jp/administrativefinancial/staff-assembly-election/dashboard/39000,2026-04-09
https://stats47.jp/socialsecurity/long-term-care-insurance/dashboard/11000,2026-04-08
https://stats47.jp/tourism/tourism-accommodation/dashboard/01000,2026-04-08
https://stats47.jp/administrativefinancial/investment/dashboard/04000,2026-04-08
https://stats47.jp/construction/living-environment/dashboard/33000,2026-04-08
https://stats47.jp/construction/living-environment/dashboard/36000,2026-04-08
https://stats47.jp/construction/living-environment/dashboard/38000,2026-04-08
https://stats47.jp/tourism/transportation/dashboard/10000,2026-04-08
https://stats47.jp/educationsports/educational-attainment/dashboard/00000,2026-04-08
https://stats47.jp/agriculture/agricultural-household/dashboard/02000,2026-04-08
https://stats47.jp/infrastructure/roads/dashboard/27000,2026-04-06
https://stats47.jp/economy/business-scale/dashboard/39000,2026-04-06
https://stats47.jp/construction/housing-structure/dashboard/12000,2026-04-06
https://stats47.jp/laborwage/industrial-structure/dashboard/12000,2026-04-06
https://stats47.jp/administrativefinancial/tax-revenue/dashboard/42000,2026-04-06
https://stats47.jp/educationsports/junior-high-school/dashboard/05000,2026-04-06
https://stats47.jp/safetyenvironment/police-crime/dashboard/14000,2026-04-06
https://stats47.jp/infrastructure/roads/dashboard/25000,2026-04-06
https://stats47.jp/safetyenvironment/fire-insurance/dashboard/25000,2026-04-06
https://stats47.jp/dashboard/41000/administrativefinancial/staff-assembly-election,2026-04-06
https://stats47.jp/educationsports/information-communication/dashboard/07000,2026-04-06
https://stats47.jp/educationsports/cultural-facilities/dashboard/39000,2026-04-06
https://stats47.jp/safetyenvironment/traffic-accidents/dashboard/12000,2026-04-06
https://stats47.jp/economy/agricultural-household-economy/dashboard/01000,2026-04-06
https://stats47.jp/landweather/weather-climate/dashboard/24000,2026-04-06
https://stats47.jp/administrativefinancial/fiscal-indicators/dashboard/32000,2026-04-06
https://stats47.jp/administrativefinancial/staff-assembly-election/dashboard/32000,2026-04-06
https://stats47.jp/educationsports/information-communication/dashboard/44000,2026-04-06
https://stats47.jp/socialsecurity/social-security-indicators/dashboard/47000,2026-04-06
http://www.stats47.jp/,2026-04-06
https://stats47.jp/laborwage/job-seeking-placement/dashboard/02000,2026-04-05
https://stats47.jp/administrativefinancial/expenditure/dashboard/26000,2026-04-05
https://stats47.jp/agriculture/forestry/dashboard/14000,2026-04-05
https://stats47.jp/infrastructure/parks-greenery/dashboard/21000,2026-04-05
https://stats47.jp/miningindustry/manufacturing/dashboard/12000,2026-04-05
https://stats47.jp/socialsecurity/illness-hospital-visits/dashboard/20000,2026-04-05
https://stats47.jp/educationsports/information-communication/dashboard/28000,2026-04-04
https://stats47.jp/tourism/transportation/dashboard/28000,2026-04-04
https://stats47.jp/agriculture/agricultural-household/dashboard/03000,2026-04-04
https://stats47.jp/educationsports/compulsory-education/dashboard/03000,2026-04-04
https://stats47.jp/administrativefinancial/staff-assembly-election/dashboard/09000,2026-04-04
https://stats47.jp/construction/construction-manufacturing/dashboard/02000,2026-04-04
https://stats47.jp/socialsecurity/health-care/dashboard/21000,2026-04-04
https://stats47.jp/socialsecurity/long-term-care-insurance/dashboard/38000,2026-04-04
https://stats47.jp/agriculture/agricultural-household/dashboard/08000,2026-04-04
https://stats47.jp/dashboard/00000/dashboard/40130,2026-04-04
https://stats47.jp/landweather/natural-environment/dashboard/01000,2026-04-03
https://stats47.jp/landweather/land-use/dashboard/28000,2026-04-03
https://stats47.jp/energy/water-supply-sewerage/dashboard/25000,2026-04-03
https://stats47.jp/construction/living-environment/dashboard/04000,2026-04-03
https://stats47.jp/laborwage/job-seeking-placement/dashboard/34000,2026-04-03
https://stats47.jp/safetyenvironment/traffic-accidents/dashboard,2026-04-03
https://stats47.jp/population/commuting-school/dashboard/43000,2026-04-03
https://stats47.jp/infrastructure/roads/dashboard/37000,2026-04-03
https://stats47.jp/safetyenvironment/fire-emergency/dashboard/37000,2026-04-03
https://stats47.jp/construction/housing-statistics/dashboard/47000,2026-04-03
https://stats47.jp/population/marriage/dashboard/47000,2026-04-03
https://stats47.jp/safetyenvironment/traffic-accidents/dashboard/47000,2026-04-03
https://stats47.jp/economy/household-economy/dashboard/15000,2026-04-03
https://stats47.jp/educationsports/compulsory-education/dashboard/15000,2026-04-03
https://stats47.jp/educationsports/cultural-facilities/dashboard/15000,2026-04-03
https://stats47.jp/educationsports/educational-attainment/dashboard/19000,2026-04-03
https://stats47.jp/infrastructure/roads/dashboard/35000,2026-04-03
https://stats47.jp/landweather/natural-environment/dashboard/35000,2026-04-03
https://stats47.jp/population/marriage/dashboard/35000,2026-04-03
https://stats47.jp/administrativefinancial/fiscal-indicators/dashboard/11000,2026-04-03
https://stats47.jp/administrativefinancial/investment/dashboard/11000,2026-04-03
https://stats47.jp/economy/gross-product-economic-indicators/dashboard/36000,2026-04-03
https://stats47.jp/construction/housing-ownership/dashboard/44000,2026-04-03
https://stats47.jp/population/birth-death/dashboard/30000,2026-04-03
https://stats47.jp/population/marriage/dashboard/30000,2026-04-03
https://stats47.jp/safetyenvironment/fire-emergency/dashboard/30000,2026-04-03
https://stats47.jp/blog/real-purchasing-power-ranking,2026-04-03
https://stats47.jp/educationsports/educational-attainment/dashboard/33000,2026-04-03
https://stats47.jp/educationsports/cultural-facilities/dashboard/23000,2026-04-03
https://stats47.jp/educationsports/compulsory-education/dashboard/18000,2026-04-03
https://stats47.jp/educationsports/educational-attainment/dashboard/18000,2026-04-03
https://stats47.jp/socialsecurity/death-statistics/dashboard/18000,2026-04-03
https://stats47.jp/socialsecurity/employment-insurance/dashboard/18000,2026-04-03
https://stats47.jp/agriculture/agricultural-household/dashboard/43000,2026-04-03
https://stats47.jp/construction/housing-statistics/dashboard/43000,2026-04-03
https://stats47.jp/laborwage/labor-force-structure/dashboard/43000,2026-04-03
https://stats47.jp/administrativefinancial/staff-assembly-election/dashboard/04000,2026-04-03
https://stats47.jp/laborwage/labor-disputes/dashboard/04000,2026-04-03
https://stats47.jp/landweather/weather-climate/dashboard/04000,2026-04-03
https://stats47.jp/safetyenvironment/traffic-accidents/dashboard/04000,2026-04-03
https://stats47.jp/construction/housing-structure/dashboard/06000,2026-04-03
https://stats47.jp/administrativefinancial/revenue/dashboard/08000,2026-04-03
https://stats47.jp/educationsports/special-education/dashboard/08000,2026-04-03
https://stats47.jp/socialsecurity/life-expectancy/dashboard/08000,2026-04-03
https://stats47.jp/infrastructure/roads/dashboard/21000,2026-04-03
https://stats47.jp/construction/housing-structure/dashboard/10000,2026-04-03
https://stats47.jp/economy/consumer-price-difference-index/dashboard/39000,2026-04-03
https://stats47.jp/laborwage/wages-working-conditions/dashboard/39000,2026-04-03
https://stats47.jp/administrativefinancial/fiscal-indicators/dashboard/14000,2026-04-03
https://stats47.jp/agriculture/agricultural-household/dashboard/33000,2026-04-03
https://stats47.jp/construction/living-space,2026-04-03
https://stats47.jp/population/commuting-school/dashboard/36000,2026-04-03
https://stats47.jp/population/birth-death/dashboard,2026-04-02
https://stats47.jp/landweather/weather-climate/dashboard/17000,2026-04-02
https://stats47.jp/construction/housing-ownership/dashboard/29000,2026-04-02
https://stats47.jp/construction/housing-ownership/dashboard/43000,2026-04-02
https://stats47.jp/energy/infrastructure-energy/dashboard/22000,2026-04-02
https://stats47.jp/infrastructure/roads/dashboard/28000,2026-04-02
https://stats47.jp/agriculture/agricultural-household/dashboard/26000,2026-04-01
https://stats47.jp/energy/waste-management/dashboard/33000,2026-04-01
https://stats47.jp/construction/housing-statistics/dashboard/08000,2026-04-01
https://stats47.jp/economy/agricultural-household-economy/dashboard/45000,2026-04-01
https://stats47.jp/educationsports/cultural-facilities/dashboard/30000,2026-04-01
https://stats47.jp/tourism/tourism-accommodation/dashboard/04000,2026-04-01
https://stats47.jp/tourism/transportation/dashboard/04000,2026-04-01
https://stats47.jp/educationsports/cultural-facilities/dashboard/16000,2026-04-01
https://stats47.jp/population/households/dashboard/20000,2026-04-01
https://stats47.jp/miningindustry/industrial-production/dashboard/31000,2026-04-01
https://stats47.jp/safetyenvironment/police-crime/dashboard/31000,2026-04-01
https://stats47.jp/commercial/commerce-service-industry/dashboard/18000,2026-04-01
https://stats47.jp/construction/housing-statistics/dashboard/18000,2026-04-01
https://stats47.jp/economy/agricultural-household-economy/dashboard/18000,2026-04-01
https://stats47.jp/socialsecurity/pharmacies/dashboard/11000,2026-04-01
https://stats47.jp/landweather/weather-climate/dashboard/40000,2026-04-01
