URL,前回のクロール
https://stats47.jp/ranking/ssdse-f-vapor-pressure,2026-04-14
https://stats47.jp/ranking/ssdse-c-lb013002,2026-04-13
https://stats47.jp/ranking/other-charges-consumption-expenditure,2026-04-11
https://stats47.jp/blog/construction,2026-04-09
https://stats47.jp/areas/14130,2026-04-09
https://stats47.jp/dashboard/14130/dashboard/00000,2026-04-09
https://stats47.jp/administrativefinancial/investment/dashboard/00000,2026-04-09
https://stats47.jp/areas/00000,2026-04-09
https://stats47.jp/areas/05464,2026-04-09
https://stats47.jp/areas/01104,2026-04-09
https://stats47.jp/dashboard/01104/administrativefinancial/fiscal-indicators,2026-04-09
https://stats47.jp/areas/01106,2026-04-09
https://stats47.jp/areas/04100,2026-04-09
https://stats47.jp/areas/14100,2026-04-09
https://stats47.jp/areas/27100,2026-04-09
https://stats47.jp/areas/02424,2026-04-09
https://stats47.jp/areas/12203,2026-04-09
https://stats47.jp/areas/23100,2026-04-08
https://stats47.jp/socialsecurity/medical-facilities/dashboard/00000,2026-04-07
https://stats47.jp/ranking/ssdse-c-lb091005,2026-04-06
https://stats47.jp/administrativefinancial/fiscal-indicators/dashboard/03485,2026-04-06
https://stats47.jp/areas/03485,2026-04-06
https://stats47.jp/administrativefinancial/fiscal-indicators/dashboard/01213,2026-04-06
https://stats47.jp/areas/01213,2026-04-06
https://stats47.jp/construction/housing-statistics/dashboard/00000,2026-04-06
https://stats47.jp/laborwage/labor-force-structure/dashboard/00000,2026-04-05
https://stats47.jp/population/basic-population/dashboard/14100,2026-04-05
https://stats47.jp/commercial/basic-population/dashboard/00000,2026-04-04
https://stats47.jp/areas/13100,2026-04-04
https://stats47.jp/dashboard/00000/dashboard/23100,2026-04-03
https://stats47.jp/ranking/barber-beautician-annual-income,2026-04-03
https://stats47.jp/ranking/public-health-nurse-annual-income,2026-04-03
https://stats47.jp/administrativefinancial/fiscal-indicators/dashboard/14150,2026-04-02
https://stats47.jp/areas/14150,2026-04-02
https://stats47.jp/ranking/high-school-teacher-annual-income,2026-04-02
https://stats47.jp/socialsecurity/health-care/dashboard/00000,2026-04-02
https://stats47.jp/ranking/nursery-teacher-annual-income,2026-04-02
https://stats47.jp/socialsecurity/social-security-indicators/dashboard/00000,2026-04-02
https://stats47.jp/safetyenvironment/fire-insurance/dashboard/00000,2026-04-01
