URL,前回のクロール
https://stats47.jp/blog/health-life-expectancy-structure,2026-05-14
https://stats47.jp/blog/price-index-high-low-prefecture,2026-05-13
https://stats47.jp/ranking/wheat-flour-consumption-quantity,2026-05-12
https://stats47.jp/blog/temperature-extremes-map,2026-05-15
https://stats47.jp/ranking/wheat-flour-consumption-expenditure,2026-05-03
https://stats47.jp/blog/child-height-regional-gap,2026-05-08
https://stats47.jp/blog/habitable-area-land-use,2026-04-28
https://stats47.jp/blog/fiscal-self-reliance-gap,2026-05-14
https://stats47.jp/blog/university-advancement-capacity,2026-05-15
https://stats47.jp/blog/consumer-price-regional-gap,2026-05-12
