URL,前回のクロール
https://stats47.jp/ranking/ssdse-c-lb024004,2026-06-05
https://stats47.jp/ranking/income-per-capita,2026-06-05
https://stats47.jp/ranking/birthrate-total,2026-06-05
https://stats47.jp/ranking/public-gymnasium-count,2026-06-05
https://stats47.jp/ranking/gas-stations-number,2026-06-04
https://stats47.jp/ranking/crime-rate,2026-06-04
https://stats47.jp/ranking/aging-rate,2026-06-04
https://stats47.jp/ranking/housing-starts-total,2026-06-04
https://stats47.jp/ranking/lighting-electricity,2026-06-04
https://stats47.jp/ranking/life-expectancy,2026-06-04
https://stats47.jp/ranking/foreign-overnight-stays,2026-06-04
https://stats47.jp/ranking/crime-recognition,2026-06-04
https://stats47.jp/ranking/ssdse-c-lb092007,2026-06-04
https://stats47.jp/ranking/waiting-children,2026-06-04
https://stats47.jp/ranking/wage-it-industry,2026-06-04
https://stats47.jp/ranking/crime-per-100k,2026-06-04
https://stats47.jp/ranking/total-overnight-stays,2026-06-04
https://stats47.jp/ranking/volunteer-activity-international-cooperation-15plus,2026-06-04
https://stats47.jp/ranking/public-safety-survey,2026-06-04
https://stats47.jp/ranking/elderly-population,2026-06-04
https://stats47.jp/ranking/social-sports-facility-count,2026-06-04
https://stats47.jp/ranking/road-extension-actual,2026-06-04
https://stats47.jp/ranking/manufacturing-shipments,2026-06-04
https://stats47.jp/ranking/population-total,2026-06-04
https://stats47.jp/ranking/wage-medical-welfare,2026-06-04
https://stats47.jp/ranking/ssdse-c-lb011001,2026-06-03
https://stats47.jp/ranking/medical-fee-consumption-expenditure,2026-05-08
https://stats47.jp/ranking/black-tea-consumption-quantity,2026-05-08
https://stats47.jp/ranking/hobby-participation-rate-karaoke,2026-05-08
https://stats47.jp/ranking/theater-music-hall,2026-05-08
https://stats47.jp/blog/energy-infrastructure-gas-electricity,2026-05-08
https://stats47.jp/ranking/manufacturing-sales-private,2026-05-08
https://stats47.jp/ranking/propane-gas-consumption-quantity,2026-05-08
https://stats47.jp/ranking/dental-clinic-count,2026-05-08
https://stats47.jp/ranking/bamboo-shoot-consumption-quantity,2026-05-08
https://stats47.jp/ranking/cosmetic-cream-consumption-expenditure,2026-05-08
https://stats47.jp/ranking/commute-by-bicycle,2026-05-08
https://stats47.jp/ranking/other-womens-shirt-consumption-expenditure,2026-05-07
https://stats47.jp/ranking/dress-shirt-consumption-expenditure,2026-05-07
https://stats47.jp/ranking/public-junior-high-school-consumption-expenditure,2026-05-07
https://stats47.jp/ranking/plumbing-construction-consumption-expenditure,2026-05-07
https://stats47.jp/ranking/other-shellfish-consumption-expenditure,2026-05-07
https://stats47.jp/ranking/public-high-school-consumption-expenditure,2026-05-07
https://stats47.jp/ranking/sports-participation-rate-badminton,2026-05-07
https://stats47.jp/ranking/sports-participation-rate-tennis,2026-05-07
https://stats47.jp/ranking/sports-participation-rate-walking,2026-05-07
