URL,前回のクロール
https://stats47.jp/ranking?area=28000,2026-06-13
https://stats47.jp/ranking?area=33000,2026-06-13
https://stats47.jp/commercial/commercial-facilities/dashboard,2026-06-13
https://stats47.jp/station-passengers,2026-06-13
https://stats47.jp/station-passengers/04,2026-06-13
https://stats47.jp/station-passengers/08,2026-06-13
https://stats47.jp/station-passengers/34,2026-06-13
https://stats47.jp/areas/15000/population,2026-06-13
https://stats47.jp/areas/12000/population,2026-06-12
https://stats47.jp/areas/35000/population,2026-06-11
https://stats47.jp/ranking?area=07000,2026-06-11
https://stats47.jp/ranking?area=15000,2026-06-11
https://stats47.jp/ranking?area=21000,2026-06-11
https://stats47.jp/ranking?area=24000,2026-06-11
https://stats47.jp/ranking?area=25000,2026-06-11
https://stats47.jp/ranking?area=45000,2026-06-11
https://stats47.jp/landweather,2026-06-11
https://stats47.jp/station-passengers/13,2026-06-11
https://stats47.jp/station-passengers/17,2026-06-11
https://stats47.jp/station-passengers/42,2026-06-11
https://stats47.jp/station-passengers/43,2026-06-11
https://stats47.jp/station-passengers/45,2026-06-11
https://stats47.jp/areas/45000/economy,2026-06-11
https://stats47.jp/gis-cross/sunshine-map,2026-06-11
https://stats47.jp/miningindustry/industrial-production/dashboard,2026-06-10
https://stats47.jp/agriculture/fishery/dashboard,2026-06-10
https://stats47.jp/economy/business-scale,2026-06-10
https://stats47.jp/economy/consumer-price-difference-index/dashboard,2026-06-10
https://stats47.jp/economy/household-economy/dashboard,2026-06-10
https://stats47.jp/construction/housing-facilities/ranking,2026-06-10
https://stats47.jp/laborwage/industrial-structure/dashboard,2026-06-10
https://stats47.jp/laborwage/wages-working-conditions/dashboard,2026-06-10
https://www.stats47.jp/,2026-06-10
https://stats47.jp/areas/18000/landweather,2026-06-10
https://stats47.jp/energy/infrastructure-energy/dashboard,2026-06-09
https://stats47.jp/energy/waste-management/dashboard,2026-06-09
https://stats47.jp/areas/34000/economy,2026-06-09
https://stats47.jp/areas/46000/landweather,2026-06-09
https://stats47.jp/construction/housing-structure/dashboard,2026-06-09
https://stats47.jp/areas/13000/commercial,2026-06-09
https://stats47.jp/blog/local-debt-ranking,2026-06-09
https://stats47.jp/areas/38000/economy,2026-06-09
https://stats47.jp/population/commuting-school/dashboard,2026-06-09
https://stats47.jp/areas/41000/economy,2026-06-08
https://stats47.jp/blog/nursing-care-infrastructure-ranking,2026-06-08
https://stats47.jp/area-profile/44000,2026-06-08
https://stats47.jp/areas/24000/economy,2026-06-08
https://stats47.jp/commercial,2026-06-08
https://stats47.jp/population/basic-population/dashboard,2026-06-08
https://stats47.jp/safetyenvironment/fire-insurance,2026-06-08
https://stats47.jp/blog/sunshine-duration-ranking,2026-06-08
https://stats47.jp/blog/household-spending-ranking,2026-06-08
https://stats47.jp/construction/housing-overview,2026-06-07
https://stats47.jp/areas/28000/administrativefinancial,2026-06-07
https://stats47.jp/socialsecurity/medical-facilities/ranking/general-hospital-bed-occupancy-rate,2026-06-07
https://stats47.jp/areas/18000/administrativefinancial,2026-06-07
https://stats47.jp/station-passengers/36,2026-06-07
https://stats47.jp/ranking?area=35000,2026-06-06
https://stats47.jp/construction/living-environment,2026-06-05
https://stats47.jp/areas/06000/educationsports,2026-06-05
https://stats47.jp/areas/21000/economy,2026-06-05
https://stats47.jp/station-passengers/30,2026-06-05
https://stats47.jp/ranking?area=46000,2026-06-05
https://stats47.jp/station-passengers/14,2026-06-05
https://stats47.jp/station-passengers/21,2026-06-05
https://stats47.jp/station-passengers/33,2026-06-05
https://stats47.jp/areas/07000/miningindustry,2026-06-04
https://stats47.jp/areas/21000/energy,2026-06-04
https://stats47.jp/areas/46000/administrativefinancial,2026-06-04
https://stats47.jp/areas/46000/ict,2026-06-04
https://stats47.jp/areas/21000/administrativefinancial,2026-06-04
https://stats47.jp/blog/ict-post-office-density-ranking,2026-06-04
https://stats47.jp/blog/alcohol-consumption-ranking,2026-06-04
https://stats47.jp/station-passengers/12,2026-06-04
https://stats47.jp/station-passengers/23,2026-06-04
https://stats47.jp/station-passengers/25,2026-06-04
https://stats47.jp/station-passengers/27,2026-06-04
https://stats47.jp/station-passengers/28,2026-06-04
https://stats47.jp/station-passengers/29,2026-06-04
https://stats47.jp/ranking?area=12000,2026-06-04
https://stats47.jp/areas/33000/administrativefinancial,2026-06-04
https://stats47.jp/areas/46000/population,2026-06-04
https://stats47.jp/gis-cross/depopulation-medical,2026-06-04
https://stats47.jp/areas/17000/commercial,2026-06-04
https://stats47.jp/areas/33000/miningindustry,2026-06-04
https://stats47.jp/areas/46000/commercial,2026-06-04
https://stats47.jp/areas/46000/international,2026-06-04
https://stats47.jp/areas/46000/construction,2026-06-04
https://stats47.jp/areas/46000/educationsports,2026-06-04
https://stats47.jp/gis-cross,2026-06-04
https://stats47.jp/station-passengers/03,2026-06-04
https://stats47.jp/station-passengers/06,2026-06-04
https://stats47.jp/station-passengers/24,2026-06-04
https://stats47.jp/station-passengers/32,2026-06-04
https://stats47.jp/station-passengers/41,2026-06-04
https://stats47.jp/station-passengers/44,2026-06-04
https://stats47.jp/station-passengers/46,2026-06-04
https://stats47.jp/areas/46000/infrastructure,2026-06-04
https://stats47.jp/areas/21000/ict,2026-06-04
https://stats47.jp/areas/21000/educationsports,2026-06-04
https://stats47.jp/construction/housing-ownership/dashboard,2026-06-04
https://stats47.jp/station-passengers/02,2026-06-04
https://stats47.jp/station-passengers/09,2026-06-04
https://stats47.jp/station-passengers/11,2026-06-04
https://stats47.jp/station-passengers/31,2026-06-04
https://stats47.jp/station-passengers/39,2026-06-04
https://stats47.jp/station-passengers/40,2026-06-04
https://stats47.jp/laborwage/labor-disputes/dashboard,2026-06-04
https://stats47.jp/areas/15000/administrativefinancial,2026-06-03
https://stats47.jp/areas/25000/economy,2026-06-03
https://stats47.jp/areas/33000/socialsecurity,2026-06-03
https://stats47.jp/areas/33000/safetyenvironment,2026-06-03
https://stats47.jp/areas/28000/socialsecurity,2026-06-03
https://stats47.jp/station-passengers/05,2026-06-03
https://stats47.jp/station-passengers/16,2026-06-03
https://stats47.jp/station-passengers/18,2026-06-03
