URL,前回のクロール
https://stats47.jp/ranking/cooking-appliance-consumption-expenditure/opengraph-image,2026-06-13
https://stats47.jp/api/ranking/sewerage-drainage-population/download?format=csv&basis=all-bases,2026-06-13
https://stats47.jp/api/ranking/mens-suit-consumption-quantity/download?format=csv,2026-06-13
https://stats47.jp/api/ranking/non-regular-employment-rate/download?format=csv&basis=original,2026-06-13
https://stats47.jp/api/ranking/non-regular-employment-rate/download?format=json,2026-06-13
https://stats47.jp/api/ranking/non-regular-employment-rate/download?format=csv,2026-06-13
https://stats47.jp/api/ranking/freelance-count/download?format=csv&basis=all-bases,2026-06-13
https://stats47.jp/api/ranking/infant-clothes-consumption-expenditure/download?format=csv&basis=all-bases,2026-06-13
https://stats47.jp/api/ranking/other-liquor-consumption-expenditure/download?format=csv&basis=all-bases,2026-06-13
https://stats47.jp/api/ranking/octopus-consumption-expenditure/download?format=csv&basis=all-bases,2026-06-13
https://stats47.jp/api/ranking/lotus-root-consumption-quantity/download?format=csv,2026-06-13
https://stats47.jp/api/ranking/octopus-consumption-expenditure/download?format=csv,2026-06-13
https://stats47.jp/ranking/flood-damage-bridge/opengraph-image,2026-06-13
https://stats47.jp/api/ranking/food-business-facility-penalties-per-1000/download?format=json,2026-06-13
https://stats47.jp/api/ranking/other-utilities-consumption-expenditure/download?format=csv&basis=all-bases,2026-06-13
https://stats47.jp/api/ranking/pharmacy-count-by-prefecture/download?format=json,2026-06-13
https://stats47.jp/api/ranking/lotus-root-consumption-quantity/download?format=csv&basis=all-bases,2026-06-13
https://stats47.jp/api/ranking/hobby-participation-rate-video-games/download?format=csv&basis=original,2026-06-13
https://stats47.jp/api/ranking/convenience-store-sales-yoy/download?format=csv&basis=original,2026-06-13
https://stats47.jp/api/ranking/kiwi-consumption-expenditure/download?format=csv,2026-06-13
https://stats47.jp/api/ranking/architect-annual-income/download?format=csv&basis=all-bases,2026-06-13
https://stats47.jp/api/ranking/architect-annual-income/download?format=json,2026-06-13
https://stats47.jp/api/ranking/architect-annual-income/download?format=csv,2026-06-13
https://stats47.jp/api/ranking/tofu-consumption-expenditure/download?format=csv&basis=all-bases,2026-06-13
https://stats47.jp/api/ranking/other-fresh-fruit-consumption-quantity/download?format=json,2026-06-13
