URL,前回のクロール
https://stats47.jp/areas/28229/living-housing,2026-07-26
https://stats47.jp/survey/ssds,2026-07-26
https://stats47.jp/areas/27215/local-economy,2026-07-26
https://stats47.jp/areas/23219/foreign-residents,2026-07-26
https://stats47.jp/areas/23219/local-economy,2026-07-26
https://stats47.jp/areas/07405/living-housing,2026-07-26
https://stats47.jp/areas/17386/local-economy,2026-07-25
https://stats47.jp/areas/23219/safety,2026-07-25
https://stats47.jp/areas/03366/foreign-residents,2026-07-25
https://stats47.jp/areas/23219/labor-wages,2026-07-25
https://stats47.jp/areas/01216/safety,2026-07-25
https://stats47.jp/areas/03201/foreign-residents,2026-07-25
https://stats47.jp/areas/23228/education-culture,2026-07-25
https://stats47.jp/areas/01428/foreign-residents,2026-07-25
https://stats47.jp/areas/18322/local-finance,2026-07-25
https://stats47.jp/areas/01428/education-culture,2026-07-25
https://stats47.jp/areas/03210/population-dynamics,2026-07-25
https://stats47.jp/areas/03482/living-housing,2026-07-25
https://stats47.jp/areas/23342/climate,2026-07-25
https://stats47.jp/areas/03441/living-housing,2026-07-25
https://stats47.jp/areas/23228/population-dynamics,2026-07-25
https://stats47.jp/areas/46220/labor-wages,2026-07-25
https://stats47.jp/areas/25208/local-economy,2026-07-25
https://stats47.jp/areas/05213/education-culture,2026-07-25
https://stats47.jp/areas/12226/living-housing,2026-07-25
https://stats47.jp/areas/19214/climate,2026-07-25
https://stats47.jp/areas/47213/living-housing,2026-07-25
https://stats47.jp/areas/47213/population-dynamics,2026-07-25
https://stats47.jp/areas/47213/foreign-residents,2026-07-25
https://stats47.jp/areas/47213/education-culture,2026-07-25
https://stats47.jp/areas/23226/climate,2026-07-25
https://stats47.jp/areas/01662/population-dynamics,2026-07-25
https://stats47.jp/areas/47213/local-economy,2026-07-25
https://stats47.jp/areas/47213/manufacturing,2026-07-25
https://stats47.jp/areas/47213/tourism,2026-07-25
https://stats47.jp/tmp/raw/commerce_sales.json,2026-07-25
https://stats47.jp/areas/47213/labor-wages,2026-07-25
https://stats47.jp/areas/47213/healthcare,2026-07-25
https://stats47.jp/areas/47213/local-finance,2026-07-25
https://stats47.jp/areas/47213/safety,2026-07-25
https://stats47.jp/areas/12211/safety,2026-07-25
https://stats47.jp/administrativefinancial/fiscal-indicators/dashboard/12100,2026-07-25
https://stats47.jp/areas/47213/climate,2026-07-25
https://stats47.jp/areas/33202/labor-wages,2026-07-25
