rank,query,clicks,impressions,ctr_pct,position
1,"高卒初任給 都 道府県 別",0,29,0.0000,9.0345
2,"高卒初任給 ランキング",0,21,0.0000,7.9524
3,"日本 合計特殊出生率 都道府県別 最新",0,20,0.0000,5.1000
4,"入院 受療率 1 位",0,18,0.0000,5.2778
5,"受療率 ランキング",0,15,0.0000,5.1333
6,"地方債 ランキング",0,15,0.0000,10.0000
7,"消費支出 都 道府県 ランキング",0,15,0.0000,8.8667
8,"昆布の消費量ランキング",0,14,0.0000,8.8571
9,"高卒初任給ランキング",0,14,0.0000,6.9286
10,"自動車 生産 量 ランキング 都 道府県",0,12,0.0000,9.2500
11,"カツオ 消費量 ランキング",0,11,0.0000,8.7273
12,"大根 消費量 ランキング",0,11,0.0000,7.2727
13,"県債 ランキング",0,11,0.0000,8.3636
14,"豆腐 消費量 都道府県",0,10,0.0000,6.8000
