kind,rank,query,clicks,impressions,prev_impressions,growth_pct,position
new,1,"一般病床の病床利用率が最も高い都道府県",12,114,0,,5.72
new,2,"健康寿命ランキング 都 道府県 2023",0,104,0,,11.96
new,3,"一般病床の病床利用率が最も高い都道府県は",10,93,0,,4.39
new,4,"一般病床の病床利用率が最も高い都道府県は？",11,77,0,,4.34
new,5,"昆布 消費量 ランキング",2,25,0,,7.40
new,6,"日本 合計特殊出生率 都道府県別 最新",0,20,0,,5.10
new,7,"入院 受療率 1 位",0,18,0,,5.28
new,8,"受療率 ランキング",0,15,0,,5.13
new,9,"消費支出 都 道府県 ランキング",0,15,0,,8.87
new,10,"人口密度 ランキング",0,14,0,,68.71
new,11,"昆布の消費量ランキング",0,14,0,,8.86
new,12,"道の駅 数 全国 ランキング",0,14,0,,11.21
new,13,"昆布消費量ランキング",2,12,0,,8.08
new,14,"公園が多い県",1,12,0,,7.58
new,15,"自動車 生産 量 ランキング 都 道府県",0,12,0,,9.25
surging,1,"豆腐消費量 都道府県",1,12,2,500,6.75
surging,2,"焼酎 消費量 ランキング",0,10,2,400,10.10
surging,3,"京都 平均",0,14,3,367,35.29
surging,4,"高卒初任給 都 道府県 別",0,29,10,190,9.03
surging,5,"県債 ランキング",0,11,4,175,8.36
surging,6,"所得 都道府県",0,13,5,160,41.15
surging,7,"高卒初任給ランキング",0,14,7,100,6.93
