week,clicks_rolling28d,impressions_rolling28d,ctr_rolling28d,position_rolling28d,rows_queries,rows_pages
2026-W16,354,12865,0.0275,12.96,815,1037
2026-W17,401,13086,0.0306,9.49,527,845
2026-W18,589,19417,0.0303,8.98,658,1084
2026-W19,644,26311,0.0245,8.78,778,1095
2026-W20,832,33302,0.0250,8.64,1015,1181
2026-W21,1110,42029,0.0264,8.42,1145,1182
2026-W22,1309,47432,0.0276,8.47,1148,1239
2026-W23,1349,47201,0.0286,8.53,1112,1346
2026-W24,1644,54416,0.0302,8.95,1326,1881
2026-W25,1763,65267,0.0270,9.29,1488,2071
2026-W26,1947,73661,0.0264,9.14,1713,2257
2026-W27,2244,80868,0.0277,8.96,1872,2375
2026-W28,2566,92299,0.0278,8.52,1947,2532
2026-W29,2891,92297,0.0313,8.20,1967,2566
2026-W30,3157,94448,0.0334,8.12,2068,2708
2026-W31,3424,101093,0.0339,8.06,2245,2813
2026-W32,3493,100812,0.0346,8.13,2416,2872
2026-W33,3600,106343,0.0339,8.02,2433,3055
