rank,query,top_page,impressions,clicks,ctr_pct,position
1,"健康寿命ランキング 都 道府県 2023","https://stats47.jp/blog/health-life-expectancy-structure",104,0,0.0000,11.9615
2,"道の駅 数 全国 ランキング","https://stats47.jp/ranking/roadside-station-count",14,0,0.0000,11.2143
3,"高卒初任給 都 道府県 別","https://stats47.jp/ranking/starting-salary-highschool",26,0,0.0000,9.0385
4,"高卒初任給 ランキング","https://stats47.jp/ranking/starting-salary-highschool",21,0,0.0000,7.9524
5,"日本 合計特殊出生率 都道府県別 最新","https://stats47.jp/blog/birth-rate-fertility-ranking",19,0,0.0000,5.0526
6,"入院 受療率 1 位","https://stats47.jp/ranking/inpatient-rate-per-100k",18,0,0.0000,5.2778
7,"受療率 ランキング","https://stats47.jp/ranking/inpatient-rate-per-100k",11,0,0.0000,4.5455
8,"地方債 ランキング","https://stats47.jp/blog/local-government-debt-burden",8,0,0.0000,9.5000
9,"消費支出 都 道府県 ランキング","https://stats47.jp/ranking/other-allowance-consumption-expenditure",14,0,0.0000,8.8571
10,"昆布の消費量ランキング","https://stats47.jp/ranking/konbu-consumption-quantity",14,0,0.0000,8.8571
11,"高卒初任給ランキング","https://stats47.jp/ranking/starting-salary-highschool",12,0,0.0000,6.9167
12,"自動車 生産 量 ランキング 都 道府県","https://stats47.jp/blog/automotive-industry-transformation-map",12,0,0.0000,9.2500
13,"カツオ 消費量 ランキング","https://stats47.jp/ranking/bonito-consumption-quantity",11,0,0.0000,8.7273
14,"大根 消費量 ランキング","https://stats47.jp/ranking/daikon-consumption-expenditure",10,0,0.0000,7.1000
15,"県債 ランキング","https://stats47.jp/ranking/local-debt-current",7,0,0.0000,8.1429
16,"豆腐 消費量 都道府県","https://stats47.jp/ranking/tofu-consumption-quantity",9,0,0.0000,6.7778
