rank,url,total_impressions,total_clicks,query_count,queries
1,"https://stats47.jp/blog/health-life-expectancy-structure",104,0,1,"健康寿命ランキング 都 道府県 2023"
2,"https://stats47.jp/ranking/starting-salary-highschool",59,0,3,"高卒初任給 都 道府県 別|高卒初任給 ランキング|高卒初任給ランキング"
3,"https://stats47.jp/ranking/inpatient-rate-per-100k",29,0,2,"入院 受療率 1 位|受療率 ランキング"
4,"https://stats47.jp/blog/birth-rate-fertility-ranking",19,0,1,"日本 合計特殊出生率 都道府県別 最新"
5,"https://stats47.jp/ranking/roadside-station-count",14,0,1,"道の駅 数 全国 ランキング"
6,"https://stats47.jp/ranking/other-allowance-consumption-expenditure",14,0,1,"消費支出 都 道府県 ランキング"
7,"https://stats47.jp/ranking/konbu-consumption-quantity",14,0,1,"昆布の消費量ランキング"
8,"https://stats47.jp/blog/automotive-industry-transformation-map",12,0,1,"自動車 生産 量 ランキング 都 道府県"
9,"https://stats47.jp/ranking/bonito-consumption-quantity",11,0,1,"カツオ 消費量 ランキング"
10,"https://stats47.jp/ranking/daikon-consumption-expenditure",10,0,1,"大根 消費量 ランキング"
11,"https://stats47.jp/ranking/tofu-consumption-quantity",9,0,1,"豆腐 消費量 都道府県"
12,"https://stats47.jp/blog/local-government-debt-burden",8,0,1,"地方債 ランキング"
13,"https://stats47.jp/ranking/local-debt-current",7,0,1,"県債 ランキング"
