date,total,pass,fail,partial,neutral,indexed,crawled_not_indexed
2026-04-25,301,206,0,0,95,0,0
2026-05-05,30,23,0,0,7,23,5
2026-05-10,100,91,0,0,9,91,8
2026-05-10,100,91,0,0,9,91,8
2026-05-16,10,10,0,0,0,10,0
2026-06-06,20,19,0,0,1,19,1
2026-06-06,20,19,0,0,1,19,1
2026-07-18,500,415,0,0,85,415,1
2026-07-19,500,414,0,0,85,414,1
2026-07-20,500,406,0,0,94,406,0
2026-07-21,500,406,0,0,94,406,0
2026-07-22,500,406,0,0,94,406,0
2026-07-23,500,405,0,0,93,405,0
2026-07-24,500,402,0,0,94,402,0
2026-07-25,500,401,0,0,94,401,0
2026-07-26,500,405,0,0,95,405,0
2026-07-27,500,385,0,0,115,385,0
2026-07-28,500,385,0,0,115,385,0
2026-07-29,500,385,0,0,115,385,0
2026-07-30,500,385,0,0,115,385,0
2026-07-31,500,385,0,0,115,385,0
2026-08-01,500,384,0,0,116,384,1
2026-08-02,500,384,0,0,116,384,1
2026-08-03,500,366,0,0,132,366,1
2026-08-05,500,367,0,0,133,367,1
2026-08-07,500,367,0,0,133,367,1
2026-08-07,500,366,0,0,132,366,0
2026-08-08,500,368,0,0,132,368,0
2026-08-09,500,367,0,0,133,367,0
2026-08-10,500,367,0,0,133,367,0
2026-08-11,500,367,0,0,133,367,0
2026-08-12,500,349,0,0,146,349,0
2026-08-13,500,354,0,0,146,354,0
2026-08-14,500,353,0,0,146,353,0
2026-08-15,500,354,0,0,146,354,0
2026-08-16,500,354,0,0,146,354,0
2026-08-17,500,348,0,0,152,348,0
2026-08-18,500,348,0,0,152,348,0
2026-08-19,500,348,0,0,152,348,0
2026-08-20,500,348,0,0,152,348,0
2026-08-23,500,353,0,0,147,353,0
2026-08-25,500,499,0,0,1,499,0
2026-08-26,500,499,0,0,1,499,0
2026-08-27,500,499,0,0,1,499,0
2026-08-28,500,498,0,0,1,498,0
2026-08-29,500,499,0,0,1,499,0
2026-08-30,500,499,0,0,1,499,0
2026-08-31,500,498,0,0,2,498,0
2026-09-01,500,497,0,0,3,497,0
2026-09-02,500,496,0,0,3,496,0
2026-09-03,500,497,0,0,3,497,0
2026-09-04,500,497,0,0,3,497,0
2026-09-05,500,497,0,0,3,497,0
2026-09-06,500,497,0,0,3,497,0
