"記事ID","タイトル","URL","カタログキー","カバー状態","計測状態","インプレッション","PV","スキ","コメント","売上（円）","全期間公開かつ表示あり","開始日（JST）","終了日（JST）"
"n8558c1a6503a","退職後のキャリア: AI × 公的セクター経験者の市場価値","https://note.com/stats47/n/n8558c1a6503a","paid-n8558c1a6503a","configured","observed","285","4","0","0","0","true","2026-08-15","2026-09-11"
"na69997771fe5","【自己紹介】元県庁職員がつくった都道府県統計サイト「stats47」","https://note.com/stats47/n/na69997771fe5","pinned-intro","configured","observed","275","22","9","0","0","false","2026-08-15","2026-09-11"
"n2d53f8a5fbb8","進学率だけで教育水準は測れない ── 進学率と就職率を合算して見える県","https://note.com/stats47/n/n2d53f8a5fbb8","b-kakei-advancement-employment","configured","observed","239","6","1","0","0","false","2026-08-15","2026-09-11"
"nf01a62d2dc16","災害時の SNS 発信文を Claude Code で多言語化","https://note.com/stats47/n/nf01a62d2dc16","21-disaster-sns-multilang","configured","observed","234","0","0","0","0","true","2026-08-15","2026-09-11"
"n2a465fecbdec","【2024年版】地域別最低賃金が最も高い県は？ 1位は東京都｜都道府県ランキング","https://note.com/stats47/n/n2a465fecbdec","a-minimum-wage-by-region","configured","observed","226","6","2","0","0","false","2026-08-15","2026-09-11"
"nf4b16d26f6e8","【2023年版】合計特殊出生率が最も高い県は？ 1位は沖縄県｜都道府県ランキング","https://note.com/stats47/n/nf4b16d26f6e8","a-total-fertility-rate","configured","observed","215","5","2","0","0","false","2026-08-15","2026-09-11"
"n041e38af8fb5","駅代表点から直線800m×2050年人口｜47都道府県を再現","https://note.com/stats47/n/n041e38af8fb5","d-geo-station-access-analysis","configured","observed","205","11","0","0","0","false","2026-08-15","2026-09-11"
"nefecfbe76bd2","【2021年】都道府県の未来への投資力に6倍の格差！投資的経費の割合ランキング、あなたの県は？","https://note.com/stats47/n/nefecfbe76bd2","paid-nefecfbe76bd2","configured","observed","205","9","0","0","0","true","2026-08-15","2026-09-11"
"ne6c7d221803a","【2023年版】農業産出額が最も多い県は？ 1位は北海道｜都道府県ランキング","https://note.com/stats47/n/ne6c7d221803a","a-agricultural-output","configured","observed","203","10","0","0","0","false","2026-08-15","2026-09-11"
"n91e96edf3950","【2024年版】都道府県「最高気温」ランキング｜猛暑日の常連は九州・東海","https://note.com/stats47/n/n91e96edf3950","a-maximum-temperature","configured","observed","197","30","2","0","0","true","2026-08-15","2026-09-11"
"ne82a6c83ed45","【2022年度】都道府県「地方債現在高比率」ランキング｜なぜ財政力7位の静岡が借金ワースト？大阪41位の意外","https://note.com/stats47/n/ne82a6c83ed45","recovered-ne82a6c83ed45","configured","observed","196","186","1","0","0","true","2026-08-15","2026-09-11"
"nfe50fb61efc0","洪水浸水想定区域×2050年人口｜47都道府県・29,737メッシュを再現","https://note.com/stats47/n/nfe50fb61efc0","d-geo-flood-population-mesh","configured","observed","195","12","2","0","0","false","2026-08-15","2026-09-11"
"n4727114e4db6","【2024年版】延べ宿泊者数が最も多い県は？ 1位は東京都｜都道府県ランキング","https://note.com/stats47/n/n4727114e4db6","a-total-overnight-guests","configured","observed","193","4","4","0","0","false","2026-08-15","2026-09-11"
