date,url,strategy,page_type,score_performance,lcp_ms,cls,tbt_ms,fcp_ms,ttfb_ms,violations_error,violations_warning
2026-04-24,https://stats47.jp/,mobile,homepage,56,8403,0.001,433,3752,3,2,2
2026-04-24,https://stats47.jp/,desktop,homepage,83,1681,0.001,246,722,6,1,1
2026-04-24,https://stats47.jp/ranking,mobile,ranking,58,7801,0.000,523,2701,4,2,2
2026-04-24,https://stats47.jp/ranking,desktop,ranking,80,1125,0.000,406,649,5,1,1
2026-04-24,https://stats47.jp/areas,mobile,area,21,7505,0.324,3531,1953,4,3,2
2026-04-24,https://stats47.jp/areas,desktop,area,73,1515,0.077,428,722,3,1,1
2026-04-24,https://stats47.jp/themes,mobile,theme,50,5378,0.000,910,4073,7,2,2
2026-04-24,https://stats47.jp/themes,desktop,theme,88,1324,0.001,236,803,3,1,1
2026-04-24,https://stats47.jp/search,mobile,other,59,5292,0.209,348,2267,117,3,2
2026-04-24,https://stats47.jp/search,desktop,other,96,1281,0.001,70,681,148,0,0
2026-04-24,https://stats47.jp/themes/population-dynamics,mobile,theme,,,,,,,1,0
2026-04-24,https://stats47.jp/themes/population-dynamics,desktop,theme,56,2220,0.014,616,1001,41,2,1
2026-04-24,https://stats47.jp/themes/local-economy,mobile,theme,,,,,,,1,0
2026-04-24,https://stats47.jp/themes/local-economy,desktop,theme,48,2601,0.007,2163,721,59,2,1
2026-04-24,https://stats47.jp/themes/labor-wages,mobile,theme,28,11251,0.000,2514,5251,65,2,2
2026-04-24,https://stats47.jp/themes/labor-wages,desktop,theme,43,2909,0.008,2589,1001,50,2,1
2026-04-24,https://stats47.jp/ranking/total-population,mobile,ranking,31,11926,0.000,1559,5551,41,2,2
2026-04-24,https://stats47.jp/ranking/total-population,desktop,ranking,44,2633,0.079,2106,1041,64,2,1
2026-04-24,https://stats47.jp/ranking/annual-sunshine-duration,mobile,ranking,32,12376,0.000,1731,4201,54,2,2
2026-04-24,https://stats47.jp/ranking/annual-sunshine-duration,desktop,ranking,32,7593,0.079,14961,1081,53,2,1
2026-04-24,https://stats47.jp/ranking/future-population-change-rate-2050,mobile,ranking,31,12976,0.000,1592,6151,46,2,2
2026-04-24,https://stats47.jp/ranking/future-population-change-rate-2050,desktop,ranking,43,3146,0.001,1358,1121,42,2,1
2026-04-24,https://stats47.jp/ranking/agricultural-output,mobile,ranking,28,12526,0.000,2170,5851,66,2,2
2026-04-24,https://stats47.jp/ranking/agricultural-output,desktop,ranking,39,3310,0.078,3678,1121,81,2,1
2026-04-24,https://stats47.jp/areas/13000,mobile,area,53,8552,0.012,745,2251,11,2,2
2026-04-24,https://stats47.jp/areas/13000,desktop,area,60,1532,0.004,929,801,10,1,1
2026-04-24,https://stats47.jp/areas/27000,mobile,area,,,,,,,1,0
2026-04-24,https://stats47.jp/areas/27000,desktop,area,,,,,,,1,0
2026-04-24,https://stats47.jp/areas/01000,mobile,area,34,8101,0.000,2167,3751,7,2,2
2026-04-24,https://stats47.jp/areas/01000,desktop,area,64,1631,0.001,757,721,7,1,1
2026-04-24,https://stats47.jp/areas/47000,mobile,area,43,7876,0.000,949,3601,10,2,2
2026-04-24,https://stats47.jp/areas/47000,desktop,area,66,1481,0.001,706,721,6,1,1
2026-04-24,https://stats47.jp/blog,mobile,blog,70,5777,0.000,280,2401,5,2,1
2026-04-24,https://stats47.jp/blog,desktop,blog,76,1775,0.001,339,681,3,1,1
2026-04-24,https://stats47.jp/blog/telework-gap-tokyo-6x,mobile,blog,56,6751,0.058,319,4951,4,2,2
2026-04-24,https://stats47.jp/blog/telework-gap-tokyo-6x,desktop,blog,,,,,,,1,0
2026-04-24,https://stats47.jp/about,mobile,other,64,5402,0.000,288,4201,2,2,1
2026-04-24,https://stats47.jp/about,desktop,other,,,,,,,1,0
2026-04-24,https://stats47.jp/,mobile,homepage,47,8406,0.001,633,3603,4,2,2
2026-04-24,https://stats47.jp/,desktop,homepage,,,,,,,1,0
2026-04-24,https://stats47.jp/ranking,mobile,ranking,,,,,,,1,0
2026-04-24,https://stats47.jp/ranking,desktop,ranking,51,2087,0.001,4301,681,4,2,1
2026-04-24,https://stats47.jp/areas,mobile,area,30,7355,0.325,841,3604,3,3,2
2026-04-24,https://stats47.jp/areas,desktop,area,,,,,,,1,0
2026-04-24,https://stats47.jp/themes,mobile,theme,55,6906,0.000,479,4054,2,2,2
2026-04-24,https://stats47.jp/themes,desktop,theme,,,,,,,1,0
2026-04-24,https://stats47.jp/search,mobile,other,71,4206,0.001,188,2254,9296,2,2
2026-04-24,https://stats47.jp/search,desktop,other,98,1082,0.001,35,682,101,0,0
2026-04-24,https://stats47.jp/themes/population-dynamics,mobile,theme,35,11017,0.000,1010,5551,43,2,2
2026-04-24,https://stats47.jp/themes/population-dynamics,desktop,theme,,,,,,,1,0
2026-04-24,https://stats47.jp/themes/local-economy,mobile,theme,29,11339,0.000,1820,5101,65,2,2
2026-04-24,https://stats47.jp/themes/local-economy,desktop,theme,54,2156,0.007,938,1001,50,2,1
2026-04-24,https://stats47.jp/themes/labor-wages,mobile,theme,28,10937,0.004,2635,5251,52,2,2
2026-04-24,https://stats47.jp/themes/labor-wages,desktop,theme,58,2108,0.008,603,1001,54,2,1
2026-04-24,https://stats47.jp/ranking/total-population,mobile,ranking,29,11776,0.000,2049,5551,50,2,2
2026-04-24,https://stats47.jp/ranking/total-population,desktop,ranking,35,3150,0.153,2621,961,72,3,1
2026-04-24,https://stats47.jp/ranking/annual-sunshine-duration,mobile,ranking,39,12240,0.000,777,6001,43,2,2
2026-04-24,https://stats47.jp/ranking/annual-sunshine-duration,desktop,ranking,46,2621,0.079,1113,1081,63,2,1
2026-04-24,https://stats47.jp/ranking/future-population-change-rate-2050,mobile,ranking,27,12826,0.000,2377,6151,74,2,2
2026-04-24,https://stats47.jp/ranking/future-population-change-rate-2050,desktop,ranking,,,,,,,1,0
2026-04-24,https://stats47.jp/ranking/agricultural-output,mobile,ranking,,,,,,,1,0
2026-04-24,https://stats47.jp/ranking/agricultural-output,desktop,ranking,46,2530,0.078,1177,1121,42,2,1
2026-04-24,https://stats47.jp/areas/13000,mobile,area,41,8551,0.012,934,4201,10,2,2
2026-04-24,https://stats47.jp/areas/13000,desktop,area,60,1809,0.004,1241,801,10,1,1
2026-04-24,https://stats47.jp/areas/27000,mobile,area,,,,,,,1,0
2026-04-24,https://stats47.jp/areas/27000,desktop,area,37,3441,0.000,9309,1594,7,2,1
2026-04-24,https://stats47.jp/areas/01000,mobile,area,57,7351,0.000,409,3751,6,2,2
2026-04-24,https://stats47.jp/areas/01000,desktop,area,66,1459,0.000,733,561,9,1,1
2026-04-24,https://stats47.jp/areas/47000,mobile,area,63,7651,0.000,237,3601,7,2,1
2026-04-24,https://stats47.jp/areas/47000,desktop,area,,,,,,,1,0
2026-04-24,https://stats47.jp/blog,mobile,blog,53,9602,0.000,321,4836,5,2,2
2026-04-24,https://stats47.jp/blog,desktop,blog,87,1631,0.001,185,681,4,1,0
2026-04-24,https://stats47.jp/blog/telework-gap-tokyo-6x,mobile,blog,40,7281,0.000,3890,1203,4,2,1
2026-04-24,https://stats47.jp/blog/telework-gap-tokyo-6x,desktop,blog,68,1351,0.074,525,923,3,1,1
2026-04-24,https://stats47.jp/about,mobile,other,54,8852,0.000,288,6234,3,2,1
2026-04-24,https://stats47.jp/about,desktop,other,95,1321,0.030,102,801,2,0,0
