posted_at,domain,ranking_key,type,media_id,permalink
2026-05-10T01:23:29.510Z,ranking,maximum-temperature,carousel,17896359579446195,https://www.instagram.com/p/DYI7ozUkue0/
2026-05-17T02:35:03.836Z,ranking,starting-salary-university,image,18103248718992816,https://www.instagram.com/p/DYbFaRvE6ht/
2026-05-24T02:08:48.503Z,migration-flow,tokyo,reels,18091220636337737,https://www.instagram.com/reel/DYtD6lkExxr/
2026-05-24T02:09:46.330Z,migration-flow,hokkaido,reels,18084243956258655,https://www.instagram.com/reel/DYtEB4Xkhqo/
2026-05-24T02:10:25.436Z,migration-flow,aomori,reels,18154068229475007,https://www.instagram.com/reel/DYtEGkMDyJo/
2026-05-24T02:11:45.163Z,migration-flow,iwate,reels,17951616306149805,https://www.instagram.com/reel/DYtEQb5E55L/
2026-05-24T02:12:43.985Z,migration-flow,miyagi,reels,18584221114011632,https://www.instagram.com/reel/DYtEY5YlPYN/
2026-05-24T02:13:23.069Z,migration-flow,akita,reels,17907088503243511,https://www.instagram.com/reel/DYtEcS-jj-0/
2026-05-24T02:14:22.347Z,migration-flow,yamagata,reels,18063546239686900,https://www.instagram.com/reel/DYtEjSbj_H4/
2026-05-24T02:15:01.207Z,migration-flow,fukushima,reels,18006399398874718,https://www.instagram.com/reel/DYtEoXxCQxS/
2026-05-24T02:16:11.043Z,migration-flow,ibaraki,reels,18013245563705162,https://www.instagram.com/reel/DYtExFuDMX3/
2026-05-24T02:16:49.396Z,migration-flow,tochigi,reels,18051030083521095,https://www.instagram.com/reel/DYtE1hElJvs/
2026-05-24T02:17:47.523Z,migration-flow,gunma,reels,18179378122359442,https://www.instagram.com/reel/DYtE8kRAg96/
2026-05-24T02:18:25.988Z,migration-flow,saitama,reels,18115185298823347,https://www.instagram.com/reel/DYtFBWkFH8n/
2026-05-24T02:19:04.193Z,migration-flow,chiba,reels,17969829582065974,https://www.instagram.com/reel/DYtFF_yDddY/
2026-05-24T02:19:42.395Z,migration-flow,kanagawa,reels,18065950292392470,https://www.instagram.com/reel/DYtFKm0DqCu/
2026-05-24T02:20:50.239Z,migration-flow,niigata,reels,18588703708021433,https://www.instagram.com/reel/DYtFTawFMmp/
2026-05-24T02:21:28.851Z,migration-flow,toyama,reels,17991405959973458,https://www.instagram.com/reel/DYtFXpfgHBP/
2026-05-24T02:22:08.687Z,migration-flow,ishikawa,reels,18320047165262784,https://www.instagram.com/reel/DYtFcS0D10C/
2026-05-24T02:23:38.915Z,migration-flow,fukui,reels,17860758669634819,https://www.instagram.com/reel/DYtFnQGCprf/
2026-05-24T02:24:08.442Z,migration-flow,yamanashi,reels,18155700613459146,https://www.instagram.com/reel/DYtFsHagTiu/
2026-05-24T02:24:48.587Z,migration-flow,nagano,reels,18094003802584264,https://www.instagram.com/reel/DYtFv7MCHso/
2026-05-24T02:25:27.904Z,migration-flow,gifu,reels,18073533836669910,https://www.instagram.com/reel/DYtF0sVAY9f/
2026-05-24T02:26:08.002Z,migration-flow,shizuoka,reels,18099549404121480,https://www.instagram.com/reel/DYtF5gIFJr8/
2026-05-24T02:26:47.662Z,migration-flow,aichi,reels,18086605871573112,https://www.instagram.com/reel/DYtF-XRE4Gz/
2026-05-24T02:27:26.372Z,migration-flow,mie,reels,18195472201365295,https://www.instagram.com/reel/DYtGDPqlAKe/
2026-05-24T02:28:35.542Z,migration-flow,shiga,reels,17887591020546353,https://www.instagram.com/reel/DYtGLvTjpgw/
