code,indicator,unit,category,series,opp,prefAvail,cityAvail,prefUsed,cityUsed,vintage,prefId,cityId
#A01403,#A01403_人口集中地区人口密度（人口集中地区面積１km2当たり）,人,人口・世帯,indicator,ADD city (pref exists),1,1,1,0,0,0000010201,0000020301
#A01404,#A01404_人口集中地区面積の変化率,％,人口・世帯,indicator,ADD city (pref exists),1,1,1,0,0,0000010201,0000020301
#A0191001,#A0191001_将来推計人口（2020年）,人,人口・世帯,indicator,ADD city (pref exists),1,1,1,0,0,0000010201,0000020301
#A0191002,#A0191002_将来推計人口（2025年）,人,人口・世帯,indicator,ADD city (pref exists),1,1,1,0,0,0000010201,0000020301
#A0191003,#A0191003_将来推計人口（2030年）,人,人口・世帯,indicator,ADD city (pref exists),1,1,1,0,0,0000010201,0000020301
#A0191004,#A0191004_将来推計人口（2035年）,人,人口・世帯,indicator,ADD city (pref exists),1,1,1,0,0,0000010201,0000020301
#A0191005,#A0191005_将来推計人口（2040年）,人,人口・世帯,indicator,ADD city (pref exists),1,1,1,0,0,0000010201,0000020301
#A0191006,#A0191006_将来推計人口（2045年）,人,人口・世帯,indicator,ADD city (pref exists),1,1,1,0,0,0000010201,0000020301
#A0191007,#A0191007_将来推計人口（2050年）,人,人口・世帯,indicator,ADD city (pref exists),1,1,1,0,0,0000010201,0000020301
#A0411001,#A0411001_未婚者割合（15歳以上人口）,％,人口・世帯,indicator,ADD city (pref exists),1,1,1,0,0,0000010201,0000020301
#A05301,#A05301_転入超過率（日本人移動者）,％,人口・世帯,indicator,ADD city (pref exists),1,1,1,0,0,0000010201,0000020301
#A05302,#A05302_転入率（日本人移動者）,％,人口・世帯,indicator,ADD city (pref exists),1,1,1,0,0,0000010201,0000020301
#A05303,#A05303_転出率（日本人移動者）,％,人口・世帯,indicator,ADD city (pref exists),1,1,1,0,0,0000010201,0000020301
#A05307,#A05307_転入超過率,％,人口・世帯,indicator,ADD city (pref exists),1,1,1,0,0,0000010201,0000020301
#A05308,#A05308_転入率,％,人口・世帯,indicator,ADD city (pref exists),1,1,1,0,0,0000010201,0000020301
#A05309,#A05309_転出率,％,人口・世帯,indicator,ADD city (pref exists),1,1,1,0,0,0000010201,0000020301
#A06202,#A06202_核家族世帯割合,％,人口・世帯,indicator,ADD city (pref exists),1,1,1,0,0,0000010201,0000020301
#A06302,#A06302_夫65歳以上、妻60歳以上の夫婦のみの世帯の割合,％,人口・世帯,indicator,ADD city (pref exists),1,1,1,0,0,0000010201,0000020301
#A06304,#A06304_65歳以上世帯員の単独世帯の割合,％,人口・世帯,indicator,ADD city (pref exists),1,1,1,0,0,0000010201,0000020301
A1101,総人口,人,人口・世帯,basic,ADD city (pref exists),1,1,1,0,0,0000010101,0000020201
A1102,日本人人口,人,人口・世帯,basic,ADD city (pref exists),1,1,1,0,0,0000010101,0000020201
A1700,外国人人口,人,人口・世帯,basic,ADD city (pref exists),1,1,1,0,0,0000010101,0000020201
A1801,人口集中地区人口,人,人口・世帯,basic,ADD city (pref exists),1,1,1,0,0,0000010101,0000020201
A1802,人口集中地区面積,ｋｍ2,人口・世帯,basic,ADD city (pref exists),1,1,1,0,0,0000010101,0000020201
A4101,出生数,人,人口・世帯,basic,ADD city (pref exists),1,1,1,0,0,0000010101,0000020201
A4200,死亡数,人,人口・世帯,basic,ADD city (pref exists),1,1,1,0,0,0000010101,0000020201
A5101,転入者数（日本人移動者）,人,人口・世帯,basic,ADD city (pref exists),1,1,1,0,0,0000010101,0000020201
A5102,転出者数（日本人移動者）,人,人口・世帯,basic,ADD city (pref exists),1,1,1,0,0,0000010101,0000020201
A5103,転入者数,人,人口・世帯,basic,ADD city (pref exists),1,1,1,0,0,0000010101,0000020201
A5104,転出者数,人,人口・世帯,basic,ADD city (pref exists),1,1,1,0,0,0000010101,0000020201
A6107,昼間人口,人,人口・世帯,basic,ADD city (pref exists),1,1,1,0,0,0000010101,0000020201
A6108,昼夜間人口比率,％,人口・世帯,basic,ADD city (pref exists),1,1,1,0,0,0000010101,0000020201
A7101,世帯数,世帯,人口・世帯,basic,ADD city (pref exists),1,1,1,0,0,0000010101,0000020201
A8401,母子世帯数,世帯,人口・世帯,basic,ADD city (pref exists),1,1,1,0,0,0000010101,0000020201
A8501,父子世帯数,世帯,人口・世帯,basic,ADD city (pref exists),1,1,1,0,0,0000010101,0000020201
A9101,婚姻件数,組,人口・世帯,basic,ADD city (pref exists),1,1,1,0,0,0000010101,0000020201
A9201,離婚件数,組,人口・世帯,basic,ADD city (pref exists),1,1,1,0,0,0000010101,0000020201
#B01301,#B01301_可住地面積割合,％,自然環境,indicator,ADD city (pref exists),1,1,1,0,0,0000010202,0000020302
B1101,総面積（北方地域及び竹島を除く）,ｈａ,自然環境,basic,ADD city (pref exists),1,1,1,0,0,0000010102,0000020202
B1103,可住地面積,ｈａ,自然環境,basic,ADD city (pref exists),1,1,1,0,0,0000010102,0000020202
B1104,主要湖沼面積,ｈａ,自然環境,basic,ADD city (pref exists),1,1,1,0,0,0000010102,0000020202
B1105,林野面積,ｈａ,自然環境,basic,ADD city (pref exists),1,1,1,0,0,0000010102,0000020202
B1106,森林面積,ｈａ,自然環境,basic,ADD city (pref exists),1,1,1,0,0,0000010102,0000020202
B1201,評価総地積（課税対象土地）,ｍ2,自然環境,basic,ADD city (pref exists),1,1,1,0,0,0000010102,0000020202
