score,code,indicator,unit,category,series,opp,prefId,cityId
6,#A01404,#A01404_人口集中地区面積の変化率,％,人口・世帯,indicator,ADD city (pref exists),0000010201,0000020301
6,#A05301,#A05301_転入超過率（日本人移動者）,％,人口・世帯,indicator,ADD city (pref exists),0000010201,0000020301
6,#A05302,#A05302_転入率（日本人移動者）,％,人口・世帯,indicator,ADD city (pref exists),0000010201,0000020301
6,#A05303,#A05303_転出率（日本人移動者）,％,人口・世帯,indicator,ADD city (pref exists),0000010201,0000020301
6,#A05307,#A05307_転入超過率,％,人口・世帯,indicator,ADD city (pref exists),0000010201,0000020301
6,#A05308,#A05308_転入率,％,人口・世帯,indicator,ADD city (pref exists),0000010201,0000020301
6,#A05309,#A05309_転出率,％,人口・世帯,indicator,ADD city (pref exists),0000010201,0000020301
6,#A06202,#A06202_核家族世帯割合,％,人口・世帯,indicator,ADD city (pref exists),0000010201,0000020301
6,#B01301,#B01301_可住地面積割合,％,自然環境,indicator,ADD city (pref exists),0000010202,0000020302
6,#F01102,#F01102_就業者比率,％,労働,indicator,ADD city (pref exists),0000010206,0000020306
6,#F01201,#F01201_第1次産業就業者比率,％,労働,indicator,ADD city (pref exists),0000010206,0000020306
6,#F01202,#F01202_第2次産業就業者比率,％,労働,indicator,ADD city (pref exists),0000010206,0000020306
6,#F01203,#F01203_第3次産業就業者比率,％,労働,indicator,ADD city (pref exists),0000010206,0000020306
6,#F01301,#F01301_完全失業率,％,労働,indicator,ADD city (pref exists),0000010206,0000020306
6,#F02701,#F02701_他市区町村への通勤者比率,％,労働,indicator,ADD city (pref exists),0000010206,0000020306
6,#F02702,#F02702_他市区町村からの通勤者比率,％,労働,indicator,ADD city (pref exists),0000010206,0000020306
6,#H01301,#H01301_持ち家比率,％,居住,indicator,ADD city (pref exists),0000010208,0000020308
6,#H01405,#H01405_空き家比率,％,居住,indicator,ADD city (pref exists),0000010208,0000020308
6,#H06127,#H06127_小売店数（人口千人当たり）,店,居住,indicator,ADD city (pref exists),0000010208,0000020308
6,#H06130,#H06130_飲食店数（人口千人当たり）,店,居住,indicator,ADD city (pref exists),0000010208,0000020308
5.5,A1101,総人口,人,人口・世帯,basic,ADD city (pref exists),0000010101,0000020201
5,#A01403,#A01403_人口集中地区人口密度（人口集中地区面積１km2当たり）,人,人口・世帯,indicator,ADD city (pref exists),0000010201,0000020301
5,#A0191001,#A0191001_将来推計人口（2020年）,人,人口・世帯,indicator,ADD city (pref exists),0000010201,0000020301
5,#A0191002,#A0191002_将来推計人口（2025年）,人,人口・世帯,indicator,ADD city (pref exists),0000010201,0000020301
5,#A0191003,#A0191003_将来推計人口（2030年）,人,人口・世帯,indicator,ADD city (pref exists),0000010201,0000020301
5,#A0191004,#A0191004_将来推計人口（2035年）,人,人口・世帯,indicator,ADD city (pref exists),0000010201,0000020301
5,#A0191005,#A0191005_将来推計人口（2040年）,人,人口・世帯,indicator,ADD city (pref exists),0000010201,0000020301
