prefCode,prefName,cityName,year,食料,住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,その他の消費支出
01000,北海道,札幌市,2024,0.9379,1.2661,1.1328,1.0854,1.0503,0.9643,0.8091,0.7983,0.947,0.8206
02000,青森県,青森市,2024,0.9454,0.6399,1.2788,0.9429,0.7518,0.8604,0.7771,0.3467,0.7576,0.8541
03000,岩手県,盛岡市,2024,0.9673,1.4441,1.1742,0.9736,1.0287,0.9775,1.1259,0.6102,0.9586,1.0134
04000,宮城県,仙台市,2024,0.9965,1.6653,1.0007,0.9448,1.0994,0.898,0.9458,1.3004,0.9295,1.0498
05000,秋田県,秋田市,2024,0.9533,0.6485,1.2097,1.0205,0.7159,0.8732,1.0145,0.243,0.8489,0.9066
06000,山形県,山形市,2024,1.0813,0.918,1.2982,1.0695,1.0262,1.0149,1.0649,0.8729,1.0751,1.0576
07000,福島県,福島市,2024,1.0207,0.5761,1.1927,0.9765,0.833,0.9379,1.3085,0.5914,0.9624,0.9687
08000,茨城県,水戸市,2024,0.9749,0.7677,1.0949,1.0525,0.9508,1.1196,1.2772,0.886,1.0943,1.0363
09000,栃木県,宇都宮市,2024,0.995,0.745,0.9845,0.9791,1.0102,1.1601,1.4013,1.1191,1.032,1.2246
10000,群馬県,前橋市,2024,0.9854,0.6045,0.9565,0.8829,1.0665,0.999,1.3223,0.6606,1.0754,0.9367
11000,埼玉県,さいたま市,2024,1.1601,1.1254,1.0081,1.2605,1.3492,1.2778,0.8927,2.1231,1.3983,1.1967
12000,千葉県,千葉市,2024,1.1145,1.0594,0.9238,1.1517,1.2468,1.0356,1.0159,1.9976,1.1737,1.0835
13000,東京都,東京,2024,1.1888,1.3515,0.8938,1.1084,1.3468,1.3436,0.8685,2.0938,1.3731,1.0273
14000,神奈川県,横浜市,2024,1.1289,1.1789,0.9649,1.1359,1.3116,1.3069,0.8251,1.5068,1.257,0.9971
15000,新潟県,新潟市,2024,1.024,0.8942,1.1102,1.0781,0.9779,0.8104,1.0625,1.016,0.8477,0.9748
16000,富山県,富山市,2024,1.1133,0.9589,1.2161,1.1227,0.9696,0.9198,1.1266,0.7636,1.1392,1.1608
17000,石川県,金沢市,2024,0.9903,0.7982,1.0768,0.9688,1.0654,0.9096,1.2813,1.0919,0.965,1.0729
18000,福井県,福井市,2024,0.9664,1.3462,1.1561,0.8879,0.7843,1.0289,1.2139,0.7551,0.8433,1.0394
19000,山梨県,甲府市,2024,0.9753,1.0566,0.9837,1.0169,0.9798,0.9117,1.1613,1.1076,0.9546,0.9829
20000,長野県,長野市,2024,0.9823,0.7094,1.0959,1.0511,0.9548,1.0679,1.2618,0.686,1.1231,1.1663
21000,岐阜県,岐阜市,2024,1.029,0.5622,1.0752,0.8983,1.1147,0.8474,0.8434,1.3095,1.0744,0.8443
22000,静岡県,静岡市,2024,1.0486,1.3627,1.0405,1.0572,0.9506,1.1049,1.2141,0.8408,0.9767,1.025
23000,愛知県,名古屋市,2024,1.0719,0.6429,0.9517,1.1128,1.2639,1.0093,0.8856,1.2171,1.1712,1.0423
24000,三重県,津市,2024,0.9418,1.2802,0.8914,1.0135,0.9193,1.0103,0.8681,0.7635,1.0264,0.9404
25000,滋賀県,大津市,2024,1.0715,1.0907,0.9693,1.041,0.9945,1.1629,1.0076,1.3142,1.118,1.0273
26000,京都府,京都市,2024,1.0428,1.1104,0.8789,0.9359,1.0177,1.0309,0.7416,1.4034,1.12,0.8793
27000,大阪府,大阪市,2024,1.0418,1.004,0.9144,0.8741,1.0046,0.985,0.661,1.2122,0.9558,0.8496
28000,兵庫県,神戸市,2024,1.0525,1.023,0.8346,0.8494,0.8791,0.948,0.7257,0.9806,1.0087,0.8492
29000,奈良県,奈良市,2024,1.0416,0.9936,1.0122,1.0427,1.1837,1.0317,0.8847,1.7383,1.1118,1.0698
30000,和歌山県,和歌山市,2024,0.9354,0.9655,0.8757,1.0903,0.8349,0.9049,0.8449,0.5248,0.9273,0.7621
31000,鳥取県,鳥取市,2024,0.971,1.4086,1.015,1.1226,0.9649,0.955,1.0889,0.802,0.9969,1.1124
32000,島根県,松江市,2024,0.9417,0.8985,1.1897,0.9145,0.7342,0.9522,1.0577,0.4794,0.9902,0.9856
33000,岡山県,岡山市,2024,1.0145,0.8752,0.937,1.2666,1.097,1.1673,1.2047,0.857,1.1197,1.1289
34000,広島県,広島市,2024,0.9711,1.0342,1.0268,0.8887,1.1297,0.9849,0.8503,0.8255,1.0729,1.091
35000,山口県,山口市,2024,0.933,0.8036,1.008,1.0934,0.9663,0.917,1.0022,0.7011,0.934,1.0713
36000,徳島県,徳島市,2024,0.9845,1.0238,0.9528,1.0054,1.0057,1.0047,0.7344,1.4741,1.0114,0.8823
37000,香川県,高松市,2024,0.9514,1.529,0.9534,1.105,0.8473,0.9888,0.9414,0.6897,0.8598,0.9936
38000,愛媛県,松山市,2024,0.8746,0.8432,0.871,0.8817,0.9173,0.9112,0.7845,1.0338,0.7721,0.8155
39000,高知県,高知市,2024,0.9503,1.392,0.9567,0.8732,0.9471,0.7854,1.0009,0.8912,0.8354,1.1868
40000,福岡県,福岡市,2024,0.9787,0.9567,0.8308,1.0754,1.0913,0.9806,0.8002,0.9754,1.0887,0.9755
41000,佐賀県,佐賀市,2024,0.9601,0.547,0.9389,0.9042,1.0328,1.1302,1.2281,1.1491,0.8869,0.8851
42000,長崎県,長崎市,2024,0.9482,0.7691,0.8824,0.8009,0.795,0.8315,0.8695,0.5143,0.7715,1.0878
43000,熊本県,熊本市,2024,1.0577,1.1932,0.8782,0.9265,1.2152,1.2645,1.0883,1.4398,1.0342,1.0439
44000,大分県,大分市,2024,0.9195,0.8598,0.8275,0.8697,1.0696,0.8799,1.2712,0.784,0.8365,1.0775
45000,宮崎県,宮崎市,2024,0.9525,0.7803,0.7652,0.9068,0.7891,1.0098,0.8701,0.6064,0.8691,0.9584
46000,鹿児島県,鹿児島市,2024,0.9193,0.97,0.8389,0.8319,1.0328,0.9759,1.0776,1.0701,0.9175,1.0924
47000,沖縄県,那覇市,2024,0.8934,1.3268,0.9313,0.9086,0.6826,0.8086,0.6973,0.8328,0.7572,0.7526
