id,stats_data_id,cat01,item_name,item_code,unit,area_type,is_ranking
2160,"0000010112","L3210","実支出（二人以上の世帯のうち勤労者世帯）（家計調査結果）","actual-expenditure-worker-households","円","prefecture",0
2353,"0000010112","L7210","実支出（二人以上の世帯のうち勤労者世帯）","actual-expenditure-worker-households","円","prefecture",0
2130,"0000010112","L3110","実収入（二人以上の世帯のうち勤労者世帯）（家計調査結果）","actual-income-worker-households","円","prefecture",0
2332,"0000010112","L7110","実収入（二人以上の世帯のうち勤労者世帯）","actual-income-worker-households","円","prefecture",0
3851,"0000010101","A424001","年齢調整死亡率（男）（昭和60年モデル人口）","age-adjusted-mortality-rate-woman","‐","prefecture",0
3854,"0000010101","A424012","年齢調整死亡率（女）（平成27年モデル人口）","age-adjusted-mortality-rate-woman","‐","prefecture",0
3120,"0000010103","C3102","農家数","agricultural-farm-count","戸","prefecture",0
3121,"0000010103","C310201","農家数（販売農家）","agricultural-farm-count","戸","prefecture",0
3374,"0000010102","B4104","快晴日数（年間）","annual-clear-days","日","prefecture",0
429,"0000010202","#B02301","快晴日数（年間）","annual-clear-days","日","prefecture",0
3379,"0000010102","B4109","降水量（年間）","annual-precipitation","ｍｍ","prefecture",0
433,"0000010202","#B02402","降水量（年間）","annual-precipitation","mm","prefecture",0
3376,"0000010102","B4106","降水日数（年間）","annual-precipitation-days","日","prefecture",0
430,"0000010202","#B02303","降水日数（年間）","annual-precipitation-days","日","prefecture",0
3377,"0000010102","B4107","雪日数（年間）","annual-snow-days","日","prefecture",0
431,"0000010202","#B02304","雪日数（年間）","annual-snow-days","日","prefecture",0
3378,"0000010102","B4108","日照時間（年間）","annual-sunshine-duration","時間","prefecture",0
432,"0000010202","#B02401","日照時間（年間）","annual-sunshine-duration","時間","prefecture",0
2561,"0000010113","M320101","テレビ・ラジオ・新聞・雑誌の平均時間（有業者）（男）","average-broadcast-media-consumption-time-employed-man","分","prefecture",0
234,"0000010213","#M0330101","テレビ・ラジオ・新聞・雑誌の平均時間（有業者・男）","average-broadcast-media-consumption-time-employed-man","分","prefecture",0
4943,"0000010209","#I0210104","平均身長（中学2年・女）","average-height-middle-school-second-grade-female","cm","prefecture",0
4949,"0000010209","#I0210204","平均体重（中学2年・女）","average-height-middle-school-second-grade-female","kg","prefecture",0
3961,"0000010109","I1202","平均余命（20歳）（女）","average-life-expectancy-female","年","prefecture",0
4971,"0000010209","#I0520202","平均余命（20歳・女）","average-life-expectancy-female","年","prefecture",0
3967,"0000010109","I1502","平均余命（65歳）（女）","average-life-expectancy-female-65","年","prefecture",0
4973,"0000010209","#I0520502","平均余命（65歳・女）","average-life-expectancy-female-65","年","prefecture",0
3381,"0000010102","B4111","年平均相対湿度","average-relative-humidity","％","prefecture",0
428,"0000010202","#B02201","年平均相対湿度","average-relative-humidity","％","prefecture",0
3371,"0000010102","B4101","年平均気温","average-temperature","℃","prefecture",0
425,"0000010202","#B02101","年平均気温","average-temperature","ﾟC","prefecture",0
4647,"0000010108","H5206","都市ガス販売量","city-gas-sales-volume","千ＭＪ","prefecture",0
4884,"0000010208","#H051041","都市ガス販売量","city-gas-sales-volume","万ＭＪ","prefecture",0
3271,"0000010103","C5303","消費者物価地域差指数・食料","consumer-price-difference-index-food","‐","prefecture",0
3274,"0000010103","C5703","消費者物価地域差指数（食料）","consumer-price-difference-index-food","‐","prefecture",0
3269,"0000010103","C5301","消費者物価地域差指数・総合","consumer-price-difference-index-overall","‐","prefecture",0
3272,"0000010103","C5701","消費者物価地域差指数（総合）","consumer-price-difference-index-overall","‐","prefecture",0
3270,"0000010103","C5302","消費者物価地域差指数・総合（家賃を除く）","consumer-price-difference-index-overall-excl-rent","‐","prefecture",0
3273,"0000010103","C5702","消費者物価地域差指数（家賃を除く総合）","consumer-price-difference-index-overall-excl-rent","‐","prefecture",0
2183,"0000010112","L3221","消費支出（二人以上の世帯）（家計調査結果）","consumption-expenditure-multi-person-households","円","prefecture",0
