group_key,subcategory_id,group_name,label,icon,display_order,created_at,updated_at
aging-index,uncategorized,老年化指数,老年化指数,null,0,2025-11-02 00:48:03,2025-11-02 01:27:35
agricultural-income-ratio,uncategorized,農業所得割合,null,null,0,2025-11-02 00:48:03,2025-11-02 00:48:03
agricultural-output-per-employed-person,uncategorized,就業者1人当たり農業産出額（販売農家）,null,null,0,2025-11-02 00:48:03,2025-11-02 00:48:03
annual-precipitation,uncategorized,降水量（年間）,null,null,0,2025-11-02 00:48:03,2025-11-02 00:48:03
annual-sales-amount-per-employee,uncategorized,商業年間商品販売額（卸売業＋小売業）（従業者1人当たり）,null,null,0,2025-11-02 00:48:03,2025-11-02 00:48:03
average-persons-per-general-household,uncategorized,一般世帯の平均人員,null,null,0,2025-11-02 00:48:03,2025-11-02 00:48:03
average-relative-humidity,uncategorized,年平均相対湿度,null,null,0,2025-11-02 00:48:03,2025-11-02 00:48:03
average-temperature,uncategorized,年平均気温,null,null,0,2025-11-02 00:48:03,2025-11-02 00:48:03
bank-deposit-balance-per-person,uncategorized,国内銀行預金残高（人口1人当たり）,null,null,0,2025-11-02 00:48:03,2025-11-02 00:48:03
block-park-count-per-100km2,uncategorized,街区公園数（可住地面積100km2当たり）,null,null,0,2025-11-02 00:48:04,2025-11-02 00:48:04
building-fire-count-per-100-thousand-people,uncategorized,火災出火件数（人口10万人当たり）,null,null,0,2025-11-02 00:48:04,2025-11-02 00:48:04
city-gas-sales-volume,uncategorized,都市ガス販売量,null,null,0,2025-11-02 00:48:04,2025-11-02 00:48:04
city-gas-supply-area-household-ratio,uncategorized,都市ガス供給区域内世帯比率,null,null,0,2025-11-02 00:48:04,2025-11-02 00:48:04
complainant-rate-per-1000,uncategorized,有訴者率（人口千人当たり）,null,null,0,2025-11-02 00:48:04,2025-11-02 00:48:04
criminal-arrest-rate,uncategorized,刑法犯検挙率,null,null,0,2025-11-02 00:48:04,2025-11-02 00:48:04
criminal-recognition-count-of-serious-crime-rate,uncategorized,刑法犯認知件数に占める凶悪犯の割合,null,null,0,2025-11-02 00:48:04,2025-11-02 00:48:04
crude-birth-rate,uncategorized,粗出生率（人口千人当たり）,null,null,0,2025-11-02 00:48:04,2025-11-02 00:48:04
crude-death-rate,uncategorized,粗死亡率（人口千人当たり）,null,null,0,2025-11-02 00:48:04,2025-11-02 00:48:04
cultivated-land-area-ratio,uncategorized,耕地面積比率,null,null,0,2025-11-02 00:48:04,2025-11-02 00:48:04
day-time-population-ratio,uncategorized,昼夜間人口比率,null,null,0,2025-11-02 00:48:04,2025-11-02 00:48:04
densely-inhabited-district-population-density,uncategorized,人口集中地区人口密度（人口集中地区面積１km2当たり）,null,null,0,2025-11-02 00:48:04,2025-11-02 00:48:04
densely-inhabited-district-population-ratio,uncategorized,人口集中地区人口比率,null,null,0,2025-11-02 00:48:04,2025-11-02 00:48:04
densely-populated-area-change-rate,uncategorized,人口集中地区面積の変化率,null,null,0,2025-11-02 00:48:04,2025-11-02 00:48:04
densely-populated-area-ratio,uncategorized,人口集中地区面積比率,null,null,0,2025-11-02 00:48:04,2025-11-02 00:48:04
dependent-population-index,uncategorized,従属人口指数,null,null,0,2025-11-02 00:48:05,2025-11-02 00:48:05
deposit-balance-per-person,uncategorized,預貯金残高（人口1人当たり）,null,null,0,2025-11-02 00:48:05,2025-11-02 00:48:05
divorces-per-total-population,uncategorized,離婚率（人口千人当たり）,null,null,0,2025-11-02 00:48:05,2025-11-02 00:48:05
dual-income-household-ratio,uncategorized,共働き世帯割合,null,null,0,2025-11-02 00:48:05,2025-11-02 00:48:05
electricity-generation-capacity,uncategorized,発電電力量,null,null,0,2025-11-02 00:48:05,2025-11-02 00:48:05
elementary-school-count-per-100k-6-11,uncategorized,小学校数（6～11歳人口10万人当たり）,null,null,0,2025-11-02 00:48:05,2025-11-02 00:48:05
elementary-school-students-per-teacher,uncategorized,小学校児童数（教員1人当たり）,null,null,0,2025-11-02 00:48:05,2025-11-02 00:48:05
employed-people-ratio,uncategorized,就業者比率,null,null,0,2025-11-02 00:48:05,2025-11-02 00:48:05
employee-ratio,uncategorized,雇用者比率,null,null,0,2025-11-02 00:48:05,2025-11-02 00:48:05
employment-insurance-receipt-rate,uncategorized,雇用保険受給率,null,null,0,2025-11-02 00:48:05,2025-11-02 00:48:05
total-population,uncategorized,総人口,null,null,0,2025-11-02 00:48:05,2025-11-02 00:48:05
